magJ,name,radius,spectraltype,magB,magV,temperature,magK,mass,metallicity,magH,planets
13.813,CoRoT-26,1.79,G5,16.839,15.756,5590,13.261,1.09,0.01,13.358,1.0
13.571,CoRoT-27,1.08,G2,,,5900,12.98,1.05,0.1,13.17,1.0
11.601,CoRoT-28,1.78,G8/9IV,14.994,13.775,5150,11.032,1.01,0.15,11.143,1.0
13.565,CoRoT-29,0.90,K0V,16.705,15.560,5260,13.048,0.97,0.20,13.120,1.0
10.783,CoRoT-2,0.902,G7V,13.422,12.568,5575.0,10.31,0.97,,10.44,1.0
,CoRoT-30,0.92,G3V,,,5650.0,,0.97,0.02,,1.0
,CoRoT-31,2.2,G2IV,,,5700.0,,1.26,0.0,,1.0
11.94,CoRoT-3,1.56,F3V,14.199,13.292,6740,11.62,1.37,-0.02,11.71,1.0
12.619,CoRoT-4,1.15,F8V,,13.7,6190.0,12.29,1.1,0.05,12.359,1.0
12.871,CoRoT-5,1.186,F9V,14.67,14,6100.0,12.546,1.00,-0.25,12.61,1.0
12.518,CoRoT-6,1.025,F5V,14.68,13.80,6090.0,12.119,1.05,-0.2,12.228,1.0
10.301,CoRoT-7,0.87,K0V,12.78,11.73,5313.0,9.806,0.93,0.03,9.880,2.0
12.154,CoRoT-8,0.77,K1V,16.096,14.797,5080.0,11.463,0.88,0.3,11.641,1.0
12.175,CoRoT-9,0.94,G3V,14.57,13.46,5625.0,11.688,0.99,-0.01,11.813,1.0
9.715,CT Cha,,K7,13.44,12.36,5150.0,8.661,,,8.944,1.0
9.767,DH Tau,,M0.5V,15.23,13.71,3840.0,8.178,0.4,,8.824,1.0
,DP Leo A,0.0144,AM Her,,17.5,13500,,0.6,,,0.0
,DP Leo B,,,,,3000,,0.09,,,0.0
12.37,EPIC 201208431,0.6,,,,4197,11.57,0.63,-0.12,11.75,1.0
,EPIC 201208431 B,,,,,,,,,,0.0
11.02,EPIC 201295312,1.52,,12.782,12.189,5830,10.69,1.13,0.13,10.7,1.0
12.45,EPIC 201338508,0.57,,,14.91,3930,11.6,0.61,-0.33,11.76,2.0
9.42,EPIC 201367065,0.56,M0.2V,,12.17,3896,8.56,0.60,-0.32,8.8,3.0
11.44,EPIC 201384232,0.96,,13.302,12.654,5850,11.07,0.97,-0.14,11.09,1.0
,EPIC 201384232 B,,,,,,,,,,0.0
11.95,EPIC 201393098,0.96,,,,5772,11.56,0.97,-0.07,11.63,1.0
11.05,EPIC 201403446,1.12,,12.485,12.029,6445,10.78,1.01,-0.5,10.76,1.0
,EPIC 201403446 B,,,,,,,,,,0.0
12.83,EPIC 201445392,0.74,,,14.61,4870,12.24,0.78,-0.02,12.32,2.0
12.451,EPIC 201465501,0.31,M2.5V,,15.63,3390,11.495,0.30,-0.25,11.710,1.0
11.6,EPIC 201505350,0.86,,13.798,13.002,5430,11.16,0.93,0.10,11.21,3.0
11.16,EPIC 201546283,0.85,,,,5320,10.7,0.89,0.14,10.79,1.0
12.144,EPIC 201549860 A,0.619575,,15.56,14.37,4402.713379,11.423,0.701968,0.05,11.564,2.0
,EPIC 201549860 B,,,,,,,,,,0.0
14.78,EPIC 201565013,0.5,,,,3987,14.08,0.51,-0.44,14.11,1.0
11.06,EPIC 201577035,0.98,,13.138,12.418,5620,10.64,0.92,-0.07,10.75,1.0
11.87,EPIC 201596316,5.15,,,,5433,11.35,1.35,-0.12,11.46,1.0
10.98,EPIC 201613023,1.01,,12.990,12.258,5800,10.61,1.01,0.03,10.71,1.0
11.72,EPIC 201617985,0.49,,,,3742,10.9,0.52,-0.08,11.09,1.0
11.57,EPIC 201629650,0.78,,,,5698,11.17,0.8,-0.54,11.26,1.0
,EPIC 201629650 B,,,,,,,,,,0.0
13.42,EPIC 201635569,0.45,,,,3789,12.61,0.47,-0.37,12.77,1.0
12.74,EPIC 201637175 A,0.57,M0V,,,3830,11.91,0.60,0.03,12.09,1.0
14.87,EPIC 201637175 B,0.30,M4V,,,3290,13.93,0.27,0.06,14.27,0.0
13.27,EPIC 201702477,0.85,,,,5618,12.77,0.87,-0.26,12.88,1.0
,EPIC 201702477 B,,,,,,,,,,0.0
10.034,EPIC 201713348,0.74,,12.569,11.80,4924,9.454,0.80,-0.03,9.549,2.0
13.07,EPIC 201736247,0.68,,,,5131,12.49,0.72,-0.46,12.55,1.0
12.76,EPIC 201754305,0.66,,,14.67,4742,12.09,0.68,-0.33,12.21,2.0
10.49,EPIC 201828749,0.71,,,,5552,9.93,0.74,-0.69,10.23,1.0
,EPIC 201828749 B,,,,,,,,,,0.0
11.08,EPIC 201855371,0.66,,14.819,13.519,4320,10.31,0.71,0.15,10.44,1.0
9.76,EPIC 201912552,0.411,M2.8,15.01,13.50,3457,8.9,0.359,0.09,9.13,2.0
10.644,EPIC 203311200,0.94,,12.08,11.88,5200,10.324,0.91,,10.420,1.0
9.63,EPIC 203771098,1.21,G3V,12.22,11.28,5743,9.18,1.12,0.42,9.29,2.0
10.692,EPIC 203826436,0.85,,13.463,12.568,5413,10.142,0.90,-0.03,10.214,3.0
,EPIC 204129699,0.78,G7 V,,10.8,5280,,0.91,0.08,,1.0
9.911,EPIC 204221263,1.10,,12.344,11.39,5757,9.470,1.07,0.28,9.600,2.0
10.404,EPIC 205071984,0.87,,13.278,12.307,5315,9.821,0.87,0.00,9.993,3.0
,EPIC 205117205,1.06,M3.3,17.353,,3540.0,,0.54,,,1.0
10.25,EPIC 206011691,0.60,M0V,14.14,12.85,4043,9.42,0.64,-0.11,9.63,2.0
11.70,EPIC 206318379,0.293,M4V,,,3214,10.75,0.264,0.31,11.03,1.0
10.384,EPIC 210363145,0.76,K,13.23,12.158,4970,9.799,0.8,0.29,9.910,1.0
11.303,EPIC 210490365,0.295,M4.5,17.760,15.881,3180,10.444,0.294,0.15,10.732,1.0
9.768,EPIC 210894022,1.23,,11.796,11.137,5730.0,9.377,0.89,-0.53,9.477,1.0
,EPIC 211089792,,G7V,,,,,,,,1.0
11.124,EPIC 211391664,1.311,F8V,12.65,12.17,6120.0,10.869,1.074,-0.2,10.905,1.0
12.264,EPIC 211822797,0.59,M0.4,,,3880,11.432,0.61,0.14,11.699,1.0
13.129,EPIC 211901114,0.46,M2.7,19.59,17.14,3440,12.290,0.46,0.14,12.549,1.0
11.162,EPIC 211913977,0.73,K3V,14.00,12.96,4819,10.536,0.80,0.14,10.678,1.0
13.293,EPIC 211916756,0.44,M2.0,19.86,17.27,3410,12.442,0.43,0.14,12.740,1.0
12.800,EPIC 211969807,0.48,M1.2,18.46,16.26,3660,12.021,0.51,0.14,12.246,1.0
11.282,EPIC 211970147,0.71,K3.6,14.30,13.19,4695,10.640,0.77,0.14,10.739,1.0
9.463,EPIC 211990866,1.19,G0V,11.13,10.55,6120,9.182,1.18,0.14,9.242,1.0
,EPIC 212803289,3.1,G0 IV,11.75,11.15,5990.0,,1.6,0.2,,1.0
,EPIC 216468514,1.78,F9IV,13.64,12.92,6030.0,,1.3,0.1,,1.0
,EPIC 218916923,0.86,,12.43,11.65,5287.0,,0.918,0.21,,1.0
,EPIC 220504338,1.047,G,,,5627.0,,1.007,0.18,,1.0
10.770,EPIC 220674823,0.83,,12.577,12.102,5814.0,10.344,0.93,-0.28,10.454,2.0
,EPIC 228735255,0.987,G5,,,5654.0,,1.005,0.12,,1.0
,EPIC 228754001,4.11,K,,,4878.0,,1.19,-0.11,,1.0
,EPIC 228813918,0.442,M3 V,,,3492.0,,0.463,0.08,,1.0
2.104,eps Coronae Borealis,21,K2 III,5.360,4.14,4406,1.349,1.7,-0.094,1.488,1.0
,eps Coronae Borealis B,,,,12.60,,,,,,0.0
2.228,eps Eridani,0.743,K2 V,4.61,3.73,5135,1.776,0.82,-0.07,1.880,1.0
2.894,Epsilon Indi A,0.732,K5V,5.75,4.69,4568,2.237,0.762,-0.06,2.349,1.0
12.20,Epsilon Indi Ba,,T1V,,24.12,,11.42,0.0716,-0.2,11.60,0.0
12.96,Epsilon Indi Bb,,T6V,,,,13.64,0.0669,-0.2,13.40,0.0
1.748,eps Tau,13.7,K0 III,4.549,3.53,4901,1.31,2.7,0.17,1.314,1.0
1.565,eta Cet,14.3,K1III,4.61,3.45,4528,0.875,1.7,0.12,1.012,2.0
,FL Lyr A,1.128,F8V,,9.58,6152,,1.218,,,0.0
,FL Lyr B,1.128,G8V,,11.04,5297,,0.963,,,0.0
11.965,FN Lyr,,,11.50,12.731,6457,11.692,0.595,,11.743,1.0
1.04,Fomalhaut A,1.84,A3 V,1.25,1.16,8590.0,0.94,1.92,,0.94,1.0
,Fomalhaut B,,K4Ve,,6.488,4594,,0.73,,,0.0
,Fomalhaut C,,M4V,,13.2,3132,,0.18,,,0.0
10.781,FU Tau A,,M7.25,15.1,,2838.0,9.324,0.05,,9.945,1.0
,FW Tau A,,M4,17.94,16.64,3270,,0.12,,,0.0
,FW Tau B,,M4,18.33,16.85,,,0.12,,,0.0
1.66,gamma Cephei A,4.9,K1 III-IV,4.250,3.220,4800.0,1.04,1.18,0.18,1.19,1.0
,gamma Cephei B,,M4,,,,7.3,0.32,,,0.0
,Gamma-1 Leonis,31.88,K0III,3.13,2.01,4330,,1.23,-0.51,,1.0
,Gamma-2 Leonis,,G7IIIb,3.4,4.225,,,,,,0.0
9.245,GJ 1132,0.207,M3.5,15.25,13.52,3270,8.322,0.181,-0.12,8.67,1.0
7.439,GJ 160.2,,M0 V,10.904,9.675,4347,6.702,0.69,,6.854,1.0
7.413,GJ 180,,M2 V,12.443,10.894,3371,6.598,0.43,,6.860,2.0
5.104,GJ 229 A,,M1/M2 V,9.607,8.125,3564,4.166,0.58,,4.393,1.0
14.01,GJ 229 B,,T6,,,1000,14.36,,,14.36,0.0
8.225,GJ 27.1,,M0.5 V,12.888,11.401,3542,7.394,0.53,,7.609,1.0
,GJ 273,0.293,M3.5,,9.872,3382.0,,0.29,0.09,,2.0
,GJ 3138,0.5,M0,12.82,10.877,3717.0,,0.681,-0.3,,3.0
,GJ 3323,0.119,M4,13.92,12.196,3159.0,,0.164,-0.27,,2.0
7.811,GJ 422,,M3.5 V,12.848,11.516,3323,7.035,0.35,,7.304,1.0
,GJ 536,0.5,M1,,9.707,3685.0,,0.52,-0.08,,1.0
6.544,GJ 682,,M3.5 V,12.593,10.946,3028,5.606,0.27,,5.917,2.0
5.189,GJ 725 A,0.351,M3V,10.782,8.91,3441,4.432,0.334,-0.23,4.741,0.0
5.721,GJ 725 B,0.273,M3.5V,11.705,9.69,3345,5.000,0.248,-0.30,5.197,1.0
9.750,Gliese 1214,0.2213,M4.5,16.40,14.71,3250,8.782,0.176,0.1,9.094,1.0
5.25,Gliese 15 A,0.3863,M2V,9.63,8.13,3567,4.02,0.375,-0.32,4.48,1.0
6.789,Gliese 15 B,0.19,M3.5,12.84,11.04,,5.948,0.163,,6.191,0.0
7.948,Gliese 163,,M3.5V,13.302,11.811,,7.135,0.40,,7.428,3.0
6.462,Gliese 176,0.53,M2.5V,11.49,9.97,3520,5.607,0.49,-0.1,5.824,1.0
7.814,Gliese 179,0.38,M3.5 V,13.568,12.018,3370,6.942,0.357,0.30,7.21,1.0
7.128,Gliese 221,,K7V,11.041,9.693,4040,6.305,0.637,-0.07,6.517,2.0
5.366,Gliese 3021 A,0.9,G6 V,7.335,6.59,5540,4.859,0.9,0.10,4.990,1.0
,Gliese 3021 B,,M4V,,,,,0.13,,,0.0
7.934,Gliese 317,,M3.5,13.2,12,3510.0,7.028,0.42,0.36,7.321,2.0
7.191,Gliese 328,,M1,11.30,9.98,3900,6.352,0.69,0.00,6.523,1.0
8.362,Gliese 3293,0.404,M2.5,13.6,11.962,3466,7.486,0.42,0.02,7.749,3.0
8.592,Gliese 3341,0.439,M2.5,13.58,12.080,3546,7.733,0.47,-0.09,7.990,1.0
8.794,Gliese 3470,0.48,M1.5,13.5,12.3,3652,7.989,0.51,0.17,8.206,1.0
8.361,Gliese 3634,0.43,M2.5,14.4,11.95,3314.0,7.470,0.45,,7.76,1.0
6.471,Gliese 433,,M1.5,11.322,9.79,3600.0,5.623,0.48,-0.22,5.856,2.0
6.900,Gliese 436,0.449,M3V,12.06,10.59,3479,6.073,0.445,-0.32,6.319,3.0
4.392,Gliese 504,1.36,G0V,5.81,5.22,5978,4.033,1.16,0.13,4.107,1.0
6.706,Gliese 581,0.3,M2.5V,11.76,10.55,3498.0,5.837,0.31,-0.135,6.095,6.0
6.448,Gliese 649,,M1.5,11.139,9.7,3700.0,5.624,0.54,0.08,5.865,2.0
,Gliese 667 A,0.76,,,,,,0.73,-0.59,,0.0
,Gliese 667 B,0.70,,,,,,0.69,-0.59,,0.0
6.848,Gliese 667 C,0.41,M1.5V,11.79,10.22,3350,6.036,0.33,,6.322,7.0
5.711,Gliese 674,,M2.5,10.973,9.38,3600.0,4.855,0.35,-0.28,5.154,1.0
6.711,Gliese 676 A,,M0V,11.028,9.585,,5.825,0.71,0.23,6.082,4.0
8.976,Gliese 676 B,,M3.5V,14.8,,,8.017,0.17,,8.29,0.0
5.335,Gliese 687,0.4183,M3V,10.65,9.15,3413,4.548,0.413,,4.77,1.0
,Gliese 777 A,1.2,G6 IV,,5.71,,,1.04,0.24,,2.0
,Gliese 777 B,,M4.5,,,,,0.20,,,0.0
4.112,Gliese 785,,K3V,6.63,5.73,5166.0,3.501,0.80,-0.04,3.582,2.0
5.349,Gliese 832,,M1.5,10.176,8.67,3472,4.501,0.45,-0.3,4.766,2.0
6.510,Gliese 849,0.52,M3.5V,11.868,10.366,3601,5.594,0.490,0.31,5.90,2.0
4.79,Gliese 86 A,0.855,K1V,6.94,6.17,5188,4.125,0.8,-0.24,4.25,1.0
,Gliese 86 B,0.01245,DQ6,,13.2,8180,,0.59,,,0.0
5.934,Gliese 876,0.3761,M4 V,10.192,10.17,3129,5.010,0.37,0.19,5.349,4.0
8.605,GQ Lup,,K7eV,12.36,11.4,5150.0,7.096,0.7,,7.702,1.0
9.946,GSC 06214-00210,,K7,13.1,,4060,9.129,0.9,,9.329,1.0
10.211,GU Psc,,M3,15.30,13.55,,9.345,0.325,0.1,9.598,1.0
7.608,HAT-P-11,0.683,K4V,10.66,9.47,4780,7.009,0.809,0.31,7.131,2.0
10.794,HAT-P-12,0.7,K5,12.6,12.84,4650.0,10.108,0.73,-0.29,10.236,1.0
9.328,HAT-P-13,1.56,G4,11.15,10.42,5638.0,8.975,1.22,0.41,9.058,2.0
9.094,HAT-P-14 A,1.468,F,10.41,9.99,6600.0,8.851,1.386,0.11,8.927,1.0
,HAT-P-14 B,,,,,3356,14.498,0.232,,14.164,0.0
10.194,HAT-P-15,1.08,G5,13.02,12.41,5568.0,9.641,1.013,0.22,9.752,1.0
9.850,HAT-P-16 A,1.158,F8,11.38,10.91,6140,9.553,1.216,0.12,9.623,1.0
15.271,HAT-P-16 B,,,,,3269,15.083,0.188,,14.770,0.0
9.017,HAT-P-17,0.837,K,11.33,10.38,5246.0,8.544,0.857,,8.619,2.0
10.822,HAT-P-18,0.717,K,11.9,12.76,4870,10.234,0.770,0.1,10.340,1.0
11.095,HAT-P-19,0.82,K,12.4,12.901,4990,10.546,0.842,0.23,10.644,1.0
9.156,HAT-P-1,1.115,G0V,11.0,10.4,5975.0,8.858,1.133,0.13,8.923,1.0
9.276,HAT-P-20,0.694,K7,12.58,11.34,4595.0,8.601,0.756,0.35,8.743,1.0
10.503,HAT-P-21,1.105,G3,12.56,11.46,5588.0,10.111,0.947,0.01,10.154,1.0
8.293,HAT-P-22,1.04,G5,10.62,9.76,5302.0,7.837,0.916,0.24,7.935,1.0
11.103,HAT-P-23,1.203,G5,13.05,11.94,5905.0,10.791,1.13,0.15,10.846,1.0
10.797,HAT-P-24 A,1.317,F8,12.21,11.76,6329,10.543,1.191,-0.16,10.589,1.0
15.455,HAT-P-24 B,,,,,3499,14.354,0.373,,14.752,0.0
11.319,HAT-P-25,0.959,G5,14.12,13.15,5500.0,10.815,1.01,0.31,10.908,1.0
10.080,HAT-P-26,0.788,K1,12.33,11.76,5079.0,9.581,0.816,-0.04,9.685,1.0
10.626,HAT-P-27,0.87,G8,13.18,12.19,5300.0,10.109,0.92,0.14,10.249,1.0
11.561,HAT-P-28,1.103,G3,13.4,13.03,5680.0,11.104,1.025,0.12,11.206,1.0
10.648,HAT-P-29,1.224,F8,12.30,11.83,6087.0,10.297,1.207,0.21,10.395,1.0
7.796,HAT-P-2,1.64,F8,9.15,8.69,6290.0,7.603,1.36,0.14,7.652,1.0
9.442,HAT-P-30 A,1.215,F,10.95,10.35,6304,9.151,1.242,0.13,9.220,1.0
12.8724,HAT-P-30 B,,,,,3692,12.126,0.519,,12.3353,0.0
10.423,HAT-P-31,1.36,F,12.02,11.67,6065.0,10.083,1.218,0.15,10.128,1.0
10.251,HAT-P-32 A,1.387,F/G,11.79,11.44,6207,9.990,1.176,-0.16,10.024,1.0
14.399,HAT-P-32 B,,,,,3551,13.490,0.4243,,13.692,0.0
10.263,HAT-P-33 A,1.777,F,11.66,11.03,6446,10.004,1.403,0.05,10.061,1.0
14.400,HAT-P-33 B,,,,,3776,13.419,0.557,,13.530,0.0
9.460,HAT-P-34,1.535,F8,10.81,10.40,6442.0,9.247,1.392,0.22,9.32,1.0
11.358,HAT-P-35,1.435,F,12.84,11.59,6096.0,11.030,1.236,0.11,11.072,1.0
12.15,HAT-P-36,1.096,G,12.97,12.262,5580.0,10.603,1.022,0.26,10.72,1.0
13.23,HAT-P-37,0.877,G,13.1,13.23,5500.0,11.667,0.929,0.03,11.71,1.0
10.989,HAT-P-38,0.923,G,12.2,12.557,5330.0,10.501,0.886,0.06,10.593,1.0
11.424,HAT-P-39,1.625,F,,12.422,6430.0,11.157,1.404,0.19,11.184,1.0
9.936,HAT-P-3,0.799,K,12.53,11.86,5224.0,9.448,0.917,0.27,9.542,1.0
10.367,HAT-P-40,2.206,F,12.19,11.34,6080.0,10.009,1.512,0.22,10.085,1.0
10.006,HAT-P-41,1.683,F,11.65,11.36,6390.0,9.728,1.418,0.21,9.777,1.0
10.960,HAT-P-42,1.528,G,12.83,12.17,5743,10.626,1.179,0.27,10.677,1.0
12.146,HAT-P-43,1.104,F,14.12,13.36,5645,11.764,1.048,0.23,11.809,1.0
11.729,HAT-P-44,0.979,,13.2,13.212,5295,11.275,0.939,0.33,11.360,2.0
10.730,HAT-P-45,1.319,,13.7,12.794,6330,10.201,1.259,0.07,10.350,1.0
10.330,HAT-P-46,1.396,,12.9,11.936,6120,9.924,1.284,0.3,9.972,2.0
,HAT-P-47,1.515,,,10.61,6703.0,,1.387,0.0,,1.0
,HAT-P-48,1.223,,,12.16,5946.0,,1.099,0.02,,1.0
9.55,HAT-P-49,1.833,,10.675,10.326,6820,9.346,1.543,0.074,9.399,1.0
10.100,HAT-P-4,1.59,F,11.83,11.12,5890.0,9.770,1.26,0.24,9.837,1.0
10.816,HAT-P-50,1.698,,12.282,11.762,6280,10.500,1.273,-0.180,10.545,1.0
12.039,HAT-P-51,1.041,,14.261,13.440,5449,11.614,0.976,0.270,11.654,1.0
