period,name,eccentricity,description,discoverymethod,periastrontime,lastupdate,semimajoraxis,mass,periastron,list,discoveryyear
883.0,24 Sex c,0.29,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,RV,2454930,15/09/23,2.08,0.86,220.5,Confirmed planets,2010
,2M 044144 b,,"2M 044144 b is the lowest-mass member of the quadruple system 2M0441+2301. Despite having a mass below the deuterium-fusion limit, the low mass ratio between 2M 044144 A and B suggests it likely formed by turbulent fragmentation rather than core accretion.",imaging,,15/09/12,,9.8,,Confirmed planets,2010
4640,2M 0746+20 b,0.487,,imaging,,12/01/20,2.897,30,,Confirmed planets,2010
,2M1207 b,,"2M1207 might be the first directly imaged extrasolar planet. However, due to its high mass it might also classify as a brown dwarf.",imaging,,10/12/28,,5,,Confirmed planets,2004
416,2M 1938+4603 b,,2M 1938+4603 is an eclipsing post-common envelope binary in the Kepler field. Variations in the timing of the eclipses of the binary star have been used to infer the presence of a giant planet in a circumbinary orbit.,timing,,15/06/11,0.92,1.9,,Confirmed planets,2015
7340,2M 2140+16 b,0.26,,imaging,,12/01/20,3.53,20,,Confirmed planets,2010
8686,2M 2206-20 b,0.0,,imaging,,12/01/20,4.48,30,,Confirmed planets,2010
,2MASS 0122-2439 B,,"2MASS 0122-2439 B is an L-dwarf companion to the star 2MASS J01225093-2439505. The age and luminosity of the object gives a dual-valued prediction for the mass, either in the range 12–13 or 22–27 Jupiter masses, assuming the system is a member of the AB Doradus moving group.",imaging,,15/04/20,,,,Confirmed planets,2013
,2MASS J0219-3925 B,,2MASS J0219-3925 B is a low-mass L-type companion to an M-dwarf in the Tucana-Horologium association. The mass is close to the deuterium-burning limit.,imaging,,15/07/24,,13.9,,Confirmed planets,2015
,2MASS J02495639-0557352 c,,"2MASS J0249-0557 c is a wide-separation, planetary-mass companion to a low-mass binary system of brown dwarfs in the Beta Pictoris Moving Group. The object appears to be a near-twin of the planet Beta Pictoris b.",imaging,,18/07/28,,11.6,,Confirmed planets,2018
345.4,30 Ari B b,0.18,,RV,245322.1,16/01/10,1.01,6.6,337,Confirmed planets,2009
825.9,38 Vir b,0.03,Data for this planet was imported from the exoplanet.eu database.,,,17/02/20,1.82,4.51,,Confirmed planets,2016
479.1,42 Dra b,0.38,42 Draconis is a metal poor star.,RV,2452757.4,15/09/24,1.19,3.88,218.7,Confirmed planets,2009
1078,47 UMa b,0.032,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,RV,2451888,15/09/24,2.100,2.53,334,Confirmed planets,1996
2391,47 UMa c,0.098,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,RV,2452441,15/09/24,3.6,0.540,295,Confirmed planets,2001
14002,47 UMa d,0.16,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,RV,2451736,15/09/24,11.6,1.64,110,Confirmed planets,2010
269.3,4 UMa b,0.432,"4 Ursae Majoris is also known as Muscida, a name that is shared with 3 Ursae Majoris and Omicron Ursae Majoris.",RV,2452987.3936,15/09/20,0.87,7.1,23.81,Confirmed planets,2007
15000,51 Eri b,0.21,51 Eri b is a directly-imaged exoplanet located at a projected separation of 13.2 AU from its star. The system also exhibits an infrared excess indicating the presence of debris belts at around 5.5 AU and 82 AU from the star. It is a member of the Beta Pictoris moving group.,imaging,2456947,15/08/14,14,2,90,Confirmed planets,2015
4.231,51 Peg b,0,51 Pegasi is a Sun-like star in the constellation Pegasus. The planet is also called Bellerophon. The lower limit for the radius is given for the limit of a perfectly-reflecting Lambert sphere.,RV,2456021.256,15/05/24,0.052,0.46,0,Confirmed planets,1995
14.6516,55 Cancri b,0.00,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,RV,,18/09/18,0.1134,0.8036,-21.5,Confirmed planets,1996
44.3989,55 Cancri c,0.03,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,RV,,18/09/18,0.2373,0.1611,2.4,Confirmed planets,2002
5574.2,55 Cancri d,0.13,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,RV,,18/09/18,5.957,3.12,-69.1,Confirmed planets,2002
0.7365474,55 Cancri e,0.05,"55 Cancri e is a super-Earth which appears to exhibit extreme variations in brightness temperature. The cause of these variations is unknown but may be due to large-scale volcanic activity on the planet. The latest estimates of the planetary radius are compatible with a rocky composition, but a thick water envelope or a carbon-rich composition cannot be ruled out. The phase curve indicates that heat is being transported to the night side by an atmosphere, likely dominated by carbon monoxide or nitrogen.",transit,,18/09/18,0.01544,0.0251,86.0,Confirmed planets,2004
259.88,55 Cancri f,0.08,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,RV,,18/09/18,0.7708,0.1503,-97.6,Confirmed planets,2007
4.2150,61 Vir b,0.12,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,RV,,15/11/02,0.050201,0.016,105,Confirmed planets,2009
38.021,61 Vir c,0.14,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,RV,,15/11/02,0.2175,0.0573,341,Confirmed planets,2009
123.01,61 Vir d,0.35,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,RV,,15/11/02,0.476,0.0721,314,Confirmed planets,2009
874.774,6 Lyn b,0.059,"The star 6 Lyncis is a subgiant and 15 times more luminous than our Sun. The astrometric signature of the planet gives a best-fit inclination of 2 degrees, which would imply the object is a brown dwarf with 64 times the mass of Jupiter. Nevertheless, the error bars are large and allow for masses between 2.2 and 128.7 Jupiter masses, a range that incorporates both planetary and stellar masses.",RV,2454024.5,15/09/20,2.18,2.21,314.9,Confirmed planets,2008
116.6926,70 Vir b,0.399,The star 70 Virginis is located in the constellation Virgo and starting to evolve into the subgiant phase. It has a dust disc at 3.4 AU.,RV,2447239.7091,15/04/15,0.481,7.4,,Confirmed planets,1996
691.9,75 Cet b,0.117,Discovered with precise Doppler measurements at Okayama Astrophysical Observatory.,RV,2452213,15/11/02,2.1,3.0,165,Confirmed planets,2012
796.0,7 CMa b,0.22,This planet is orbiting the star 7 CMa and was discovered by the Pan-Pacific Planet Search (PPPS). It is the first detection from this ongoing survey.,RV,2454093,15/10/25,1.93,2.46,77,Confirmed planets,2011
952.7,81 Cet b,0.206,The star 81 Ceti is a G-type giant in the constellation of Cetus.,RV,2452486,15/09/20,2.5,5.3,175.0,Confirmed planets,2008
17.054,83 Leonis B b,0.07,The first planet around the star 83 Leonis B (HD 99492) was discovered in 2004. A second planet was announced 6 years later but was subsequently shown to be an artifact of the stellar activity cycle.,RV,,17/11/28,0.123,0.079,240.7,Confirmed planets,2004
4970,83 Leonis B c,0.1,"HD 99492 c was announced in 2010. Subsequent observations showed that the radial velocity variations attributed to this planet correlated with the stellar activity cycle, indicating that the planet is an artifact of the activity.",RV,2449636,17/11/28,5.4,0.36,38,Retracted planet candidate,2010
93.4,8 Ursae Minoris b,0.06,This planet was detected by the Bohyunsan Optical Astronomy Observatory (BOAO) which searches for exoplanets at northern circumpolar stars.,RV,2454108.5,15/09/30,0.49,1.5,,Confirmed planets,2015
181.4,91 Aquarii A b,0.027,91 Aquarii is a triple star system in the constellation Aquarius. It is visible to the naked eye and is host to at least one extrasolar planet.,RV,2453472.1,15/11/03,0.70,3.2,177.3,Confirmed planets,2003
,AB Pic b,,"AB Pictoris is a star in the constellation of Pictor. Because of its high mass, the companion could be a planet or a brown dwarf.",imaging,,10/12/06,,12,,Confirmed planets,2005
380.8,alf Ari b,0.25,,RV,2451213.52,15/11/17,1.2,1.8,89.16,Confirmed planets,2011
628.96,alf Tau b,0.10,Investigations of long-period radial velocity in Aldebaran first reported over 20 years ago and further photometric investigations provide further evidence of a planetary companion to Aldebaran.,RV,2451297.0,15/11/17,1.46,6.47,287,Controversial,2015
11.186,Proxima Centauri b,,"Astronomers using ESO telescopes and other facilities have found clear evidence of a planet orbiting the closest star to Earth, Proxima Centauri. The long-sought world, designated Proxima b, orbits its cool red parent star every 11 days and has a temperature suitable for liquid water to exist on its surface. This rocky world is a little more massive than the Earth and is the closest exoplanet to us — and it may also be the closest possible abode for life outside the Solar System.",RV,,16/08/22,0.0485,0.004089,,Confirmed planets,2016
3.2357,Alpha Centauri B b,0.0,"Alpha Centauri is one of the brightest stars in the southern sky (in fact, it is a triple system). The planet candidate Alpha Centauri Bb was announced as the nearest exoplanet to Earth and also the lightest exoplanet ever discovered around a Sun-like star. The candidate was detected using the HARPS instrument on the 3.6-metre telescope at ESO's La Silla Observatory in Chile. The planet's existence was challenged by Hatzes (2013) and was shown to be likely an artifact caused by the data sampling by Rajpaul et al. (2015).",RV,,15/11/17,0.04,0.00356,,Controversial,2012
,Alpha Centauri B c,,A possible transit event was detected in Hubble Space Telescope photometry of Alpha Centauri B while searching for transits of the planet candidate Alpha Centauri Bb. This may be due to the presence of a roughly Earth-sized planet in an orbit less than 20 days.,transit,,15/11/17,,,,Controversial,2015
481.9,BD+03 2562 b,0.2,Data for this planet was imported from the exoplanet.eu database.,RV,,17/06/30,1.3,6.4,218.0,Confirmed planets,2017
5.60,BD-08 2823 b,0.15,The star BD-82823 is a K-type main sequence star in the constellation Sextans. It has only one fifth of our Sun's luminosity.,RV,2454637.7,15/11/17,0.056,0.045,30,Confirmed planets,2009
237.6,BD-08 2823 c,0.19,The star BD-82823 is a K-type main sequence star in the constellation Sextans. It has only one fifth of our Sun's luminosity.,RV,2454193,15/11/17,0.68,0.33,-233,Confirmed planets,2009
3.48777,BD-10 3166 b,0.0190,The star BD-103166 is a K-type main sequence star in the constellation Crater. It is three times as metal-rich as our Sun.,RV,2451171.22,15/11/17,0.0427,0.408,334,Confirmed planets,2000
1667,BD-11 4672 b,0.05,This planet has been discovered by the HARPS team using radial-velocity data gathered over ten years.,RV,,15/11/17,2.28,0.53,231,Confirmed planets,2014
268.94,BD+14 4559 b,0.29,,RV,245294.21,15/11/26,0.777,1.47,87.64,Confirmed planets,2009
153.22,BD+15 2375 b,0.001,BD+15 2375 b is a giant planet orbiting a red giant star.,RV,2457680,17/12/09,0.576,1.061,55,Confirmed planets,2016
137.48,BD+15 2940 b,0.26,The planet BD+15 2940 b was discovered by the Penn State - Torun Planet Search (PTPS) using ground based spectrometer. It is the closest-in planet around a giant star. It might soon be swallowed by the star as a consequence of stellar evolution.,RV,2453464,15/11/23,0.539,1.11,302,Confirmed planets,2013
655.6,BD-17 63 b,0.54,The star BD-1763 is a K-type star in the constellation Cetus. It is five times less luminous than our Sun.,RV,2454627.1,15/11/17,1.34,5.1,112.2,Confirmed planets,2008
7.78287,BD+20 1790 b,0.22,The existance of planet BD+20 1790 b was proposed first in 2010. New Bayesian analysis supports the hypothesis of the planetary companion.,RV,,15/11/23,0.066,6.37,262,Confirmed planets,2015
379.63,BD+20 2457 b,0.15,The star BD+20 2457 is located in the constellation Leo. Its metallicity is ten times lower compared to our Sun. The orbital parameters given in the discovery paper have been shown to be dynamically unstable on astronomically short timescales.,RV,2454677.53,15/11/26,1.45,21.42,207.64,Controversial,2009
621.99,BD+20 2457 c,0.18,The star BD+20 2457 is located in the constellation Leo. Its metallicity is ten times lower compared to our Sun. The orbital parameters given in the discovery paper have been shown to be dynamically unstable on astronomically short timescales.,RV,2453867.45,15/11/26,2.01,12.47,126.02,Controversial,2009
578.2,BD+20 274 b,0.21,"This planet was found by the Penn State-Torun Planet Search Team (PTPS) using the Hobby-Eberly Telescope. Most likely, there is another low-mass stellar companion in the system.",RV,2453921.0,15/11/23,1.3,4.2,108.5,Confirmed planets,2012
41.6855,BD+20 594 b,0,K2-56 b is a Neptune-sized planet with a density compatible with a mainly-rocky composition.,transit,,17/11/30,0.241,0.05129,,Confirmed planets,2016
536.78,BD+26 1888 b,0.2675,BD+26 1888 b is a massive planet or brown dwarf orbiting a K7 star.,RV,2456548.3,17/12/09,1.19,26,1.3,Confirmed planets,2016
392.6,BD+48 738 b,0.2,This planet was found by the Penn State-Torun Planet Search Team (PTPS) using the Hobby-Eberly Telescope.,RV,2454457.7,15/11/17,1.0,0.91,358.9,Confirmed planets,2011
2590,BD+49 828 b,0.35,,RV,2455470,15/11/23,4.2,1.6,170,Confirmed planets,2015
605.2,beta Cancri b,0.08,"The planet beta Cancri b is orbiting the brighest star in the constellation Cancer once every 600 days. It was found using data from 10, collected with the Bohyunsan Observatory.",RV,2453229.8,15/11/26,1.7,7.8,58.9,Confirmed planets,2014
8167,beta Pic b,0.07,"Beta Pictoris is an A type star, 63 lightyears away from our own Solar System. The star is host to a debris disk and a planet. Using high spectroscopic observations, astronomers were able to measure the length of a day on bet Pic b: 8.1 hours. The planet or material in orbit around it may have been responsible for a transit-like event observed in November 1981.",imaging,2454737,15/08/22,9.25,11,155.85,Confirmed planets,2008
522.3,beta Ursae Minoris b,0.19,"This planet is orbiting the brighest star in the bowl of the Little Dipper. The star is K giant, 130 times more luminous than the Sun and about 130 light years away. The planet was found using data collected from the Bohyunsan Observatory.",RV,2453175.3,15/11/26,1.4,6.1,307.4,Confirmed planets,2014
9855,CFBDS 1458 b,,,imaging,,11/03/08,2.6,6.5,,Confirmed planets,2011
,CFBDSIR2149,,"This planet is an orphan planet, which means it is not orbiting any star. Some people therefore argue that it should not be called a planet. The object is associated with the AB Doradus moving group which allows astronomers to determine its age and therefore its mass.",imaging,,12/11/14,,5.5,,Confirmed planets,2012
,CHXR 73 b,,"The companion CHXR 73 b is just under the threshold for deuterium fusion. Therefor, its status as a planet is uncertain.",imaging,,11/03/08,,12,,Confirmed planets,2006
8.9891,CI Tau b,0.28,CI Tau b is a massive planet candidate orbiting a classical T Tauri star.,RV,,17/12/01,,12.31,,Confirmed planets,2016
13.2406,CoRoT-10 b,0.53,,transit,,10/06/14,0.1055,2.75,,Confirmed planets,2010
2.994325,CoRoT-11 b,0.0,,transit,,12/07/02,0.04351,2.49,,Confirmed planets,2010
2.828042,CoRoT-12 b,0.07,,transit,,10/06/14,0.04016,0.917,,Confirmed planets,2010
4.03519,CoRoT-13 b,0.0,,transit,,10/07/12,0.051,1.308,,Confirmed planets,2010
1.51214,CoRoT-14 b,0.0,,transit,,10/12/22,0.027,7.6,,Confirmed planets,2010
5.35227,CoRoT-16 b,0.33,,transit,,11/06/14,0.0618,0.53,,Confirmed planets,2010
3.768125,CoRoT-17 b,0.0,,transit,,11/05/11,0.0461,2.45,,Confirmed planets,2010
1.9000693,CoRoT-18 b,0.08,,transit,,12/04/05,0.0295,3.47,,Confirmed planets,2011
3.89713,CoRoT-19 b,0.047,,transit,,11/07/05,0.0518,1.11,,Confirmed planets,2011
1.5089557,CoRoT-1 b,0.0,"The star CoRoT-1 is a sun-like star in the constellation of Monoceros. The planet CoRoT-1b is the first planet discovered by the European space mission CoRoT (COnvection, ROtation and planetary Tansits).",transit,,12/04/05,0.0254,1.03,,Confirmed planets,2007
9.24285,CoRoT-20 b,0.59,,transit,,18/08/31,0.090,4.3,60.1,Confirmed planets,2011
1675,CoRoT-20 c,0.60,CoRoT-20 c is a massive radial velocity-detected companion to the exoplanet host star CoRoT-20. It may have excited the eccentricity of the transiting hot Jupiter via the Lidov-Kozai mechanism.,RV,2454136,18/08/31,2.90,17,65.0,Confirmed planets,2018
2.72474,CoRoT-21 b,0.0,,transit,,11/12/13,0.0417,2.26,,Confirmed planets,2011
9.75598,CoRoT-22 b,0.077,"CoRoT-22 b is a transiting exoplanet discovered by the European CoRoT space mission. The planetary nature of this object has been validated by a full Bayesian analysis including observing constraints from radial-velocity spectroscopy, adaptive optics imaging and the CoRoT transit shape, as well as from priors on stellar populations, planet and multiple stellar systems frequency.",transit,,14/08/28,0.092,0.0383853003178,210.0,Confirmed planets,2014
3.6314,CoRoT-23 b,0.16,,transit,,11/09/20,0.0477,2.8,,Confirmed planets,2011
5.1134,CoRoT-24 b,0,CoRoT-24 is the first multiplanetary system discovered by the CoRoT mission. The probability that the observations are caused by transiting Neptune-sized planets is 26 times more likely than a blend scenario.,transit,,14/06/08,0.056,,,Confirmed planets,2014
11.759,CoRoT-24 c,0,CoRoT-24 is the first multiplanetary system discovered by the CoRoT mission. The probability that the observations are caused by transiting Neptune-sized planets is 26 times more likely than a blend scenario.,transit,,14/06/08,0.098,0.088,,Confirmed planets,2014
4.86069,CoRoT-25 b,0,,transit,,13/05/24,0.0578,0.27,,Confirmed planets,2013
4.20474,CoRoT-26 b,0,,transit,,13/05/24,0.0526,0.52,,Confirmed planets,2013
3.57532,CoRoT-27 b,,CoRoT-27b is a massive and dense planet on a short period orbit. It was discovered by the European space mission CoRoT.,transit,,14/01/07,0.0476,10.39,,Confirmed planets,2014
5.20851,CoRoT-28 b,0.047,CoRoT-28 b is a Jupiter-sized planet orbiting an evolved star. It was discovered by the European space mission CoRoT.,transit,,15/04/07,0.0590,0.484,,Confirmed planets,2015
2.8505615,CoRoT-29 b,,CoRoT-29 b is a Jupiter-sized planet orbiting an oblate star. It was discovered by the European space mission CoRoT. The transits were originally announced by Cabrera et al. (2015) to be asymmetric but this was not confirmed by the follow-up study of Pallé et al. (2016),transit,,17/11/29,0.0357,0.85,,Confirmed planets,2015
1.7429964,CoRoT-2 b,0.0,,transit,,12/04/05,0.0281,3.31,,Confirmed planets,2007
9.06005,CoRoT-30 b,0.007,Data for this planet was imported from the exoplanet.eu database.,transit,,17/08/01,0.084,2.84,178.1,Confirmed planets,2017
4.62941,CoRoT-31 b,0.02,Data for this planet was imported from the exoplanet.eu database.,transit,,17/08/01,0.059,0.85,306.0,Confirmed planets,2017
4.25680,CoRoT-3 b,0.0,,transit,,12/04/05,0.057,21.66,,Confirmed planets,2008
9.20205,CoRoT-4 b,0.0,,transit,,08/11/27,0.09,0.72,,Confirmed planets,2008
4.0378962,CoRoT-5 b,0.09,CoRoT 6 is an F-type star in the constellation Monoceros.,transit,,09/07/18,0.04947,0.467,,Confirmed planets,2008
8.886593,CoRoT-6 b,,,transit,,10/01/11,0.0855,2.96,,Confirmed planets,2009
0.853585,CoRoT-7 b,0.0,"CoRoT 7 is a G-type star in the constellation Monoceros. The planet CoRoR 7b was the first rocky planet found. However, due to its high temperature the planet might be covered in lava.",transit,,10/10/15,0.0172,0.0151,,Confirmed planets,2009
3.698,CoRoT-7 c,0.0,The star CoRoT 7c is a G-type star in the constellation Monoceros. The planet is not transiting.,RV,,10/10/15,0.046,0.0264,,Confirmed planets,2009
6.21229,CoRoT-8 b,0.0,,transit,,10/06/14,0.063,0.22,,Confirmed planets,2010
95.2738,CoRoT-9 b,0.11,The star CoRoT 9 is located in the constellation Serpens. The density of the planet is approximately that of water.,transit,,10/03/17,0.407,0.84,,Confirmed planets,2010
,CT Cha B,,CT Chamaeleontis is a pre-main sequence T Tauri star. The companion might be a brown dwarf due to its large mass. There is evidence for material accreting onto the object at around 6×10^-10 solar masses per year.,imaging,,15/06/08,,,,Confirmed planets,2008
,DH Tau B,,,imaging,,11/03/08,,12,,Confirmed planets,2005
10230,DP Leo b,0.39,DP Leonis is an eclipsing binary system.,timing,,10/11/18,8.19,6.05,,Confirmed planets,2009
10.00329,EPIC 201208431 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.0777,,,Confirmed planets,2015
5.65639,EPIC 201295312 b,0.12,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,16/03/07,,,,Confirmed planets,2015
10.93241,EPIC 201338508 c,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.0818,,,Confirmed planets,2015
5.73594,EPIC 201338508 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.0532,,,Confirmed planets,2015
10.05449,EPIC 201367065 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1. Its mass has been determined through radial velocity measurements taken with HARPS, indicating it is rocky with up to 50% of the mass in a water envelope.",transit,,15/12/06,0.0769,0.0264,180,Confirmed planets,2015
24.64354,EPIC 201367065 c,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1. The radial velocity signature of this planet is masked by variations due to stellar activity, preventing an accurate mass determination.",transit,,15/12/06,0.1399,,89,Confirmed planets,2015
44.55983,EPIC 201367065 d,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission. The planetary system consists of three transiting Super-Earths. The low-mass star is bright and nearby, which makes this system an excellent laboratory to determine the planets' masses via Doppler spectroscopy and to constrain their atmospheric compositions via transit spectroscopy. The radial velocity signature of this planet is masked by variations due to stellar activity, preventing an accurate mass determination.",transit,,15/12/06,0.2076,,351,Confirmed planets,2015
30.94191,EPIC 201384232 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,18/07/24,0.1898,,,Confirmed planets,2015
28.67992,EPIC 201393098 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.1814,,,Confirmed planets,2015
19.15344,EPIC 201403446 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,18/07/24,0.1408,,,Controversial,2015
10.35239,EPIC 201445392 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.0856,,,Confirmed planets,2015
5.06416,EPIC 201445392 c,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.0532,,,Confirmed planets,2015
18.4498,EPIC 201465501 b,,"K2-9b was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1. It receives approximately Earth-like insolation and has a radius intermediate between that of Earth and Neptune. The orbit most likely has a low eccentricity.",transit,,16/01/21,0.091,,,Confirmed planets,2015
11.90715,EPIC 201505350 c,0.095,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.0971,0.0500,237,Confirmed planets,2015
7.91940,EPIC 201505350 b,0.119,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.0740,0.138,179,Confirmed planets,2015
2.50856,EPIC 201505350 d,,This planet was announced as part of a batch of 149 validated planets from the K2 mission.,transit,,18/07/24,0.0344,,,Confirmed planets,2015
6.77145,EPIC 201546283 b,0.16,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,16/03/07,,0.09156,,Confirmed planets,2015
5.608352,EPIC 201549860 b,0.120000,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,17/12/19,0.055,,41.1600000,Confirmed planets,2015
2.399964,EPIC 201549860 c,0.130000,,transit,,17/12/19,0.031,,-74.5500000,Confirmed planets,2016
8.6381,EPIC 201565013 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.0669,,,Controversial,2015
19.3044,EPIC 201577035 b,0.31,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,16/03/07,,0.0850,,Confirmed planets,2015
39.93767,EPIC 201596316 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.2257,,,Confirmed planets,2015
8.28212,EPIC 201613023 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,18/07/24,0.0802,,,Confirmed planets,2015
7.28161,EPIC 201617985 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.0586,,,Controversial,2015
39.91488,EPIC 201629650 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.2114,,,Confirmed planets,2015
8.36802,EPIC 201635569 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.0627,,,Confirmed planets,2015
0.381071,EPIC 201637175 b,,EPIC 201637175 b is a disintegrating planet orbiting the primary star of a binary system. It exhibits highly variable transit depths due to dust trails ejected from the planet.,transit,,15/05/03,0.0088,,,Confirmed planets,2015
40.7362,EPIC 201702477 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.2205,,,Controversial,2015
