mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
9.8,"2M 044144 b is the lowest-mass member of the quadruple system 2M0441+2301. Despite having a mass below the deuterium-fusion limit, the low mass ratio between 2M 044144 A and B suggests it likely formed by turbulent fragmentation rather than core accretion.",,,2010,Confirmed planets,,,imaging,15/09/12,,2M 044144 b
30,,,2.897,2010,Confirmed planets,0.487,4640,imaging,12/01/20,,2M 0746+20 b
5,"2M1207 might be the first directly imaged extrasolar planet. However, due to its high mass it might also classify as a brown dwarf.",,,2004,Confirmed planets,,,imaging,10/12/28,,2M1207 b
1.9,2M 1938+4603 is an eclipsing post-common envelope binary in the Kepler field. Variations in the timing of the eclipses of the binary star have been used to infer the presence of a giant planet in a circumbinary orbit.,,0.92,2015,Confirmed planets,,416,timing,15/06/11,,2M 1938+4603 b
20,,,3.53,2010,Confirmed planets,0.26,7340,imaging,12/01/20,,2M 2140+16 b
30,,,4.48,2010,Confirmed planets,0.0,8686,imaging,12/01/20,,2M 2206-20 b
,"2MASS 0122-2439 B is an L-dwarf companion to the star 2MASS J01225093-2439505. The age and luminosity of the object gives a dual-valued prediction for the mass, either in the range 12–13 or 22–27 Jupiter masses, assuming the system is a member of the AB Doradus moving group.",,,2013,Confirmed planets,,,imaging,15/04/20,,2MASS 0122-2439 B
13.9,2MASS J0219-3925 B is a low-mass L-type companion to an M-dwarf in the Tucana-Horologium association. The mass is close to the deuterium-burning limit.,,,2015,Confirmed planets,,,imaging,15/07/24,,2MASS J0219-3925 B
11.6,"2MASS J0249-0557 c is a wide-separation, planetary-mass companion to a low-mass binary system of brown dwarfs in the Beta Pictoris Moving Group. The object appears to be a near-twin of the planet Beta Pictoris b.",,,2018,Confirmed planets,,,imaging,18/07/28,,2MASS J02495639-0557352 c
6.6,,245322.1,1.01,2009,Confirmed planets,0.18,345.4,RV,16/01/10,337,30 Ari B b
4.51,Data for this planet was imported from the exoplanet.eu database.,,1.82,2016,Confirmed planets,0.03,825.9,,17/02/20,,38 Vir b
3.88,42 Draconis is a metal poor star.,2452757.4,1.19,2009,Confirmed planets,0.38,479.1,RV,15/09/24,218.7,42 Dra b
2.53,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,2451888,2.100,1996,Confirmed planets,0.032,1078,RV,15/09/24,334,47 UMa b
0.540,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,2452441,3.6,2001,Confirmed planets,0.098,2391,RV,15/09/24,295,47 UMa c
1.64,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,2451736,11.6,2010,Confirmed planets,0.16,14002,RV,15/09/24,110,47 UMa d
7.1,"4 Ursae Majoris is also known as Muscida, a name that is shared with 3 Ursae Majoris and Omicron Ursae Majoris.",2452987.3936,0.87,2007,Confirmed planets,0.432,269.3,RV,15/09/20,23.81,4 UMa b
2,51 Eri b is a directly-imaged exoplanet located at a projected separation of 13.2 AU from its star. The system also exhibits an infrared excess indicating the presence of debris belts at around 5.5 AU and 82 AU from the star. It is a member of the Beta Pictoris moving group.,2456947,14,2015,Confirmed planets,0.21,15000,imaging,15/08/14,90,51 Eri b
0.46,51 Pegasi is a Sun-like star in the constellation Pegasus. The planet is also called Bellerophon. The lower limit for the radius is given for the limit of a perfectly-reflecting Lambert sphere.,2456021.256,0.052,1995,Confirmed planets,0,4.231,RV,15/05/24,0,51 Peg b
0.8036,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,0.1134,1996,Confirmed planets,0.00,14.6516,RV,18/09/18,-21.5,55 Cancri b
0.1611,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,0.2373,2002,Confirmed planets,0.03,44.3989,RV,18/09/18,2.4,55 Cancri c
3.12,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,5.957,2002,Confirmed planets,0.13,5574.2,RV,18/09/18,-69.1,55 Cancri d
0.0251,"55 Cancri e is a super-Earth which appears to exhibit extreme variations in brightness temperature. The cause of these variations is unknown but may be due to large-scale volcanic activity on the planet. The latest estimates of the planetary radius are compatible with a rocky composition, but a thick water envelope or a carbon-rich composition cannot be ruled out. The phase curve indicates that heat is being transported to the night side by an atmosphere, likely dominated by carbon monoxide or nitrogen.",,0.01544,2004,Confirmed planets,0.05,0.7365474,transit,18/09/18,86.0,55 Cancri e
0.1503,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,0.7708,2007,Confirmed planets,0.08,259.88,RV,18/09/18,-97.6,55 Cancri f
0.016,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,,0.050201,2009,Confirmed planets,0.12,4.2150,RV,15/11/02,105,61 Vir b
0.0573,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,,0.2175,2009,Confirmed planets,0.14,38.021,RV,15/11/02,341,61 Vir c
0.0721,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,,0.476,2009,Confirmed planets,0.35,123.01,RV,15/11/02,314,61 Vir d
2.21,"The star 6 Lyncis is a subgiant and 15 times more luminous than our Sun. The astrometric signature of the planet gives a best-fit inclination of 2 degrees, which would imply the object is a brown dwarf with 64 times the mass of Jupiter. Nevertheless, the error bars are large and allow for masses between 2.2 and 128.7 Jupiter masses, a range that incorporates both planetary and stellar masses.",2454024.5,2.18,2008,Confirmed planets,0.059,874.774,RV,15/09/20,314.9,6 Lyn b
7.4,The star 70 Virginis is located in the constellation Virgo and starting to evolve into the subgiant phase. It has a dust disc at 3.4 AU.,2447239.7091,0.481,1996,Confirmed planets,0.399,116.6926,RV,15/04/15,,70 Vir b
3.0,Discovered with precise Doppler measurements at Okayama Astrophysical Observatory.,2452213,2.1,2012,Confirmed planets,0.117,691.9,RV,15/11/02,165,75 Cet b
1.85000,This planet was discovered by Wittenmyer et al. 2011. This was a ground based discovery. The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,1.758000,2011,Confirmed planets,0.060000,735.10000000,RV,19/10/24,165.3000,7 CMa b
0.87000,This planet was discovered by Luque et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2.153000,2019,Confirmed planets,0.080000,996.00000000,RV,19/10/24,233.5000,7 CMa c
5.3,The star 81 Ceti is a G-type giant in the constellation of Cetus.,2452486,2.5,2008,Confirmed planets,0.206,952.7,RV,15/09/20,175.0,81 Cet b
0.079,The first planet around the star 83 Leonis B (HD 99492) was discovered in 2004. A second planet was announced 6 years later but was subsequently shown to be an artifact of the stellar activity cycle.,,0.123,2004,Confirmed planets,0.07,17.054,RV,17/11/28,240.7,83 Leonis B b
0.36,"HD 99492 c was announced in 2010. Subsequent observations showed that the radial velocity variations attributed to this planet correlated with the stellar activity cycle, indicating that the planet is an artifact of the activity.",2449636,5.4,2010,Retracted planet candidate,0.1,4970,RV,17/11/28,38,83 Leonis B c
1.5,This planet was detected by the Bohyunsan Optical Astronomy Observatory (BOAO) which searches for exoplanets at northern circumpolar stars.,2454108.5,0.49,2015,Confirmed planets,0.06,93.4,RV,15/09/30,,8 Ursae Minoris b
3.2,91 Aquarii is a triple star system in the constellation Aquarius. It is visible to the naked eye and is host to at least one extrasolar planet.,2453472.1,0.70,2003,Confirmed planets,0.027,181.4,RV,15/11/03,177.3,91 Aquarii A b
12,"AB Pictoris is a star in the constellation of Pictor. Because of its high mass, the companion could be a planet or a brown dwarf.",,,2005,Confirmed planets,,,imaging,10/12/06,,AB Pic b
1.8,,2451213.52,1.2,2011,Confirmed planets,0.25,380.8,RV,15/11/17,89.16,alf Ari b
6.47,Investigations of long-period radial velocity in Aldebaran first reported over 20 years ago and further photometric investigations provide further evidence of a planetary companion to Aldebaran.,2451297.0,1.46,2015,Controversial,0.10,628.96,RV,15/11/17,287,alf Tau b
0.004089,"Astronomers using ESO telescopes and other facilities have found clear evidence of a planet orbiting the closest star to Earth, Proxima Centauri. The long-sought world, designated Proxima b, orbits its cool red parent star every 11 days and has a temperature suitable for liquid water to exist on its surface. This rocky world is a little more massive than the Earth and is the closest exoplanet to us — and it may also be the closest possible abode for life outside the Solar System.",,0.0485,2016,Confirmed planets,,11.186,RV,16/08/22,,Proxima Centauri b
0.022024,"Proxima c is a Super-Earth about 7 times as heavy as Earth, orbiting at roughly 1.5 astronomical units (220,000,000 km) every 1,900 days (5.2 yr). Due to its large distance from Proxima Centauri, the exoplanet is unlikely to be habitable, with a low equilibrium temperature of around 39 K. The planet was first reported by Italian astrophysicist Mario Damasso and his colleagues in April 2019. Damasso's team had noticed minor movements of Proxima Centauri in the radial velocity data from the ESO's HARPS instrument, indicating a possible additional planet orbiting Proxima Centauri. In 2020, the planet's existence was confirmed by precovery images from Hubble c. 1995, making it the first and closest planet ever to be directly imaged. Due to the differences in how its light shines throughout its orbit, the planet is speculated to have a ring system.",,,2020,Confirmed planets,,1929,RV,20/07/25,,Proxima Centauri c
0.00356,"Alpha Centauri is one of the brightest stars in the southern sky (in fact, it is a triple system). The planet candidate Alpha Centauri Bb was announced as the nearest exoplanet to Earth and also the lightest exoplanet ever discovered around a Sun-like star. The candidate was detected using the HARPS instrument on the 3.6-metre telescope at ESO's La Silla Observatory in Chile. The planet's existence was challenged by Hatzes (2013) and was shown to be likely an artifact caused by the data sampling by Rajpaul et al. (2015).",,0.04,2012,Controversial,0.0,3.2357,RV,15/11/17,,Alpha Centauri B b
,A possible transit event was detected in Hubble Space Telescope photometry of Alpha Centauri B while searching for transits of the planet candidate Alpha Centauri Bb. This may be due to the presence of a roughly Earth-sized planet in an orbit less than 20 days.,,,2015,Controversial,,,transit,15/11/17,,Alpha Centauri B c
0.18000,This planet was discovered by Plavchan et al. 2020. The discovery was made with a space based telescope (0.1 m TESS Telescope). The parameters listed here are those reported by Plavchan et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.066000,2020,Confirmed planets,0.100000,8.46321000,transit,20/06/24,,AU Mic b
6.4,Data for this planet was imported from the exoplanet.eu database.,,1.3,2017,Confirmed planets,0.2,481.9,RV,17/06/30,218.0,BD+03 2562 b
0.045,The star BD-82823 is a K-type main sequence star in the constellation Sextans. It has only one fifth of our Sun's luminosity.,2454637.7,0.056,2009,Confirmed planets,0.15,5.60,RV,15/11/17,30,BD-08 2823 b
0.33,The star BD-82823 is a K-type main sequence star in the constellation Sextans. It has only one fifth of our Sun's luminosity.,2454193,0.68,2009,Confirmed planets,0.19,237.6,RV,15/11/17,-233,BD-08 2823 c
0.408,The star BD-103166 is a K-type main sequence star in the constellation Crater. It is three times as metal-rich as our Sun.,2451171.22,0.0427,2000,Confirmed planets,0.0190,3.48777,RV,15/11/17,334,BD-10 3166 b
0.65000,This planet was discovered by Moutou et al. 2015. This was a ground based discovery. The parameters listed here are those reported by Barbato et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2.360000,2014,Confirmed planets,0.050000,1634.00000000,RV,20/07/23,343.8800,BD-11 4672 b
0.04836,This planet was discovered by Barbato et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Barbato et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.300000,2020,Confirmed planets,0.400000,74.20000000,RV,20/07/23,245.9200,BD-11 4672 c
1.47,,245294.21,0.777,2009,Confirmed planets,0.29,268.94,RV,15/11/26,87.64,BD+14 4559 b
1.061,BD+15 2375 b is a giant planet orbiting a red giant star.,2457680,0.576,2016,Confirmed planets,0.001,153.22,RV,17/12/09,55,BD+15 2375 b
1.11,The planet BD+15 2940 b was discovered by the Penn State - Torun Planet Search (PTPS) using ground based spectrometer. It is the closest-in planet around a giant star. It might soon be swallowed by the star as a consequence of stellar evolution.,2453464,0.539,2013,Confirmed planets,0.26,137.48,RV,15/11/23,302,BD+15 2940 b
5.1,The star BD-1763 is a K-type star in the constellation Cetus. It is five times less luminous than our Sun.,2454627.1,1.34,2008,Confirmed planets,0.54,655.6,RV,15/11/17,112.2,BD-17 63 b
6.37,The existance of planet BD+20 1790 b was proposed first in 2010. New Bayesian analysis supports the hypothesis of the planetary companion.,,0.066,2015,Confirmed planets,0.22,7.78287,RV,15/11/23,262,BD+20 1790 b
21.42,The star BD+20 2457 is located in the constellation Leo. Its metallicity is ten times lower compared to our Sun. The orbital parameters given in the discovery paper have been shown to be dynamically unstable on astronomically short timescales.,2454677.53,1.45,2009,Controversial,0.15,379.63,RV,15/11/26,207.64,BD+20 2457 b
12.47,The star BD+20 2457 is located in the constellation Leo. Its metallicity is ten times lower compared to our Sun. The orbital parameters given in the discovery paper have been shown to be dynamically unstable on astronomically short timescales.,2453867.45,2.01,2009,Controversial,0.18,621.99,RV,15/11/26,126.02,BD+20 2457 c
4.2,"This planet was found by the Penn State-Torun Planet Search Team (PTPS) using the Hobby-Eberly Telescope. Most likely, there is another low-mass stellar companion in the system.",2453921.0,1.3,2012,Confirmed planets,0.21,578.2,RV,15/11/23,108.5,BD+20 274 b
0.05129,K2-56 b is a Neptune-sized planet with a density compatible with a mainly-rocky composition.,,0.241,2016,Confirmed planets,0,41.6855,transit,17/11/30,,BD+20 594 b
26,BD+26 1888 b is a massive planet or brown dwarf orbiting a K7 star.,2456548.3,1.19,2016,Confirmed planets,0.2675,536.78,RV,17/12/09,1.3,BD+26 1888 b
0.91,This planet was found by the Penn State-Torun Planet Search Team (PTPS) using the Hobby-Eberly Telescope.,2454457.7,1.0,2011,Confirmed planets,0.2,392.6,RV,15/11/17,358.9,BD+48 738 b
1.6,,2455470,4.2,2015,Confirmed planets,0.35,2590,RV,15/11/23,170,BD+49 828 b
7.8,"The planet beta Cancri b is orbiting the brighest star in the constellation Cancer once every 600 days. It was found using data from 10, collected with the Bohyunsan Observatory.",2453229.8,1.7,2014,Confirmed planets,0.08,605.2,RV,15/11/26,58.9,beta Cancri b
,"Beta Pictoris is an A type star, 63 lightyears away from our own Solar System. The star is host to a debris disk and a planet. Using high spectroscopic observations, astronomers were able to measure the length of a day on bet Pic b: 8.1 hours. The planet or material in orbit around it may have been responsible for a transit-like event observed in November 1981.",,9.100000,2008,Confirmed planets,0.080000,7665.00000000,imaging,15/08/22,-8.0000,beta Pic b
9.00000,This planet was discovered by Lagrange et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Lagrange et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2.700000,2019,Confirmed planets,0.240000,1200.00000000,RV,19/08/29,,beta Pic c
6.1,"This planet is orbiting the brighest star in the bowl of the Little Dipper. The star is K giant, 130 times more luminous than the Sun and about 130 light years away. The planet was found using data collected from the Bohyunsan Observatory.",2453175.3,1.4,2014,Confirmed planets,0.19,522.3,RV,15/11/26,307.4,beta Ursae Minoris b
6.5,,,2.6,2011,Confirmed planets,,9855,imaging,11/03/08,,CFBDS 1458 b
5.5,"This planet is an orphan planet, which means it is not orbiting any star. Some people therefore argue that it should not be called a planet. The object is associated with the AB Doradus moving group which allows astronomers to determine its age and therefore its mass.",,,2012,Confirmed planets,,,imaging,12/11/14,,CFBDSIR2149
12,"The companion CHXR 73 b is just under the threshold for deuterium fusion. Therefor, its status as a planet is uncertain.",,,2006,Confirmed planets,,,imaging,11/03/08,,CHXR 73 b
12.31,CI Tau b is a massive planet candidate orbiting a classical T Tauri star.,,,2016,Confirmed planets,0.28,8.9891,RV,17/12/01,,CI Tau b
2.75,,,0.1055,2010,Confirmed planets,0.53,13.2406,transit,10/06/14,,CoRoT-10 b
2.49,,,0.04351,2010,Confirmed planets,0.0,2.994325,transit,12/07/02,,CoRoT-11 b
0.917,,,0.04016,2010,Confirmed planets,0.07,2.828042,transit,10/06/14,,CoRoT-12 b
1.308,,,0.051,2010,Confirmed planets,0.0,4.03519,transit,10/07/12,,CoRoT-13 b
7.6,,,0.027,2010,Confirmed planets,0.0,1.51214,transit,10/12/22,,CoRoT-14 b
0.53,,,0.0618,2010,Confirmed planets,0.33,5.35227,transit,11/06/14,,CoRoT-16 b
2.45,,,0.0461,2010,Confirmed planets,0.0,3.768125,transit,11/05/11,,CoRoT-17 b
3.47,,,0.0295,2011,Confirmed planets,0.08,1.9000693,transit,12/04/05,,CoRoT-18 b
1.11,,,0.0518,2011,Confirmed planets,0.047,3.89713,transit,11/07/05,,CoRoT-19 b
1.03,"The star CoRoT-1 is a sun-like star in the constellation of Monoceros. The planet CoRoT-1b is the first planet discovered by the European space mission CoRoT (COnvection, ROtation and planetary Tansits).",,0.0254,2007,Confirmed planets,0.0,1.5089557,transit,12/04/05,,CoRoT-1 b
4.3,,,0.090,2011,Confirmed planets,0.59,9.24285,transit,18/08/31,60.1,CoRoT-20 b
17,CoRoT-20 c is a massive radial velocity-detected companion to the exoplanet host star CoRoT-20. It may have excited the eccentricity of the transiting hot Jupiter via the Lidov-Kozai mechanism.,2454136,2.90,2018,Confirmed planets,0.60,1675,RV,18/08/31,65.0,CoRoT-20 c
2.26,,,0.0417,2011,Confirmed planets,0.0,2.72474,transit,11/12/13,,CoRoT-21 b
0.0383853003178,"CoRoT-22 b is a transiting exoplanet discovered by the European CoRoT space mission. The planetary nature of this object has been validated by a full Bayesian analysis including observing constraints from radial-velocity spectroscopy, adaptive optics imaging and the CoRoT transit shape, as well as from priors on stellar populations, planet and multiple stellar systems frequency.",,0.092,2014,Confirmed planets,0.077,9.75598,transit,14/08/28,210.0,CoRoT-22 b
2.8,,,0.0477,2011,Confirmed planets,0.16,3.6314,transit,11/09/20,,CoRoT-23 b
,CoRoT-24 is the first multiplanetary system discovered by the CoRoT mission. The probability that the observations are caused by transiting Neptune-sized planets is 26 times more likely than a blend scenario.,,0.056,2014,Confirmed planets,0,5.1134,transit,14/06/08,,CoRoT-24 b
0.088,CoRoT-24 is the first multiplanetary system discovered by the CoRoT mission. The probability that the observations are caused by transiting Neptune-sized planets is 26 times more likely than a blend scenario.,,0.098,2014,Confirmed planets,0,11.759,transit,14/06/08,,CoRoT-24 c
0.27,,,0.0578,2013,Confirmed planets,0,4.86069,transit,13/05/24,,CoRoT-25 b
0.52,,,0.0526,2013,Confirmed planets,0,4.20474,transit,13/05/24,,CoRoT-26 b
10.39,CoRoT-27b is a massive and dense planet on a short period orbit. It was discovered by the European space mission CoRoT.,,0.0476,2014,Confirmed planets,,3.57532,transit,14/01/07,,CoRoT-27 b
0.484,CoRoT-28 b is a Jupiter-sized planet orbiting an evolved star. It was discovered by the European space mission CoRoT.,,0.0590,2015,Confirmed planets,0.047,5.20851,transit,15/04/07,,CoRoT-28 b
0.85,CoRoT-29 b is a Jupiter-sized planet orbiting an oblate star. It was discovered by the European space mission CoRoT. The transits were originally announced by Cabrera et al. (2015) to be asymmetric but this was not confirmed by the follow-up study of Pallé et al. (2016),,0.0357,2015,Confirmed planets,,2.8505615,transit,17/11/29,,CoRoT-29 b
3.31,,,0.0281,2007,Confirmed planets,0.0,1.7429964,transit,12/04/05,,CoRoT-2 b
2.90000,This planet was discovered by Bordé et al. 2020. The discovery was made with a space based telescope (0.27 m CoRoT Telescope). The parameters listed here are those reported by Bordé et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.084400,2020,Confirmed planets,0.007000,9.06005000,transit,20/04/16,178.1000,CoRoT-30 b
0.84000,This planet was discovered by Bordé et al. 2020. The discovery was made with a space based telescope (0.27 m CoRoT Telescope). The parameters listed here are those reported by Bordé et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.058600,2020,Confirmed planets,0.020000,4.62941000,transit,20/04/16,303.6000,CoRoT-31 b
21.66,,,0.057,2008,Confirmed planets,0.0,4.25680,transit,12/04/05,,CoRoT-3 b
0.72,,,0.09,2008,Confirmed planets,0.0,9.20205,transit,08/11/27,,CoRoT-4 b
0.467,CoRoT 6 is an F-type star in the constellation Monoceros.,,0.04947,2008,Confirmed planets,0.09,4.0378962,transit,09/07/18,,CoRoT-5 b
2.96,,,0.0855,2009,Confirmed planets,,8.886593,transit,10/01/11,,CoRoT-6 b
0.0151,"CoRoT 7 is a G-type star in the constellation Monoceros. The planet CoRoR 7b was the first rocky planet found. However, due to its high temperature the planet might be covered in lava.",,0.0172,2009,Confirmed planets,0.0,0.853585,transit,10/10/15,,CoRoT-7 b
0.0264,The star CoRoT 7c is a G-type star in the constellation Monoceros. The planet is not transiting.,,0.046,2009,Confirmed planets,0.0,3.698,RV,10/10/15,,CoRoT-7 c
0.22,,,0.063,2010,Confirmed planets,0.0,6.21229,transit,10/06/14,,CoRoT-8 b
0.84,The star CoRoT 9 is located in the constellation Serpens. The density of the planet is approximately that of water.,,0.407,2010,Confirmed planets,0.11,95.2738,transit,10/03/17,,CoRoT-9 b
,CT Chamaeleontis is a pre-main sequence T Tauri star. The companion might be a brown dwarf due to its large mass. There is evidence for material accreting onto the object at around 6×10^-10 solar masses per year.,,,2008,Confirmed planets,,,imaging,15/06/08,,CT Cha B
12.00000,This planet was discovered by Han et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Han et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,5.750000,2018,Confirmed planets,0.000000,4098.10000000,timing,19/07/11,,DE CVn b
12,,,,2005,Confirmed planets,,,imaging,11/03/08,,DH Tau B
0.07636,This planet was discovered by Staab et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Staab et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.146200,2019,Confirmed planets,0.083000,18.57000000,RV,20/01/30,,DMPP-1 b
0.03020,This planet was discovered by Staab et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Staab et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.073300,2019,Confirmed planets,0.057000,6.58400000,RV,20/01/30,,DMPP-1 c
0.01054,This planet was discovered by Staab et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Staab et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.042200,2019,Confirmed planets,0.070000,2.88200000,RV,20/01/30,,DMPP-1 d
0.01299,This planet was discovered by Staab et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Staab et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.065100,2019,Confirmed planets,0.070000,5.51600000,RV,20/01/30,,DMPP-1 e
0.43700,This planet was discovered by Haswell et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Haswell et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.066400,2019,Confirmed planets,0.078000,5.20720000,RV,20/01/30,,DMPP-2 b
0.00812,This planet was discovered by Barnes et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Barnes et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.066200,2019,Confirmed planets,0.140000,6.67320000,RV,20/01/30,80.5700,DMPP-3 A b
6.05,DP Leonis is an eclipsing binary system.,,8.19,2009,Confirmed planets,0.39,10230,timing,10/11/18,,DP Leo b
,This planet was discovered by Newton et al. 2019. The discovery was made with a space based telescope (0.1 m TESS Telescope). The parameters listed here are those reported by Newton et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,0.000000,8.13826800,transit,19/07/11,,DS Tuc A b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0777,2015,Confirmed planets,,10.00329,transit,15/07/07,,EPIC 201208431 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,28.16560000,transit,19/06/13,,EPIC 201238110 b
