declination,distance,name,rightascension,binaries,planets,stars
+02 45 36,1106.9,BD+03 2562,11 50 16,0.0,1.0,1.0
-09 31 00.0340,42.5,BD-08 2823,10 00 47.72035,0.0,2.0,1.0
-10 46 13.386,65.19,BD-10 3166,10 58 28.7798,0.0,1.0,1.0
-11 38 10,27.30,BD-11 4672,18 33 29,0.0,2.0,1.0
+14 41 21.7994,48.36,BD+14 4559,21 13 35.99143,0.0,1.0,1.0
+14 36 58.938,610,BD+15 2375,11 45 55.7138,0.0,1.0,1.0
+15 32 48.9291,508,BD+15 2940,16 00 22.93827,0.0,1.0,1.0
-16 13 34.8458,35.7,BD-17 63,00 28 34.30654,0.0,1.0,1.0
+20 24 58.66,25.4,BD+20 1790,07 23 43.592,0.0,1.0,1.0
+19 53 28.974,,BD+20 2457,10 16 44.8635,0.0,2.0,1.0
+21 00 19.04,1383.9,BD+20 274,01 43 40.877,0.0,1.0,1.0
+20 35 57.268,173.0,BD+20 594,03 34 36.2296,0.0,1.0,1.0
+25 53 21.871,41.20,BD+26 1888,09 02 30.6419,0.0,1.0,1.0
+49 35 13.08,892.1,BD+48 738,02 42 50.463,0.0,1.0,1.0
+49 43 47.974,447.6,BD+49 828,03 02 33.7362,0.0,1.0,1.0
+09 11 07.9579,93.0,beta Cancri,08 16 30.92101,0.0,1.0,1.0
-51 03 59,19.75,beta Pic,05 47 17,0.0,2.0,1.0
+74 09 19.8142,40.14,beta Ursae Minoris,14 50 42.32580,0.0,1.0,1.0
+10 13 43,23.1,CFBDS 1458,14 58 29,0.0,1.0,1.0
-04 03 08,40,CFBDSIR2149,21 49 47,0.0,1.0,0.0
-77 37 33,,CHXR 73,11 06 29,0.0,1.0,1.0
+22 50 30.18,158.7,CI Tau,04 33 52.005,0.0,1.0,1.0
+00 44 46,345,CoRoT-10,19 24 15,0.0,1.0,1.0
+05 56 16,560,CoRoT-11,18 42 45,0.0,1.0,1.0
-01 17 47,1150,CoRoT-12,06 43 04,0.0,1.0,1.0
-05 05 11,1310,CoRoT-13,06 50 53,0.0,1.0,1.0
-05 32 10,1340,CoRoT-14,06 53 42,0.0,1.0,1.0
-06 00 09,840,CoRoT-16,18 34 06,0.0,1.0,1.0
-06 36 44,920,CoRoT-17,18 34 47,0.0,1.0,1.0
-00 01 54,870,CoRoT-18,06 32 41,0.0,1.0,1.0
-00 10 15,800,CoRoT-19,06 28 08,0.0,1.0,1.0
-03 06 08,460,CoRoT-1,06 48 19,0.0,1.0,1.0
+00 13 36.858471822,864,CoRoT-20,06 30 52.9022405280,0.0,2.0,1.0
-00 17 57.06,1398.8,CoRoT-21,06 44 12.64,0.0,1.0,1.0
+06 13 08.97,592.0,CoRoT-22,18 42 40.109,0.0,1.0,1.0
+04 21 28,600,CoRoT-23,18 39 08,0.0,1.0,1.0
-03 43 10,600,CoRoT-24,06 47 41,0.0,2.0,1.0
+06 30 50.04,1000,CoRoT-25,18 42 31.13,0.0,1.0,1.0
+06 58 11.71,1670,CoRoT-26,18 39 00.13,0.0,1.0,1.0
+05 32 19,,CoRoT-27,18 33 59,0.0,1.0,1.0
+05 34 25.72,560,CoRoT-28,18 34 45.21,0.0,1.0,1.0
+06 28 46.99,765,CoRoT-29,18 35 36.50,0.0,1.0,1.0
+01 23 02,300,CoRoT-2,19 27 07,0.0,1.0,1.0
+06 50 09,960.00,CoRoT-30,18 30 24,0.0,1.0,1.0
-04 25 20,2190.00,CoRoT-31,06 19 17,0.0,1.0,1.0
+00 07 19,680,CoRoT-3,19 28 13,0.0,1.0,1.0
-00 40 22,741.6,CoRoT-4,06 48 47,0.0,1.0,1.0
+00 48 55,400,CoRoT-5,06 45 07,0.0,1.0,1.0
+06 39 48,657.2,CoRoT-6,18 44 18,0.0,1.0,1.0
-01 03 47,150,CoRoT-7,06 43 49,0.0,2.0,1.0
+01 25 36,380,CoRoT-8,19 26 21,0.0,1.0,1.0
+06 12 15,460,CoRoT-9,18 43 09,0.0,1.0,1.0
-76 27 19,165,CT Cha,11 04 09,0.0,1.0,1.0
+45 32 47,30.55,DE CVn,13 26 53,0.0,1.0,1.0
+26 32 58,140.01,DH Tau,04 29 42,0.0,1.0,1.0
-10 37 49,62.00,DMPP-1,05 47 06,0.0,4.0,1.0
-34 27 33,134.00,DMPP-2,01 49 38,0.0,1.0,1.0
-72 30 46,48.90,DMPP-3 A,06 06 30,0.0,1.0,1.0
+17 57 41,400,DP Leo,11 17 16,1.0,1.0,2.0
-69 11 45,44.12,DS Tuc A,23 39 39,0.0,1.0,1.0
-03 54 20.11,233.4,EPIC 201208431,11 38 58.953,1.0,1.0,2.0
-03 23 22,159.98,EPIC 201238110,11 58 49,0.0,1.0,1.0
-02 31 15.17,331,EPIC 201295312,11 36 02.791,0.0,1.0,1.0
-01 52 40.71,181,EPIC 201338508,11 17 12.84,0.0,2.0,1.0
-01 11 54.52,343,EPIC 201384232,11 52 46.142,1.0,1.0,2.0
-01 03 56.72,433,EPIC 201393098,11 08 22.505,0.0,1.0,1.0
-00 54 26.14,362,EPIC 201403446,11 37 03.923,1.0,1.0,2.0
-00 17 03.75,405,EPIC 201445392,11 19 10.48,0.0,2.0,1.0
+00 00 19.08,110,EPIC 201465501,11 45 03.472,0.0,1.0,1.0
+00 29 17,254.88,EPIC 201497682,11 15 45,0.0,1.0,1.0
+00 36 12.87,291,EPIC 201505350,11 39 50.477,0.0,3.0,1.0
+01 13 50.66,251,EPIC 201546283,11 26 03.639,0.0,1.0,1.0
+01 17 09.44,249,EPIC 201549860,11 20 24.739,1.0,2.0,2.0
+01 30 36.9,506,EPIC 201565013,11 47 58.126,0.0,1.0,1.0
+01 41 26.29,271,EPIC 201577035,11 28 29.270,0.0,1.0,1.0
+01 59 12.62,332.5,EPIC 201596316,11 16 10.08,0.0,1.0,1.0
+02 14 41.58,294,EPIC 201613023,11 32 46.089,0.0,1.0,1.0
+02 19 17.31,111,EPIC 201617985,11 57 57.998,0.0,1.0,1.0
+02 30 09.71,290,EPIC 201629650,11 20 37.327,1.0,1.0,2.0
+02 35 39.28,219,EPIC 201635569,11 52 13.686,0.0,1.0,1.0
+02 37 06.79,225,EPIC 201637175,11 17 55.856,1.0,1.0,2.0
+03 40 53.7,673,EPIC 201702477,11 40 57.791,1.0,1.0,2.0
+04 15 17.09,437,EPIC 201736247,11 52 26.591,0.0,1.0,1.0
+04 33 26.42,324,EPIC 201754305,11 40 23.342,0.0,2.0,1.0
+05 53 39.56,146,EPIC 201828749,11 42 37.042,1.0,1.0,2.0
+06 08 06,441.94,EPIC 201841433,11 40 50,0.0,1.0,1.0
+06 24 44.14,134,EPIC 201855371,11 53 19.146,0.0,1.0,1.0
+07 35 18.21,34,EPIC 201912552,11 30 14.510,0.0,2.0,1.0
-26 33 13.51,437,EPIC 203311200,16 03 54.334,0.0,1.0,1.0
-24 59 25.19,181,EPIC 203771098,16 10 17.693,0.0,2.0,1.0
-24 47 13.42,1768.000,EPIC 203826436,16 13 48.243,0.0,3.0,1.0
-23 32 52.32,110.9,EPIC 204129699,16 21 48.801,0.0,1.0,1.0
-23 11 21.4,193.7,EPIC 204221263,16 00 08.06,0.0,2.0,1.0
-19 32 34.16,222.300,EPIC 205071984,16 49 42.260,0.0,3.0,1.0
-19 19 09.6,145.0,EPIC 205117205,16 10 14.74,0.0,1.0,1.0
-14 29 20.35,65,EPIC 206011691,22 41 12.89,0.0,2.0,1.0
-14 07 18,373.81,EPIC 206024342,22 05 07,0.0,1.0,1.0
-13 54 03,162.09,EPIC 206032309,22 44 58,0.0,1.0,1.0
-13 36 36,457.27,EPIC 206042996,22 30 03,0.0,1.0,1.0
-09 30 34,110.22,EPIC 206215704,22 20 23,0.0,1.0,1.0
-07 58 21,317.20,EPIC 206317286,22 30 28,0.0,1.0,1.0
-07 57 19.3,63.1,EPIC 206318379,22 22 29.85,0.0,1.0,1.0
+12 34 21.41,125,EPIC 210363145,03 40 54.824,0.0,1.0,1.0
+15 14 52.00,45.7,EPIC 210490365,04 13 05.61,0.0,1.0,1.0
+21 17 55.27,210.0,EPIC 210894022,03 59 33.541,0.0,1.0,1.0
+24 24 07,179.4,EPIC 211089792,04 10 41,0.0,1.0,1.0
+11 30 40.12,435.0,EPIC 211391664,08 25 57.189,0.0,1.0,1.0
+17 38 24.05,187.2,EPIC 211822797,08 41 38.483,0.0,1.0,1.0
+18 44 35.01,181.5,EPIC 211901114,08 41 35.694,0.0,1.0,1.0
+18 56 02.08,181.5,EPIC 211913977,08 41 22.581,0.0,1.0,1.0
+18 58 36.07,181.5,EPIC 211916756,08 37 27.058,0.0,1.0,1.0
+19 46 25.67,181.5,EPIC 211969807,08 38 32.834,0.0,1.0,1.0
+19 46 43.65,181.5,EPIC 211970147,08 40 13.453,0.0,1.0,1.0
+20 06 22,181.5,EPIC 211990866,08 38 24,0.0,1.0,1.0
-17 36 36,423.35,EPIC 212297394,13 48 49,0.0,1.0,1.0
-14 21 34,622.67,EPIC 212424622,13 29 20,0.0,1.0,1.0
-12 44 05,285.61,EPIC 212499991,13 29 57,0.0,1.0,1.0
-10 51 45,322.88,EPIC 212587672,13 41 47,0.0,1.0,1.0
-07 19 05,347.45,EPIC 212737443,13 36 53,0.0,2.0,1.0
-05 26 32.8,604.0,EPIC 212803289,13 55 05.71,0.0,1.0,1.0
-22 17 36.3,698.1,EPIC 216468514,18 59 56.49,0.0,1.0,1.0
-17 54 38.4,152.0,EPIC 218916923,19 16 15.97,0.0,1.0,1.0
+06 42 08,553.4,EPIC 220504338,01 17 48,0.0,1.0,1.0
+10 47 40.92,257.200,EPIC 220674823,00 52 19.147,0.0,2.0,1.0
-09 36 27.5,340.24,EPIC 228735255,12 32 32.96,0.0,1.0,1.0
-08 44 49.85,620.42,EPIC 228754001,12 08 39.933,0.0,1.0,1.0
-06 11 42.83,95.0,EPIC 228813918,12 27 28.985,0.0,1.0,1.0
+11 50 34,560.00,EPIC 248847494,10 37 33,0.0,1.0,1.0
-16 43 28,324.22,EPIC 249893012,15 12 60,0.0,3.0,1.0
+26 52 40.3635,67.9,eps Coronae Borealis,15 57 35.25147,1.0,1.0,2.0
-09 27 29.7312,3.2161,eps Eridani,03 32 55.84496,0.0,1.0,1.0
-56 47 09.537018193,3.6389,Epsilon Indi,22 03 21.6542294981,2.0,1.0,3.0
+19 10 49.5446,44.96,eps Tau,04 28 36.99882,0.0,1.0,1.0
-10 10 56.1570,37.99,eta Cet,01 08 35.39148,0.0,2.0,1.0
+46 19 26.8632,130,FL Lyr,19 12 04.86170,1.0,1.0,2.0
+42 27 31.63,3000,FN Lyr,19 10 22.253,0.0,1.0,1.0
-29 37 20,7.704,Fomalhaut,22 57 39,2.0,1.0,3.0
+25 03 03.05,140,FU Tau,04 23 35.386,0.0,1.0,1.0
+26 16 53,145,FW Tau,04 29 30,1.0,1.0,2.0
+21 04 34,27.93,G 9-40,08 58 52,0.0,1.0,1.0
+77 37 56.1876,13.523,gamma Cephei,23 39 20.85153,1.0,1.0,2.0
+19 50 28.53,38.5,Gamma Leonis,10 19 58.427,1.0,1.0,2.0
+16 52 52.64,3.83,GAT 1370,02 53 00.891,0.0,2.0,1.0
-44 30 46,3.67,GJ 1061,03 35 60,0.0,3.0,1.0
-47 09 24.47,12.04,GJ 1132,10 14 51.846,0.0,1.0,1.0
-56 27 25,20.38,GJ 1252,20 27 42,0.0,1.0,1.0
-63 29 57,16.33,GJ 143,03 26 59,0.0,2.0,1.0
-20 51 11,25.88,GJ 160.2,04 06 35,0.0,1.0,1.0
-17 46 24,11.94,GJ 180,04 53 50,0.0,3.0,1.0
-21 51 52.7117,5.75,GJ 229,06 10 34.61533,1.0,2.0,2.0
-44 15 12,23.62,GJ 27.1,00 39 59,0.0,1.0,1.0
+05 13 32.8,3.8,GJ 273,07 27 24.50,0.0,2.0,1.0
-53 56 32,16.63,GJ 3082,01 14 34,0.0,1.0,1.0
-16 20 22.5,28.49,GJ 3138,02 09 10.90,0.0,3.0,1.0
-06 56 45.92,5.38,GJ 3323,05 01 57.469,0.0,2.0,1.0
+52 41 11,6.33,GJ 338 B,09 14 25,0.0,1.0,1.0
+59 29 51,9.49,GJ 3512,08 41 20,0.0,1.0,1.0
-21 39 39,9.44,GJ 357,09 36 02,0.0,3.0,1.0
-57 32 52,12.67,GJ 422,11 16 00,0.0,1.0,1.0
-32 32 24,9.07,GJ 433,11 35 27,0.0,3.0,1.0
-02 39 17.5,10.03,GJ 536,14 01 03.19,0.0,1.0,1.0
-44 19 09.1697,5.079,GJ 682,17 37 03.66242,0.0,2.0,1.0
+59 37 49.4,3.520,GJ 725,18 42 46.69,1.0,1.0,2.0
-35 51 11,3.29,GJ 887,23 05 52,0.0,2.0,1.0
-01 17 11,29.69,GJ 9827,23 27 05,0.0,3.0,1.0
+18 35 30,8.16,Gl 686,17 37 53,0.0,1.0,1.0
+04 57 49.7,14.55,Gliese 1214,17 15 18.94,0.0,1.0,1.0
+44 01 22.6282,3.587,Gliese 15,00 18 22.88532,1.0,2.0,2.0
-53 22 23.3050,15.0,Gliese 163,04 09 15.66350,0.0,3.0,1.0
+18 57 29.4043,9.42,Gliese 176,04 42 55.77497,0.0,1.0,1.0
+06 28 35.64,12.29,Gliese 179,04 52 05.731,0.0,1.0,1.0
-05 59 41,20,Gliese 221,05 53 00,0.0,2.0,1.0
-79 51 04,17.62,Gliese 3021,00 16 12,1.0,1.0,2.0
-23 27 23,15.1,Gliese 317,08 40 59,0.0,2.0,1.0
+01 32 56,19.8,Gliese 328,08 55 08,0.0,1.0,1.0
-25 10 08.9,18.2,Gliese 3293,04 28 35.72,0.0,3.0,1.0
-31 17 46.6,23.2,Gliese 3341,05 15 46.68,0.0,1.0,1.0
+15 23 30,30.7,Gliese 3470,07 59 06,0.0,1.0,1.0
-31 08 39,19.8,Gliese 3634,10 58 35,0.0,1.0,1.0
+26 42 23.653,9.748,Gliese 436,11 42 11.0932,0.0,3.0,1.0
+62 20 42,9.86,Gliese 49,01 02 39,0.0,1.0,1.0
+09 25 26.9590,17.56,Gliese 504,13 16 46.51596,0.0,1.0,1.0
-07 43 20,6.21,Gliese 581,15 19 26,0.0,6.0,1.0
+25 44 39,10.34,Gliese 649,16 58 09,0.0,2.0,1.0
-34 59 23,6.97,Gliese 667,17 18 57,2.0,7.0,3.0
-46 53 43,4.54,Gliese 674,17 28 40,0.0,1.0,1.0
-51 38 13,16.5,Gliese 676,17 30 11,1.0,4.0,2.0
+68 20 20.9108,4.5,Gliese 687,17 36 25.89973,0.0,1.0,1.0
+29 53 48.50,15.89,Gliese 777,20 03 37.405,1.0,2.0,2.0
-27 01 58,8.82,Gliese 785,20 15 17,0.0,2.0,1.0
-49 00 32,4.94,Gliese 832,21 33 34,0.0,2.0,1.0
-04 38 26.6,9.10,Gliese 849,22 09 40.3,0.0,2.0,1.0
-50 49 25.4179,10.783,Gliese 86,02 10 25.93425,1.0,1.0,2.0
-14 15 13,4.69,Gliese 876,22 53 13,0.0,4.0,1.0
-35 39 03,140,GQ Lup,15 49 12,0.0,1.0,1.0
-20 43 07,145,GSC 06214-00210,16 21 55,0.0,1.0,1.0
+17 03 56,48,GU Psc,01 12 35,0.0,1.0,1.0
+48 04 51.097364378,37.89,HAT-P-11,19 50 50.2474562793,0.0,2.0,1.0
+43 29 37,142.5,HAT-P-12,13 57 34,0.0,1.0,1.0
+47 21 07,214,HAT-P-13,08 39 32,0.0,2.0,1.0
+38 14 32,205,HAT-P-14,17 20 28,1.0,1.0,2.0
+39 27 38.31,190,HAT-P-15,04 24 59.534,0.0,1.0,1.0
+42 27 47,235,HAT-P-16,00 38 18,1.0,1.0,2.0
+30 29 19,90,HAT-P-17,21 38 09,0.0,2.0,1.0
+33 00 45,166,HAT-P-18,17 05 24,0.0,1.0,1.0
+34 42 41.56,215,HAT-P-19,00 38 04.012,0.0,1.0,1.0
+38 40 30,139,HAT-P-1,22 57 47,0.0,1.0,1.0
+24 20 11,70,HAT-P-20,07 27 40,0.0,1.0,1.0
+41 01 41,254,HAT-P-21,11 25 06,0.0,1.0,1.0
+50 07 42,82,HAT-P-22,10 22 44,0.0,1.0,1.0
+16 45 44,393,HAT-P-23,20 24 30,0.0,1.0,1.0
+14 15 44,396,HAT-P-24,07 15 18,1.0,1.0,2.0
+25 11 51,302.9,HAT-P-25,03 13 45,0.0,1.0,1.0
+04 03 36.13,134,HAT-P-26,14 12 37.54,0.0,1.0,1.0
+05 56 50,204,HAT-P-27,14 51 04,0.0,1.0,1.0
+34 43 42,395,HAT-P-28,00 52 00,0.0,1.0,1.0
+51 46 44,322,HAT-P-29,02 12 31,0.0,1.0,1.0
+41 02 53,118,HAT-P-2,16 20 36,0.0,1.0,1.0
+05 50 12,193,HAT-P-30,08 15 48,1.0,1.0,2.0
+26 25 36,354,HAT-P-31,18 06 09,0.0,1.0,1.0
+46 41 16.21,283,HAT-P-32,02 04 10.278,1.0,1.0,2.0
+33 50 06,387,HAT-P-33,07 32 44,1.0,1.0,2.0
+18 06 17.42,257,HAT-P-34,20 12 46.885,0.0,1.0,1.0
+04 47 13,535,HAT-P-35,08 13 00,0.0,1.0,1.0
+44 54 55.18,317,HAT-P-36,12 33 03.909,0.0,1.0,1.0
+51 16 09,411,HAT-P-37,18 57 11,0.0,1.0,1.0
+32 14 47,249,HAT-P-38,02 21 32,0.0,1.0,1.0
+17 49 48,642,HAT-P-39,07 35 02,0.0,1.0,1.0
+48 01 43,130,HAT-P-3,13 44 23,0.0,1.0,1.0
+45 27 27,501,HAT-P-40,22 22 03,0.0,1.0,1.0
+04 40 20,344,HAT-P-41,19 49 17,0.0,1.0,1.0
+06 05 50,447,HAT-P-42,09 01 22,0.0,1.0,1.0
+10 12 24,543,HAT-P-43,08 35 42,0.0,1.0,1.0
+47 00 53,374,HAT-P-44,14 12 35,0.0,2.0,1.0
-03 22 52,305,HAT-P-45,18 17 29,0.0,1.0,1.0
-02 58 15,296,HAT-P-46,18 01 47,0.0,2.0,1.0
+30 21 37.8,284.3,HAT-P-47,02 33 13.96,0.0,1.0,1.0
+30 37 32.5,321.9,HAT-P-48,02 57 53.02,0.0,1.0,1.0
+26 41 33.6,322,HAT-P-49,20 21 45.92,0.0,1.0,1.0
+36 13 47,310,HAT-P-4,15 19 58,0.0,1.0,1.0
+12 08 21.9,497,HAT-P-50,07 52 15.20,0.0,1.0,1.0
+32 48 38.8,470,HAT-P-51,01 24 15.66,0.0,1.0,1.0
+29 01 20.6,364.9,HAT-P-52,02 50 53.20,0.0,1.0,1.0
+38 58 05.3,719,HAT-P-53,01 27 29.05,0.0,1.0,1.0
+25 28 57.1,135.8,HAT-P-54,06 39 35.52,0.0,1.0,1.0
+25 43 52.3,480,HAT-P-55,17 37 05.52,0.0,1.0,1.0
+27 15 08.2182,310.5,HAT-P-56,06 43 23.52950,0.0,1.0,1.0
+10 35 50.3,303,HAT-P-57,18 18 58.32,2.0,1.0,3.0
+36 37 18,340,HAT-P-5,18 17 37,0.0,1.0,1.0
+11 59 21.83,841.0,HAT-P-65,21 03 37.313,0.0,1.0,1.0
+53 57 03.2,927.0,HAT-P-66,10 02 17.44,0.0,1.0,1.0
+44 46 37.1,320.0,HAT-P-67,17 06 26.56,0.0,1.0,1.0
+03 42 38,343.90,HAT-P-69,08 42 01,0.0,1.0,1.0
+42 27 58,200,HAT-P-6,23 39 06,0.0,1.0,1.0
+09 59 53,329.00,HAT-P-70,04 58 13,0.0,1.0,1.0
+47 58 10,320,HAT-P-7,19 28 59,1.0,1.0,2.0
+35 26 50,230,HAT-P-8,22 52 10,2.0,1.0,3.0
+37 08 26,480,HAT-P-9,07 20 40,0.0,1.0,1.0
-22 12 16.1,496,HATS-10,19 37 13.80,0.0,1.0,1.0
-22 23 23.7,906.0,HATS-11,19 17 36.18,0.0,1.0,1.0
-19 21 21.3,981.0,HATS-12,19 16 48.57,0.0,1.0,1.0
-26 05 48.0,476,HATS-13,21 07 50.88,0.0,1.0,1.0
-25 41 14.40,513,HATS-14,20 52 51.715,0.0,1.0,1.0
-19 26 15.0,689,HATS-15,20 44 22.20,0.0,1.0,1.0
-30 00 46.8,774,HATS-16,23 54 14.04,0.0,1.0,1.0
-47 36 49.3,339,HATS-17,12 48 45.72,0.0,1.0,1.0
-29 09 21.6,645.0,HATS-18,11 35 49.78,0.0,1.0,1.0
-33 46 53,780.0,HATS-19,09 49 38,0.0,1.0,1.0
-23 21 17.44,303,HATS-1,11 42 06.080,0.0,1.0,1.0
-45 24 34,454.0,HATS-20,13 12 32,0.0,1.0,1.0
-58 32 27,286.0,HATS-21,18 40 44,0.0,1.0,1.0
-29 32 35.9,207.9,HATS-22,11 36 02.34,0.0,1.0,1.0
-50 55 57,747.0,HATS-23,19 05 28,0.0,1.0,1.0
-61 15 10,510.0,HATS-24,17 55 34,0.0,1.0,1.0
-23 46 52.2,466.0,HATS-25,13 51 37.87,0.0,1.0,1.0
-28 35 08.1,907.0,HATS-26,09 39 42.45,0.0,1.0,1.0
-46 24 44,840.0,HATS-27,12 54 13,0.0,1.0,1.0
-49 51 41,521.0,HATS-28,18 57 36,0.0,1.0,1.0
-54 06 24,351.0,HATS-29,09 00 23,0.0,1.0,1.0
-22 21 46.82,360,HATS-2,11 46 57.370,0.0,1.0,1.0
-59 03 27,339.0,HATS-30,00 22 28,0.0,1.0,1.0
-24 35 38.5,872.0,HATS-31,12 46 48.68,0.0,1.0,1.0
-21 16 19.0,839.0,HATS-32,23 04 18.02,0.0,1.0,1.0
-55 40 12,355.0,HATS-33,19 38 32,0.0,1.0,1.0
-62 31 50,532.0,HATS-34,00 03 06,0.0,1.0,1.0
-63 26 04,557.0,HATS-35,19 46 45,0.0,1.0,1.0
-23 12 10,977.0,HATS-36,19 25 54.8,0.0,1.0,1.0
-24 25 44.5,556,HATS-3,20 49 49.79,0.0,1.0,1.0
-30 01 45,341.0,HATS-43,05 22 09,0.0,1.0,1.0
-27 01 39,463.0,HATS-44,05 37 18,0.0,1.0,1.0
-21 05 21,818.0,HATS-45,06 47 59,0.0,1.0,1.0
-56 41 02,448.0,HATS-46,00 26 49,0.0,1.0,1.0
-49 39 54,301.70,HATS-47,19 09 56,0.0,1.0,1.0
-59 34 46,265.40,HATS-48 A,19 14 41,0.0,1.0,1.0
-56 20 40,324.60,HATS-49,00 26 27,0.0,1.0,1.0
-22 32 48.79,420,HATS-4,06 16 26.898,0.0,1.0,1.0
-26 04 39.29,773.2,HATS-50,20 01 42.73,0.0,1.0,1.0
-29 03 31.05,394,HATS-51,06 51 23.401,0.0,1.0,1.0
-31 16 09.49,564.1,HATS-52,09 20 21.046,0.0,1.0,1.0
-33 51 36.2,595.8,HATS-53,11 46 30.841,0.0,1.0,1.0
-44 41 19.7,764.4,HATS-54,13 22 32.372,0.0,1.0,1.0
-32 45 19.52,620.7,HATS-55,07 37 08.019,0.0,1.0,1.0
-45 47 58.0,573.5,HATS-56,12 00 39.63,0.0,1.0,1.0
-19 03 24.33,281.7,HATS-57,04 03 47.601,0.0,1.0,1.0
-48 58 42.39,425.5,HATS-58,12 27 08.988,1.0,1.0,2.0
-22 23 17.45,654.9,HATS-59,11 21 17.865,0.0,2.0,1.0
-21 28 54.90,257,HATS-5,04 28 53.489,0.0,1.0,1.0
-14 59 30.35,493.3,HATS-60,22 45 27.364,0.0,1.0,1.0
-25 20 58.96,693.4,HATS-61,04 06 37.868,0.0,1.0,1.0
-24 18 12.5,530.8,HATS-62,20 49 47.833,0.0,1.0,1.0
-28 11 50.23,634.7,HATS-63,04 29 40.453,0.0,1.0,1.0
-29 48 01.57,1114,HATS-64,09 37 09.03,0.0,1.0,1.0
-26 44 24.72,500,HATS-65,19 31 45.552,0.0,1.0,1.0
-33 52 54.13,1544,HATS-66,06 45 34.757,0.0,1.0,1.0
-46 08 11.12,987.1,HATS-67,12 00 50.118,0.0,1.0,1.0
-58 54 17.12,614.6,HATS-68,01 00 01.413,0.0,1.0,1.0
-60 53 30.06,419.5,HATS-69,19 17 11.364,0.0,1.0,1.0
-19 01 53.96,172.6,HATS-6,05 52 35.231,0.0,1.0,1.0
-61 45 21.66,140.8,HATS-71,01 02 12.281,0.0,1.0,1.0
-16 59 60,127.66,HATS-72,22 36 06,0.0,1.0,1.0
-21 12 27.7,257,HATS-7,13 55 25.68,0.0,1.0,1.0
-25 44 53.9,829,HATS-8,19 39 46.08,0.0,1.0,1.0
-20 09 58.7,622,HATS-9,19 23 14.28,0.0,1.0,1.0
-70 11 41,97,HD 100546,11 33 25,0.0,2.0,1.0
