temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
5571,4.740,0.95,G5V,3.334,0.963,5.440,2.974,2.956,0.05,61 Vir,3.0
4978.0,5.86,1.82,K0IV,4.272,5.2,6.82,3.825,3.701,-0.13,6 Lyn,1.0
5439,4.970,1.09,G4 V,3.80,1.94,5.680,3.46,3.24,-0.09,70 Vir,1.0
4846,5.364,2.49,G3III:,3.685,10.5,6.373,3.186,3.067,0.00,75 Cet,1.0
4826.00,3.920,1.34,K1III,2.173,4.87,,1.679,1.564,0.210,7 CMa,2.0
4790.0,5.65,2.4,G5III,3.940,11,6.667,3.386,3.266,-0.06,81 Cet,1.0
5509,6.50,0.995,K0IV,5.165,0.93,7.29,4.937,4.747,,83 Leonis A,0.0
4929,7.38,0.85,K2V,5.165,0.78,7.29,4.937,4.747,0.3,83 Leonis B,2.0
4847.4,6.843,1.8,K0,5.069,9.9,7.817,4.749,4.515,-0.03,8 Ursae Minoris,1.0
4665,4.24,1.4,K0 III,2.400,11.0,5.32,1.886,1.746,-0.03,91 Aquarii A,1.0
,9.9,0.78,K3V,,,10.9,,,,91 Aquarii B,0.0
,10.1,0.73,K,,,,,,,91 Aquarii C,0.0
4875.0,9.16,,K2 V,7.576,,10.01,7.088,6.981,-0.64,AB Pic,1.0
4553,2.01,1.5,K2III,0.06,13.9,3.16,,,-0.09,alf Ari,1.0
4055,0.99,1.13,K5 III,,45.1,,,,-0.27,alf Tau,1.0
,13.6,,M2V,,,,,,,alf Tau B,0.0
2900,,0.120,M5.5V,,0.141,,,,,Proxima Centauri,2.0
5790,0.01,1.100,G2 V,-1.15,1.227,0.72,-1.38,-1.49,0.20,Alpha Centauri A,0.0
5260,1.33,0.907,K1 V,-0.01,0.865,2.21,-0.49,-0.60,0.23,Alpha Centauri B,2.0
3700.00,8.810,0.50,M1VE,5.436,0.75,,4.831,4.529,,AU Mic,1.0
4095.0,9.58,1.14,,,32.35,,,,-0.71,BD+03 2562,1.0
4746,9.86,0.74,K3V,7.960,,10.94,7.498,7.323,-0.07,BD-08 2823,2.0
5393,10.01,0.85,K3.0 V,8.61,0.81,10.88,8.30,8.124,0.382,BD-10 3166,1.0
4550.00,9.990,0.65,K7V,7.651,0.64,,7.031,6.867,-0.350,BD-11 4672,2.0
5008,9.66,0.86,K2V,7.882,,10.66,7.455,7.336,0.10,BD+14 4559,1.0
4649,10.31,1.08,,8.372,8.95,11.3,7.862,7.718,-0.22,BD+15 2375,1.0
4796,9.05,1.1,K0,7.154,14.7,10.12,6.664,6.525,0.28,BD+15 2940,1.0
4714,9.62,0.74,K5V,7.574,0.69,10.77,7.027,6.914,-0.03,BD-17 63,1.0
4410,10.001,0.63,K5Ve,7.643,,11.08,7.032,6.879,0.30,BD+20 1790,1.0
4137,9.74,2.8,K2II,7.299,,10.99,6.606,6.420,-1.00,BD+20 2457,2.0
4296,9.367,0.8,K5 III,7.003,17.3,10.72,6.337,6.169,-0.46,BD+20 274,1.0
5766,11.038,0.961,G,9.770,0.928,11.728,9.432,9.368,-0.15,BD+20 594,1.0
4748,9.76,0.76,K7,7.912,,10.87,7.437,7.336,0.02,BD+26 1888,1.0
4414,9.139,0.74,K0III,6.704,11,10.35,6.077,5.904,-0.20,BD+48 738,1.0
4943,9.38,1.52,K0,7.246,7.6,10.51,6.729,6.571,-0.19,BD+49 828,1.0
4092.1,3.520,1.7,K4III,1.06,47.2,5.000,0.28,0.14,-0.29,beta Cancri,1.0
,3.850,1.76,A5V,3.669,,,3.544,3.526,,beta Pic,2.0
4126,2.08,1.4,K4IIIvar,,38.3,3.55,,,-0.27,beta Ursae Minoris,1.0
540.0,,0.02,T9.5,,,,,,,CFBDS 1458,1.0
3840.0,,0.35,M3.25,12.674,,,11.317,10.703,,CHXR 73,1.0
,13.80,0.80,K4IVe,9.480,,15.09,8.43,7.793,,CI Tau,1.0
5075.0,15.216,0.89,K1V,12.567,0.79,16.676,11.929,11.782,0.26,CoRoT-10,1.0
6440.0,12.80,1.27,F6V,11.589,1.37,13.73,11.416,11.248,-0.03,CoRoT-11,1.0
5675.0,15.515,1.078,G2V,14.02,1.116,16.343,13.63,13.56,0.16,CoRoT-12,1.0
5945.0,15.04,1.09,G0V,13.710,1.01,15.33,13.406,13.38,0.01,CoRoT-13,1.0
6035.0,16.03,1.13,F9V,14.32,1.21,16.891,14.01,13.81,0.05,CoRoT-14,1.0
5650.0,16.03,1.098,G5V,13.496,1.19,17.85,12.98,12.85,0.19,CoRoT-16,1.0
5740.0,15.88,1.04,G2V,13.17,1.59,17.38,12.62,12.47,,CoRoT-17,1.0
5440.0,15.00,0.95,G9V,13.441,1,15.8,13.08,13.01,-0.1,CoRoT-18,1.0
6090.0,14.007,1.21,F9V,12.324,1.65,14.780,11.961,11.837,-0.02,CoRoT-19,1.0
6298.0,13.6,0.95,G0V,12.462,1.11,,12.218,12.149,-0.3,CoRoT-1,1.0
5880,14.66,1.14,G2V,12.991,1.02,15.41,12.652,12.513,0.14,CoRoT-20,2.0
6200.0,15.84,1.29,FIV8,14.34,1.945,16.66,13.98,13.81,,CoRoT-21,1.0
5939,13.944,1.099,G0IV,12.414,1.136,14.740,12.099,11.988,0.17,CoRoT-22,1.0
5900.0,15.63,1.14,G0V,12.944,1.61,16.0,12.450,12.36,0.05,CoRoT-23,1.0
4950,,0.91,K1V,13.595,0.86,,13.05,12.924,0.3,CoRoT-24,2.0
6040,14.965,1.09,F9V,13.300,1.19,15.806,12.990,12.846,-0.01,CoRoT-25,1.0
5590,15.756,1.09,G5,13.813,1.79,16.839,13.358,13.261,0.01,CoRoT-26,1.0
5900,,1.05,G2,13.571,1.08,,13.17,12.98,0.1,CoRoT-27,1.0
5150,13.775,1.01,G8/9IV,11.601,1.78,14.994,11.143,11.032,0.15,CoRoT-28,1.0
5260,15.560,0.97,K0V,13.565,0.90,16.705,13.120,13.048,0.20,CoRoT-29,1.0
5575.0,12.568,0.97,G7V,10.783,0.902,13.422,10.44,10.31,,CoRoT-2,1.0
5650.00,15.650,0.98,G3V,14.019,0.91,,13.551,13.562,0.020,CoRoT-30,1.0
5700.00,,1.25,G2IV,13.908,2.15,,13.469,13.426,0.000,CoRoT-31,1.0
6740,13.292,1.37,F3V,11.94,1.56,14.199,11.71,11.62,-0.02,CoRoT-3,1.0
6190.0,13.7,1.1,F8V,12.619,1.15,,12.359,12.29,0.05,CoRoT-4,1.0
6100.0,14,1.00,F9V,12.871,1.186,14.67,12.61,12.546,-0.25,CoRoT-5,1.0
6090.0,13.80,1.05,F5V,12.518,1.025,14.68,12.228,12.119,-0.2,CoRoT-6,1.0
5313.0,11.73,0.93,K0V,10.301,0.87,12.78,9.880,9.806,0.03,CoRoT-7,2.0
5080.0,14.797,0.88,K1V,12.154,0.77,16.096,11.641,11.463,0.3,CoRoT-8,1.0
5625.0,13.46,0.99,G3V,12.175,0.94,14.57,11.813,11.688,-0.01,CoRoT-9,1.0
5150.0,12.36,,K7,9.715,,13.44,8.944,8.661,,CT Cha,1.0
,,0.51,,9.392,,,8.797,8.555,,DE CVn,1.0
3840.0,13.71,0.4,M0.5V,9.767,,15.23,8.824,8.178,,DH Tau,1.0
6196.00,7.981,1.21,F8V,7.001,1.26,,6.746,6.690,,DMPP-1,4.0
6500.00,8.567,1.44,F5V,7.703,1.78,,7.482,7.437,,DMPP-2,1.0
5138.00,9.066,0.87,K0V,7.588,0.91,,7.193,7.061,0.180,DMPP-3 A,1.0
13500,17.5,0.6,AM Her,,0.0144,,,,,DP Leo A,0.0
3000,,0.09,,,,,,,,DP Leo B,0.0
5428.00,8.469,1.01,G6V,7.122,0.96,,6.759,6.676,0.000,DS Tuc A,1.0
4197,14.91,0.63,,12.37,0.6,,11.75,11.57,-0.12,EPIC 201208431,1.0
,,,,,,,,,,EPIC 201208431 B,0.0
,,0.41,,12.759,,,12.147,11.933,,EPIC 201238110,1.0
5830,12.189,1.13,,11.02,1.52,12.782,10.7,10.69,0.13,EPIC 201295312,1.0
3930,14.91,0.61,,12.45,0.57,,11.76,11.6,-0.33,EPIC 201338508,2.0
5850,12.654,0.97,,11.44,0.96,13.302,11.09,11.07,-0.14,EPIC 201384232,1.0
,,,,,,,,,,EPIC 201384232 B,0.0
5772,13.21,0.97,,11.95,0.96,,11.63,11.56,-0.07,EPIC 201393098,1.0
6445,12.029,1.01,,11.05,1.12,12.485,10.76,10.78,-0.5,EPIC 201403446,1.0
,,,,,,,,,,EPIC 201403446 B,0.0
4870,14.61,0.78,,12.83,0.74,,12.32,12.24,-0.02,EPIC 201445392,2.0
3390,15.63,0.30,M2.5V,12.451,0.31,,11.710,11.495,-0.25,EPIC 201465501,1.0
,14.102,0.78,,12.086,,,11.540,11.438,,EPIC 201497682,1.0
5430,13.002,0.93,,11.6,0.86,13.798,11.21,11.16,0.10,EPIC 201505350,3.0
5320,12.64,0.89,,11.16,0.85,,10.79,10.7,0.14,EPIC 201546283,1.0
4402.713379,14.37,0.701968,,12.144,0.619575,15.56,11.564,11.423,0.05,EPIC 201549860 A,2.0
,,,,,,,,,,EPIC 201549860 B,0.0
3987,,0.51,,14.78,0.5,,14.11,14.08,-0.44,EPIC 201565013,1.0
5620,12.418,0.92,,11.06,0.98,13.138,10.75,10.64,-0.07,EPIC 201577035,1.0
5433,,1.35,,11.87,5.15,,11.46,11.35,-0.12,EPIC 201596316,1.0
5800,12.258,1.01,,10.98,1.01,12.990,10.71,10.61,0.03,EPIC 201613023,1.0
3742,,0.52,,11.72,0.49,,11.09,10.9,-0.08,EPIC 201617985,1.0
5698,,0.8,,11.57,0.78,,11.26,11.17,-0.54,EPIC 201629650,1.0
,,,,,,,,,,EPIC 201629650 B,0.0
3789,16.31,0.47,,13.42,0.45,,12.77,12.61,-0.37,EPIC 201635569,1.0
3830,,0.60,M0V,12.74,0.57,,12.09,11.91,0.03,EPIC 201637175 A,1.0
3290,,0.27,M4V,14.87,0.30,,14.27,13.93,0.06,EPIC 201637175 B,0.0
5618,,0.87,,13.27,0.85,,12.88,12.77,-0.26,EPIC 201702477,1.0
,,,,,,,,,,EPIC 201702477 B,0.0
5131,14.66,0.72,,13.07,0.68,,12.55,12.49,-0.46,EPIC 201736247,1.0
4742,14.67,0.68,,12.76,0.66,,12.21,12.09,-0.33,EPIC 201754305,2.0
5552,,0.74,,10.49,0.71,,10.23,9.93,-0.69,EPIC 201828749,1.0
,,,,,,,,,,EPIC 201828749 B,0.0
,14.867,0.80,,13.060,,,12.490,12.454,,EPIC 201841433,1.0
4320,13.519,0.71,,11.08,0.66,14.819,10.44,10.31,0.15,EPIC 201855371,1.0
3457,13.50,0.359,M2.8,9.76,0.411,15.01,9.13,8.9,0.09,EPIC 201912552,2.0
5200,11.88,0.91,,10.644,0.94,12.08,10.420,10.324,,EPIC 203311200,1.0
5743,11.28,1.12,G3V,9.63,1.21,12.22,9.29,9.18,0.42,EPIC 203771098,2.0
5413,12.568,0.90,,10.692,0.85,13.463,10.214,10.142,-0.03,EPIC 203826436,3.0
5280,10.8,0.91,G7 V,,0.78,,,,0.08,EPIC 204129699,1.0
5757,11.39,1.07,,9.911,1.10,12.344,9.600,9.470,0.28,EPIC 204221263,2.0
5315,12.307,0.87,,10.404,0.87,13.278,9.993,9.821,0.00,EPIC 205071984,3.0
3540.0,,0.54,M3.3,,1.06,17.353,,,,EPIC 205117205,1.0
4043,12.85,0.64,M0V,10.25,0.60,14.14,9.63,9.42,-0.11,EPIC 206011691,2.0
,13.116,0.93,,11.846,,,11.533,11.487,,EPIC 206024342,1.0
,,0.22,,13.429,,,12.859,12.538,,EPIC 206032309,1.0
,16.743,0.56,,13.964,,,13.253,13.071,,EPIC 206042996,1.0
,,0.41,,13.561,,,12.954,12.767,,EPIC 206215704,1.0
,14.051,0.71,,12.258,,,11.720,11.635,,EPIC 206317286,1.0
3214,15.81,0.264,M4V,11.70,0.293,,11.03,10.75,0.31,EPIC 206318379,1.0
4970,12.158,0.8,K,10.384,0.76,13.23,9.910,9.799,0.29,EPIC 210363145,1.0
3180,15.881,0.294,M4.5,11.303,0.295,17.760,10.732,10.444,0.15,EPIC 210490365,1.0
5730.0,11.137,0.89,,9.768,1.23,11.796,9.477,9.377,-0.53,EPIC 210894022,1.0
,12.56,0.94,G7V,,0.86,,,,,EPIC 211089792,1.0
6120.0,12.17,1.074,F8V,11.124,1.311,12.65,10.905,10.869,-0.2,EPIC 211391664,1.0
3880,,0.61,M0.4,12.264,0.59,,11.699,11.432,0.14,EPIC 211822797,1.0
3440,17.14,0.46,M2.7,13.129,0.46,19.59,12.549,12.290,0.14,EPIC 211901114,1.0
4819,12.96,0.80,K3V,11.162,0.73,14.00,10.678,10.536,0.14,EPIC 211913977,1.0
3410,17.27,0.43,M2.0,13.293,0.44,19.86,12.740,12.442,0.14,EPIC 211916756,1.0
3660,16.26,0.51,M1.2,12.800,0.48,18.46,12.246,12.021,0.14,EPIC 211969807,1.0
4695,13.19,0.77,K3.6,11.282,0.71,14.30,10.739,10.640,0.14,EPIC 211970147,1.0
6120,10.55,1.18,G0V,9.463,1.19,11.13,9.242,9.182,0.14,EPIC 211990866,1.0
,14.423,0.83,,12.735,,,12.223,12.186,,EPIC 212297394,1.0
,13.354,1.11,,12.101,,,11.841,11.775,,EPIC 212424622,1.0
,13.552,0.91,,11.877,,,11.456,11.366,,EPIC 212499991,1.0
,12.487,0.95,,11.181,,,10.911,10.857,,EPIC 212587672,1.0
4684.00,14.836,0.69,K3,12.824,0.67,,12.239,12.160,-0.137,EPIC 212737443,2.0
5990.0,11.15,1.6,G0 IV,,3.1,11.75,,,0.2,EPIC 212803289,1.0
6030.0,12.92,1.3,F9IV,,1.78,13.64,,,0.1,EPIC 216468514,1.0
5287.0,11.65,0.918,,,0.86,12.43,,,0.21,EPIC 218916923,1.0
5627.0,,1.007,G,,1.047,,,,0.18,EPIC 220504338,1.0
5814.0,12.102,0.93,,10.770,0.83,12.577,10.454,10.344,-0.28,EPIC 220674823,2.0
5654.0,12.62,1.005,G5,,0.987,,,,0.12,EPIC 228735255,1.0
4878.0,11.897,1.19,K,,4.11,,,,-0.11,EPIC 228754001,1.0
3492.0,15.498,0.463,M3 V,,0.442,,,,0.08,EPIC 228813918,1.0
4898.00,12.416,0.90,,10.765,2.70,,10.235,10.148,-0.230,EPIC 248847494,1.0
5430.00,11.428,1.05,G8IV/V,10.216,1.71,,9.800,9.714,0.200,EPIC 249893012,3.0
4406,4.14,1.7,K2 III,2.104,21,5.360,1.488,1.349,-0.094,eps Coronae Borealis,1.0
,12.60,,,,,,,,,eps Coronae Borealis B,0.0
5135,3.73,0.82,K2 V,2.228,0.743,4.61,1.880,1.776,-0.07,eps Eridani,1.0
4568,4.69,0.762,K5V,2.894,0.732,5.75,2.349,2.237,-0.06,Epsilon Indi A,1.0
,24.12,0.0716,T1V,12.20,,,11.60,11.42,-0.2,Epsilon Indi Ba,0.0
,,0.0669,T6V,12.96,,,13.40,13.64,-0.2,Epsilon Indi Bb,0.0
4901,3.53,2.7,K0 III,1.748,13.7,4.549,1.314,1.31,0.17,eps Tau,1.0
4528,3.45,1.7,K1III,1.565,14.3,4.61,1.012,0.875,0.12,eta Cet,2.0
6152,9.58,1.218,F8V,,1.128,,,,,FL Lyr A,0.0
5297,11.04,0.963,G8V,,1.128,,,,,FL Lyr B,0.0
6457,12.731,0.595,,11.965,,11.50,11.743,11.692,,FN Lyr,1.0
8590.0,1.16,1.92,A3 V,1.04,1.84,1.25,0.94,0.94,,Fomalhaut A,1.0
4594,6.488,0.73,K4Ve,,,,,,,Fomalhaut B,0.0
3132,13.2,0.18,M4V,,,,,,,Fomalhaut C,0.0
2838.0,,0.05,M7.25,10.781,,15.1,9.945,9.324,,FU Tau A,1.0
3270,16.64,0.12,M4,,,17.94,,,,FW Tau A,0.0
,16.85,0.12,M4,,,18.33,,,,FW Tau B,0.0
3348.00,13.823,0.29,M2.5V,10.058,0.31,,9.433,9.190,0.040,G 9-40,1.0
4800.0,3.220,1.18,K1 III-IV,1.66,4.9,4.250,1.19,1.04,0.18,gamma Cephei A,1.0
,,0.32,M4,,,,,7.3,,gamma Cephei B,0.0
4330,2.01,1.23,K0III,,31.88,3.13,,,-0.51,Gamma-1 Leonis,1.0
,4.225,,G7IIIb,,,3.4,,,,Gamma-2 Leonis,0.0
2904,15.08,0.089,M7.0 V,8.394,0.107,17.21,7.883,7.585,-0.19,GAT 1370,2.0
2953.00,13.060,0.12,M5.5V,7.523,0.16,,7.015,6.610,-0.080,GJ 1061,3.0
3270,13.52,0.181,M3.5,9.245,0.207,15.25,8.67,8.322,-0.12,GJ 1132,1.0
3458.00,12.193,0.38,M3,8.697,0.39,,8.161,7.915,0.100,GJ 1252,1.0
4640.00,7.870,0.73,K4.5,6.081,0.69,,5.524,5.375,0.003,GJ 143,2.0
4347.00,9.680,0.69,M0V,7.439,,,6.854,6.702,,GJ 160.2,1.0
,10.910,0.43,M2V,7.413,,,6.860,6.598,,GJ 180,3.0
,8.140,0.58,M1/M2V,5.104,,,4.393,4.166,,GJ 229,2.0
1000,,,T6,14.01,,,14.36,14.36,,GJ 229 B,0.0
3542.00,11.420,0.53,M0.5V,8.225,,,7.609,7.394,,GJ 27.1,1.0
3382.0,9.872,0.29,M3.5,,0.293,,,,0.09,GJ 273,2.0
,11.077,0.47,M0.0,7.805,,,7.242,6.966,,GJ 3082,1.0
3717.0,10.877,0.681,M0,,0.5,12.82,,,-0.3,GJ 3138,3.0
3159.0,12.196,0.164,M4,,0.119,13.92,,,-0.27,GJ 3323,2.0
4005.00,7.700,0.64,M0.0V,4.779,0.58,,4.043,4.136,-0.030,GJ 338 B,1.0
3081.00,15.050,0.12,M5.5V,9.615,0.14,,8.996,8.668,-0.070,GJ 3512,1.0
3505.00,10.920,0.34,M2.5V,7.337,0.34,,6.740,6.475,-0.120,GJ 357,3.0
,11.550,0.35,M3.5V,7.811,,,7.304,7.035,,GJ 422,1.0
,9.806,0.48,M1.5V,6.471,,,5.856,5.623,,GJ 433,3.0
3685.0,9.707,0.52,M1,,0.5,,,,-0.08,GJ 536,1.0
3028,10.946,0.27,M3.5 V,6.544,,12.593,5.917,5.606,,GJ 682,2.0
3441,8.91,0.334,M3V,5.189,0.351,10.782,4.741,4.432,-0.23,GJ 725 A,0.0
3345,9.69,0.248,M3.5V,5.721,0.273,11.705,5.197,5.000,-0.30,GJ 725 B,1.0
3688.00,7.335,0.49,M1V,4.338,0.47,,3.608,3.465,-0.060,GJ 887,2.0
4340.00,10.250,0.61,K5V,7.984,0.60,,7.379,7.193,-0.260,GJ 9827,3.0
3663.00,9.577,0.42,M1,6.360,0.42,,5.790,5.572,-0.300,Gl 686,1.0
3250,14.71,0.176,M4.5,9.750,0.2213,16.40,9.094,8.782,0.1,Gliese 1214,1.0
3567,8.13,0.375,M2V,5.25,0.3863,9.63,4.48,4.02,-0.32,Gliese 15 A,2.0
,11.04,0.163,M3.5,6.789,0.19,12.84,6.191,5.948,,Gliese 15 B,0.0
,11.811,0.40,M3.5V,7.948,,13.302,7.428,7.135,,Gliese 163,3.0
3520,9.97,0.49,M2.5V,6.462,0.53,11.49,5.824,5.607,-0.1,Gliese 176,1.0
3370,12.018,0.357,M3.5 V,7.814,0.38,13.568,7.21,6.942,0.30,Gliese 179,1.0
4040,9.693,0.637,K7V,7.128,,11.041,6.517,6.305,-0.07,Gliese 221,2.0
5540,6.59,0.9,G6 V,5.366,0.9,7.335,4.990,4.859,0.10,Gliese 3021 A,1.0
,,0.13,M4V,,,,,,,Gliese 3021 B,0.0
3510.0,12,0.42,M3.5,7.934,,13.2,7.321,7.028,0.36,Gliese 317,2.0
3900,9.98,0.69,M1,7.191,,11.30,6.523,6.352,0.00,Gliese 328,1.0
3466,11.962,0.42,M2.5,8.362,0.404,13.6,7.749,7.486,0.02,Gliese 3293,3.0
3546,12.080,0.47,M2.5,8.592,0.439,13.58,7.990,7.733,-0.09,Gliese 3341,1.0
3652,12.3,0.51,M1.5,8.794,0.48,13.5,8.206,7.989,0.17,Gliese 3470,1.0
3314.0,11.95,0.45,M2.5,8.361,0.43,14.4,7.76,7.470,,Gliese 3634,1.0
3479,10.59,0.445,M3V,6.900,0.449,12.06,6.319,6.073,-0.32,Gliese 436,3.0
3805.00,9.560,0.52,M1.5V,6.230,0.51,,5.582,5.371,0.130,Gliese 49,1.0
5978,5.22,1.16,G0V,4.392,1.36,5.81,4.107,4.033,0.13,Gliese 504,1.0
3498.0,10.55,0.31,M2.5V,6.706,0.3,11.76,6.095,5.837,-0.135,Gliese 581,6.0
3700.0,9.7,0.54,M1.5,6.448,,11.139,5.865,5.624,0.08,Gliese 649,2.0
,,0.73,,,0.76,,,,-0.59,Gliese 667 A,0.0
,,0.69,,,0.70,,,,-0.59,Gliese 667 B,0.0
3350,10.22,0.33,M1.5V,6.848,0.41,11.79,6.322,6.036,,Gliese 667 C,7.0
3600.0,9.38,0.35,M2.5,5.711,,10.973,5.154,4.855,-0.28,Gliese 674,1.0
,9.585,0.71,M0V,6.711,,11.028,6.082,5.825,0.23,Gliese 676 A,4.0
,,0.17,M3.5V,8.976,,14.8,8.29,8.017,,Gliese 676 B,0.0
3413,9.15,0.413,M3V,5.335,0.4183,10.65,4.77,4.548,,Gliese 687,1.0
,5.71,1.04,G6 IV,,1.2,,,,0.24,Gliese 777 A,2.0
,,0.20,M4.5,,,,,,,Gliese 777 B,0.0
5166.0,5.73,0.80,K3V,4.112,,6.63,3.582,3.501,-0.04,Gliese 785,2.0
3472,8.67,0.45,M1.5,5.349,,10.176,4.766,4.501,-0.3,Gliese 832,2.0
3601,10.366,0.490,M3.5V,6.510,0.52,11.868,5.90,5.594,0.31,Gliese 849,2.0
5188,6.17,0.8,K1V,4.79,0.855,6.94,4.25,4.125,-0.24,Gliese 86 A,1.0
8180,13.2,0.59,DQ6,,0.01245,,,,,Gliese 86 B,0.0
3129,10.17,0.37,M4 V,5.934,0.3761,10.192,5.349,5.010,0.19,Gliese 876,4.0
5150.0,11.4,0.7,K7eV,8.605,,12.36,7.702,7.096,,GQ Lup,1.0
4060,,0.9,K7,9.946,,13.1,9.329,9.129,,GSC 06214-00210,1.0
,13.55,0.325,M3,10.211,,15.30,9.598,9.345,0.1,GU Psc,1.0
4780,9.47,0.809,K4V,7.608,0.683,10.66,7.131,7.009,0.31,HAT-P-11,2.0
4650.0,12.84,0.73,K5,10.794,0.7,12.6,10.236,10.108,-0.29,HAT-P-12,1.0
5638.0,10.42,1.22,G4,9.328,1.56,11.15,9.058,8.975,0.41,HAT-P-13,2.0
6600.0,9.99,1.386,F,9.094,1.468,10.41,8.927,8.851,0.11,HAT-P-14 A,1.0
3356,,0.232,,,,,14.164,14.498,,HAT-P-14 B,0.0
5568.0,12.41,1.013,G5,10.194,1.08,13.02,9.752,9.641,0.22,HAT-P-15,1.0
6140,10.91,1.216,F8,9.850,1.158,11.38,9.623,9.553,0.12,HAT-P-16 A,1.0
3269,,0.188,,15.271,,,14.770,15.083,,HAT-P-16 B,0.0
5246.0,10.38,0.857,K,9.017,0.837,11.33,8.619,8.544,,HAT-P-17,2.0
4870,12.76,0.770,K,10.822,0.717,11.9,10.340,10.234,0.1,HAT-P-18,1.0
4990,12.901,0.842,K,11.095,0.82,12.4,10.644,10.546,0.23,HAT-P-19,1.0
5975.0,10.4,1.133,G0V,9.156,1.115,11.0,8.923,8.858,0.13,HAT-P-1,1.0
4595.0,11.34,0.756,K7,9.276,0.694,12.58,8.743,8.601,0.35,HAT-P-20,1.0
5588.0,11.46,0.947,G3,10.503,1.105,12.56,10.154,10.111,0.01,HAT-P-21,1.0
5302.0,9.76,0.916,G5,8.293,1.04,10.62,7.935,7.837,0.24,HAT-P-22,1.0
5905.0,11.94,1.13,G5,11.103,1.203,13.05,10.846,10.791,0.15,HAT-P-23,1.0
6329,11.76,1.191,F8,10.797,1.317,12.21,10.589,10.543,-0.16,HAT-P-24 A,1.0
3499,,0.373,,15.455,,,14.752,14.354,,HAT-P-24 B,0.0
5500.0,13.15,1.01,G5,11.319,0.959,14.12,10.908,10.815,0.31,HAT-P-25,1.0
5079.0,11.76,0.816,K1,10.080,0.788,12.33,9.685,9.581,-0.04,HAT-P-26,1.0
5300.0,12.19,0.92,G8,10.626,0.87,13.18,10.249,10.109,0.14,HAT-P-27,1.0
