positionangle,separation,name,binaries,planets,stars
153.83,0.6916,HAT-P-16,0.0,1.0,2.0
170.872,4.9442,HAT-P-24,0.0,1.0,2.0
4.206,3.8366,HAT-P-30,0.0,1.0,2.0
110.624,2.9355,HAT-P-32,0.0,1.0,2.0
118.05,0.3063,HAT-P-33,0.0,1.0,2.0
234,2.667,HAT-P-57,1.0,1.0,3.0
165,0.225,HAT-P-57 BC,0.0,0.0,2.0
89.8,3.8587,HAT-P-7,0.0,1.0,2.0
137.9,1.040,,1.0,1.0,3.0
222,15,,0.0,0.0,2.0
,,,0.0,1.0,2.0
,,HD 106906,0.0,1.0,2.0
179.75,8.28,,0.0,1.0,2.0
333,8.05,,0.0,1.0,2.0
30,3.26,,0.0,1.0,2.0
133,29.7,HD 11964,0.0,2.0,2.0
299,41.9,HD 126614 AC,1.0,1.0,3.0
60.70,0.499,HD 126614 AB,0.0,1.0,2.0
,,HD 131399,2.0,1.0,4.0
,,HD 131399 A,0.0,1.0,2.0
235,0.10,WDS J14544-3409 B,0.0,0.0,2.0
276.95,4.130,HD 132563,1.0,1.0,3.0
,,HD 132563 A,0.0,0.0,2.0
,,,0.0,3.0,2.0
130,20.4,,0.0,1.0,2.0
177,5.4,,0.0,2.0,2.0
14,64.40,Gliese 617,0.0,1.0,2.0
245,345,,0.0,1.0,2.0
73,4.80,HD 156846,0.0,1.0,2.0
187,6.2,,0.0,1.0,2.0
,,HD 176051,0.0,1.0,2.0
84.85,1.645,HD 177830,0.0,2.0,2.0
82,16.1,,1.0,1.0,3.0
,,,0.0,0.0,2.0
152,75.80,LDS 6334,0.0,2.0,2.0
8.15,4.547,HD 185269,1.0,1.0,3.0
221.1,0.0956,,0.0,0.0,2.0
85,13,,0.0,1.0,2.0
246,11.2,,0.0,1.0,2.0
330,3.5,,0.0,1.0,2.0
175,10.9,,1.0,1.0,3.0
,,,0.0,0.0,2.0
,,,0.0,1.0,2.0
182.14,3.676,HD 197037,0.0,1.0,2.0
,,,0.0,1.0,2.0
358.11,253.00,WDS J03201-2851,0.0,3.0,2.0
127,95.8,,0.0,1.0,2.0
170.34,2.8560,HD 217786,0.0,1.0,2.0
302,113,,0.0,1.0,2.0
51,839.60,WDS J00293-0555,1.0,1.0,3.0
166.7,0.526,HD 2638 BC,0.0,1.0,2.0
102,83.70,40 Eri,1.0,1.0,3.0
,,40 Eri BC,0.0,0.0,2.0
36,13.8,,0.0,1.0,2.0
305,284,,0.0,2.0,2.0
290,192,,1.0,1.0,3.0
,,,0.0,0.0,2.0
,,,1.0,1.0,3.0
,,,0.0,0.0,2.0
350.30,49.000,HD 4113,1.0,1.0,3.0
,,HD 4113 AC,0.0,1.0,2.0
308,9.4,,0.0,1.0,2.0
,,HD 59686,0.0,1.0,2.0
,,HD 7449,0.0,2.0,2.0
78,21.5,,0.0,1.0,2.0
269,20.6,,0.0,1.0,2.0
333.4,0.308,HD 8673,0.0,1.0,2.0
48,63.0,,0.0,1.0,2.0
262,377,,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,HU Aqr,0.0,3.0,2.0
,,,1.0,1.0,3.0
,,,0.0,1.0,2.0
7.9,0.730,K2-136,0.0,3.0,2.0
,,,0.0,1.0,2.0
,,,0.0,1.0,2.0
328.6,2.29,KELT-2,0.0,1.0,2.0
,1.5,,1.0,1.0,3.0
,0.034,KELT-4BC,0.0,0.0,2.0
118.4,1.05,Kepler-108,0.0,2.0,2.0
281,1.15,Kepler-13,1.0,1.0,3.0
,,Kepler-13 BC,0.0,0.0,2.0
,,Kepler-16,0.0,1.0,2.0
129.53,0.7739,Kepler-21,0.0,1.0,2.0
217.3,0.217,,0.0,5.0,2.0
,,Kepler-34,0.0,1.0,2.0
,,Kepler-35,0.0,1.0,2.0
,,Kepler-38,0.0,1.0,2.0
35,1.70,,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,Kepler-444,1.0,5.0,3.0
,,,0.0,0.0,2.0
68.4,0.08,Kepler-449,0.0,2.0,2.0
,0.9,Kepler-450,0.0,3.0,2.0
,,Kepler-47,0.0,2.0,2.0
145.43,10.979,Kepler-68,0.0,3.0,2.0
193.6,0.4104,KIC 7177553,2.0,1.0,4.0
,,KIC 7177553 A,0.0,1.0,2.0
,,KIC 7177553 B,0.0,0.0,2.0
,,KIC 9632895,0.0,1.0,2.0
,,KOI-1257,0.0,1.0,2.0
20.86,0.8730,KOI-1299,0.0,2.0,2.0
176.02,2.89,KOI-2939,1.0,1.0,3.0
,,KOI-2939 AB,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,,0.0,2.0,2.0
,,,0.0,1.0,2.0
,,nu Oct,0.0,1.0,2.0
,,,0.0,2.0,2.0
,,,0.0,1.0,2.0
,48,,0.0,1.0,2.0
,10.536,,0.0,1.0,2.0
,1.74,OGLE-2013-BLG-0723L,0.0,1.0,2.0
,2.96,,0.0,1.0,2.0
123,0.7,PH-1,2.0,1.0,4.0
,,PH-1 A,0.0,1.0,2.0
,,PH-1 B,0.0,0.0,2.0
15.49,30.104,Psi-1 Draconis,1.0,1.0,3.0
,,HD 162003,0.0,0.0,2.0
,,B1620-26,0.0,1.0,2.0
81.5,0.475,Ross 458 AB,0.0,1.0,2.0
157.9,0.083,ROXs 42 B,0.0,1.0,2.0
,,,0.0,1.0,2.0
96,2.8,SR 12,0.0,1.0,2.0
,,tau Boo,0.0,1.0,2.0
177,1.90,tau Gem,0.0,1.0,2.0
136.325,1.1054,TrES-2,0.0,1.0,2.0
359.8,1.555,TrES-4,0.0,1.0,2.0
150,52,,0.0,4.0,2.0
173.3,0.1094,VHS 1256-1257,0.0,1.0,2.0
214.09,0.3425,WASP-11,0.0,1.0,2.0
251.3,1.064,,1.0,1.0,3.0
84,0.0843,,0.0,0.0,2.0
,,,0.0,1.0,2.0
102.210,1.4491,WASP-14,0.0,1.0,2.0
110.1,6.1,WASP-173,0.0,1.0,2.0
,,,0.0,1.0,2.0
1.953,1587,WASP-1,0.0,1.0,2.0
104.7,0.757,WASP-2,0.0,1.0,2.0
87.070,1.1910,WASP-3,0.0,1.0,2.0
167,3.3,WASP-70,0.0,1.0,2.0
150,3.30,,0.0,1.0,2.0
99.6,1.48,,0.0,1.0,2.0
170.948,4.5052,WASP-8,0.0,2.0,2.0
,2700,,0.0,2.0,2.0
342,31,,0.0,4.0,2.0
