attributes,datatype,date,station,value
",,H,0700",TMAX,2018-10-22T00:00:00,GHCND:USC00280907,7.8
",,H,0700",TMIN,2018-10-22T00:00:00,GHCND:USC00280907,-1.1
",,H,0700",TOBS,2018-10-22T00:00:00,GHCND:USC00280907,-1.1
",,H,0700",TMAX,2018-10-23T00:00:00,GHCND:USC00280907,15.6
",,H,0700",TMIN,2018-10-23T00:00:00,GHCND:USC00280907,-1.1
",,H,0700",TOBS,2018-10-23T00:00:00,GHCND:USC00280907,10.0
",,H,0700",TMAX,2018-10-24T00:00:00,GHCND:USC00280907,16.7
",,H,0700",TMIN,2018-10-24T00:00:00,GHCND:USC00280907,4.4
",,H,0700",TOBS,2018-10-24T00:00:00,GHCND:USC00280907,6.7
",,H,0700",TMAX,2018-10-25T00:00:00,GHCND:USC00280907,11.7
",,H,0700",TMIN,2018-10-25T00:00:00,GHCND:USC00280907,2.8
",,H,0700",TOBS,2018-10-25T00:00:00,GHCND:USC00280907,2.8
",,H,0700",TMAX,2018-10-26T00:00:00,GHCND:USC00280907,9.4
",,H,0700",TMIN,2018-10-26T00:00:00,GHCND:USC00280907,-0.6
",,H,0700",TOBS,2018-10-26T00:00:00,GHCND:USC00280907,-0.6
",,H,0700",TMAX,2018-10-27T00:00:00,GHCND:USC00280907,8.9
",,H,0700",TMIN,2018-10-27T00:00:00,GHCND:USC00280907,-0.6
",,H,0700",TOBS,2018-10-27T00:00:00,GHCND:USC00280907,6.1
",,H,0700",TMAX,2018-10-28T00:00:00,GHCND:USC00280907,8.3
",,H,0700",TMIN,2018-10-28T00:00:00,GHCND:USC00280907,5.0
",,H,0700",TOBS,2018-10-28T00:00:00,GHCND:USC00280907,7.2
",,H,0700",TMAX,2018-10-29T00:00:00,GHCND:USC00280907,10.6
",,H,0700",TMIN,2018-10-29T00:00:00,GHCND:USC00280907,6.7
",,H,0700",TOBS,2018-10-29T00:00:00,GHCND:USC00280907,8.3
",,H,0700",TMAX,2018-10-30T00:00:00,GHCND:USC00280907,13.3
",,H,0700",TMIN,2018-10-30T00:00:00,GHCND:USC00280907,2.2
",,H,0700",TOBS,2018-10-30T00:00:00,GHCND:USC00280907,5.0
",,H,0700",TMAX,2018-10-31T00:00:00,GHCND:USC00280907,12.2
",,H,0700",TMIN,2018-10-31T00:00:00,GHCND:USC00280907,0.0
",,H,0700",TOBS,2018-10-31T00:00:00,GHCND:USC00280907,0.0
