alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,1.7,ml,"45km S of Kaktovik, Alaska",1539460963493,"M 1.7 - 45km S of Kaktovik, Alaska",0,earthquake,Alaska
,,2.2,ml,"83km W of Anchor Point, Alaska",1539460430189,"M 2.2 - 83km W of Anchor Point, Alaska",0,earthquake,Alaska
,,1.9,ml,"60km S of Cantwell, Alaska",1539460155900,"M 1.9 - 60km S of Cantwell, Alaska",0,earthquake,Alaska
,,5.0,mww,"165km NNW of Flying Fish Cove, Christmas Island",1539459504090,"M 5.0 - 165km NNW of Flying Fish Cove, Christmas Island",1,earthquake,Christmas Island
,,1.6,ml,"95km N of College, Alaska",1539459197502,"M 1.6 - 95km N of College, Alaska",0,earthquake,Alaska
,,2.12,ml,"7km SW of Volcano, Hawaii",1539458974490,"M 2.1 - 7km SW of Volcano, Hawaii",0,earthquake,Hawaii
,,-0.1,ml,"6km NW of Lemmon Valley, Nevada",1539458844506,"M -0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake,Nevada
,,1.31,ml,"10km ESE of Lincoln, Montana",1539458726910,"M 1.3 - 10km ESE of Lincoln, Montana",0,earthquake,Montana
,,0.2,ml,"6km NW of Lemmon Valley, Nevada",1539458665088,"M 0.2 - 6km NW of Lemmon Valley, Nevada",0,earthquake,Nevada
,,0.86,ml,"12km N of Borrego Springs, CA",1539457997460,"M 0.9 - 12km N of Borrego Springs, CA",0,earthquake,California
,,2.92,md,"67km NNE of Arecibo, Puerto Rico",1539457653730,"M 2.9 - 67km NNE of Arecibo, Puerto Rico",0,earthquake,Puerto Rico
,,0.32,ml,"10km NE of Aguanga, CA",1539457563160,"M 0.3 - 10km NE of Aguanga, CA",0,earthquake,California
,,1.84,md,"23km SSW of South Dos Palos, CA",1539457145410,"M 1.8 - 23km SSW of South Dos Palos, CA",0,earthquake,California
,,1.9,ml,"13km W of Y, Alaska",1539457095255,"M 1.9 - 13km W of Y, Alaska",0,earthquake,Alaska
,,1.14,md,"6km NNW of Pinnacles, CA",1539455748700,"M 1.1 - 6km NNW of Pinnacles, CA",0,earthquake,California
,,0.9,ml,"42km WSW of Tonopah, Nevada",1539455306730,"M 0.9 - 42km WSW of Tonopah, Nevada",0,earthquake,Nevada
,,-0.1,ml,"6km NW of Lemmon Valley, Nevada",1539455017464,"M -0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake,Nevada
,,2.4,ml,"65km SSW of Kaktovik, Alaska",1539454521999,"M 2.4 - 65km SSW of Kaktovik, Alaska",0,earthquake,Alaska
,,2.2,ml,"78km SW of Kaktovik, Alaska",1539454417376,"M 2.2 - 78km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,2.5,ml,"61km S of Cantwell, Alaska",1539454164309,"M 2.5 - 61km S of Cantwell, Alaska",0,earthquake,Alaska
,,0.2,ml,"61km N of Pahrump, Nevada",1539453350904,"M 0.2 - 61km N of Pahrump, Nevada",0,earthquake,Nevada
,,1.46,ml,"4km SSW of Carpinteria, CA",1539453348990,"M 1.5 - 4km SSW of Carpinteria, CA",0,earthquake,California
,,4.6,mb,"242km NNW of Farallon de Pajaros, Northern Mariana Islands",1539453241120,"M 4.6 - 242km NNW of Farallon de Pajaros, Northern Mariana Islands",0,earthquake,Northern Mariana Islands
,,2.21,ml,"2km WNW of Manhattan, Montana",1539453156220,"M 2.2 - 2km WNW of Manhattan, Montana",0,earthquake,Montana
,,2.1,ml,"109km NW of Arctic Village, Alaska",1539452972561,"M 2.1 - 109km NW of Arctic Village, Alaska",0,earthquake,Alaska
,,1.83,ml,"17km SE of Volcano, Hawaii",1539452579990,"M 1.8 - 17km SE of Volcano, Hawaii",0,earthquake,Hawaii
,,2.15,ml,"2km WNW of Big Bear City, CA",1539452346280,"M 2.2 - 2km WNW of Big Bear City, CA",0,earthquake,California
,,1.44,md,"5km WNW of San Juan Bautista, CA",1539451650330,"M 1.4 - 5km WNW of San Juan Bautista, CA",0,earthquake,California
,,2.07,ml,"30km NNW of Santa Barbara Is., CA",1539450846660,"M 2.1 - 30km NNW of Santa Barbara Is., CA",0,earthquake,California
,,0.86,md,"6km NNW of Pinnacles, CA",1539450775480,"M 0.9 - 6km NNW of Pinnacles, CA",0,earthquake,California
,,0.1,ml,"6km NW of Lemmon Valley, Nevada",1539450455710,"M 0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake,Nevada
,,2.0,ml,"131km WNW of Arctic Village, Alaska",1539450453274,"M 2.0 - 131km WNW of Arctic Village, Alaska",0,earthquake,Alaska
,1.0,2.76,md,"6km NNW of Pinnacles, CA",1539449830890,"M 2.8 - 6km NNW of Pinnacles, CA",0,earthquake,California
,,2.24,ml,"22km E of Honaunau-Napoopoo, Hawaii",1539448516170,"M 2.2 - 22km E of Honaunau-Napoopoo, Hawaii",0,earthquake,Hawaii
,,4.6,mb,"160km NNW of Nago, Japan",1539448501800,"M 4.6 - 160km NNW of Nago, Japan",0,earthquake,Japan
,,1.14,ml,"1km SE of Placentia, CA",1539446932070,"M 1.1 - 1km SE of Placentia, CA",0,earthquake,California
,,1.45,ml,"6km NNE of Banning, CA",1539446803660,"M 1.5 - 6km NNE of Banning, CA",0,earthquake,California
,,0.35,md,"18km NW of Parkfield, CA",1539446197020,"M 0.4 - 18km NW of Parkfield, CA",0,earthquake,California
,,0.7,ml,"36km ENE of Big Pine, California",1539445657953,"M 0.7 - 36km ENE of Big Pine, California",0,earthquake,California
,,0.7,ml,"58km NNE of Pahrump, Nevada",1539445449797,"M 0.7 - 58km NNE of Pahrump, Nevada",0,earthquake,Nevada
,,2.43,md,"70km N of Tierras Nuevas Poniente, Puerto Rico",1539445438030,"M 2.4 - 70km N of Tierras Nuevas Poniente, Puerto Rico",0,earthquake,Puerto Rico
,,1.7,ml,"74km NW of Larsen Bay, Alaska",1539444927723,"M 1.7 - 74km NW of Larsen Bay, Alaska",0,earthquake,Alaska
,,1.12,md,"6km WNW of The Geysers, CA",1539444768320,"M 1.1 - 6km WNW of The Geysers, CA",0,earthquake,California
,,1.5,ml,"77km NNW of New Allakaket, Alaska",1539444762403,"M 1.5 - 77km NNW of New Allakaket, Alaska",0,earthquake,Alaska
,,0.62,ml,"11km NE of Aguanga, CA",1539444416080,"M 0.6 - 11km NE of Aguanga, CA",0,earthquake,California
,,0.5,ml,"59km NNE of Pahrump, Nevada",1539444377073,"M 0.5 - 59km NNE of Pahrump, Nevada",0,earthquake,Nevada
,,0.1,ml,"13km S of Reno, Nevada",1539443271217,"M 0.1 - 13km S of Reno, Nevada",0,earthquake,Nevada
,,2.01,ml,"21km ENE of Honaunau-Napoopoo, Hawaii",1539443097270,"M 2.0 - 21km ENE of Honaunau-Napoopoo, Hawaii",0,earthquake,Hawaii
,,1.4,ml,"93km ENE of Kobuk, Alaska",1539442812757,"M 1.4 - 93km ENE of Kobuk, Alaska",0,earthquake,Alaska
,,1.7,ml,"123km NNW of Arctic Village, Alaska",1539442808570,"M 1.7 - 123km NNW of Arctic Village, Alaska",0,earthquake,Alaska
,,0.83,md,"5km NNW of The Geysers, CA",1539442092640,"M 0.8 - 5km NNW of The Geysers, CA",0,earthquake,California
,,1.1,ml,"14km NE of East Quincy, California",1539442019022,"M 1.1 - 14km NE of East Quincy, California",0,earthquake,California
,,1.4,ml,"41km NNW of North Nenana, Alaska",1539440518313,"M 1.4 - 41km NNW of North Nenana, Alaska",0,earthquake,Alaska
,,1.4,ml,"28km N of North Nenana, Alaska",1539440502602,"M 1.4 - 28km N of North Nenana, Alaska",0,earthquake,Alaska
,,0.0,ml,"57km SSW of Beatty, Nevada",1539439366287,"M 0.0 - 57km SSW of Beatty, Nevada",0,earthquake,Nevada
,,1.8,ml,"11km WNW of Sutton-Alpine, Alaska",1539439062925,"M 1.8 - 11km WNW of Sutton-Alpine, Alaska",0,earthquake,Alaska
,,2.0,ml,"50km E of Cantwell, Alaska",1539438722986,"M 2.0 - 50km E of Cantwell, Alaska",0,earthquake,Alaska
,11.0,3.22,ml,"6km NNW of Pinnacles, CA",1539438366550,"M 3.2 - 6km NNW of Pinnacles, CA",0,earthquake,California
,,4.7,mb,"32km SE of Muisne, Ecuador",1539437762090,"M 4.7 - 32km SE of Muisne, Ecuador",0,earthquake,Ecuador
,,4.6,mb,"150km E of Luganville, Vanuatu",1539437595250,"M 4.6 - 150km E of Luganville, Vanuatu",0,earthquake,Vanuatu
,,0.75,ml,"6km S of Palomar Observatory, CA",1539437502970,"M 0.8 - 6km S of Palomar Observatory, CA",0,earthquake,California
,,1.9,ml,"10km SSE of Redoubt Volcano, Alaska",1539437373237,"M 1.9 - 10km SSE of Redoubt Volcano, Alaska",0,earthquake,Alaska
,,1.57,md,"3km NNE of The Geysers, CA",1539436429230,"M 1.6 - 3km NNE of The Geysers, CA",0,earthquake,California
,,0.9,ml,"60km E of Big Pine, California",1539436205237,"M 0.9 - 60km E of Big Pine, California",0,earthquake,California
,,1.3,ml,"45km WSW of Big Lake, Alaska",1539436163990,"M 1.3 - 45km WSW of Big Lake, Alaska",0,earthquake,Alaska
,,1.8,ml,"66km SW of Cantwell, Alaska",1539435949390,"M 1.8 - 66km SW of Cantwell, Alaska",0,earthquake,Alaska
,,1.6,ml,"112km NNW of Arctic Village, Alaska",1539435921824,"M 1.6 - 112km NNW of Arctic Village, Alaska",0,earthquake,Alaska
,,1.2,ml,"25km NW of Ester, Alaska",1539435449480,"M 1.2 - 25km NW of Ester, Alaska",0,earthquake,Alaska
,,0.59,md,"8km ESE of Mammoth Lakes, CA",1539435391320,"M 0.6 - 8km ESE of Mammoth Lakes, CA",0,earthquake,California
,,1.33,ml,"8km ENE of Aguanga, CA",1539435293090,"M 1.3 - 8km ENE of Aguanga, CA",0,earthquake,California
,,0.03,ml,"5km WSW of Anza, CA",1539434854250,"M 0.0 - 5km WSW of Anza, CA",0,earthquake,California
,,1.64,ml,"10km S of Progreso, B.C., MX",1539434531500,"M 1.6 - 10km S of Progreso, B.C., MX",0,earthquake,Mexico
,,0.57,ml,"12km N of Borrego Springs, CA",1539434338510,"M 0.6 - 12km N of Borrego Springs, CA",0,earthquake,California
,,1.44,ml,"14km ESE of Lincoln, Montana",1539434260530,"M 1.4 - 14km ESE of Lincoln, Montana",0,earthquake,Montana
,7.0,2.81,md,"5km WNW of San Juan Bautista, CA",1539434155600,"M 2.8 - 5km WNW of San Juan Bautista, CA",0,earthquake,California
,,0.29,ml,"11km NE of Aguanga, CA",1539433618700,"M 0.3 - 11km NE of Aguanga, CA",0,earthquake,California
,,2.2,ml,"112km NE of Kodiak, Alaska",1539433351265,"M 2.2 - 112km NE of Kodiak, Alaska",0,earthquake,Alaska
,,1.1,ml,"35km S of Ester, Alaska",1539432831700,"M 1.1 - 35km S of Ester, Alaska",0,earthquake,Alaska
,,1.9,ml,"93km WNW of Arctic Village, Alaska",1539431731581,"M 1.9 - 93km WNW of Arctic Village, Alaska",0,earthquake,Alaska
,,0.9,ml,"20km WSW of Smith Valley, Nevada",1539430916036,"M 0.9 - 20km WSW of Smith Valley, Nevada",0,earthquake,Nevada
,,0.1,ml,"13km S of Verdi, Nevada",1539430605947,"M 0.1 - 13km S of Verdi, Nevada",0,earthquake,Nevada
,,2.3,ml,"93km SW of Kaktovik, Alaska",1539430033878,"M 2.3 - 93km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,2.84,md,"6km NNW of Pinnacles, CA",1539429835910,"M 2.8 - 6km NNW of Pinnacles, CA",0,earthquake,California
,,2.16,md,"26km WNW of Volcano, Hawaii",1539429776760,"M 2.2 - 26km WNW of Volcano, Hawaii",0,earthquake,Hawaii
,,2.01,md,"5km WSW of Volcano, Hawaii",1539429745980,"M 2.0 - 5km WSW of Volcano, Hawaii",0,earthquake,Hawaii
green,,6.7,mww,"262km NW of Ozernovskiy, Russia",1539429023560,"M 6.7 - 262km NW of Ozernovskiy, Russia",1,earthquake,Russia
,,2.36,ml,"22km ENE of Honaunau-Napoopoo, Hawaii",1539428857620,"M 2.4 - 22km ENE of Honaunau-Napoopoo, Hawaii",0,earthquake,Hawaii
,,0.83,ml,"10km NE of Aguanga, CA",1539428257990,"M 0.8 - 10km NE of Aguanga, CA",0,earthquake,California
,,1.6,ml,"48km NE of Talkeetna, Alaska",1539427991797,"M 1.6 - 48km NE of Talkeetna, Alaska",0,earthquake,Alaska
,,2.61,md,"52km ESE of Punta Cana, Dominican Republic",1539426944370,"M 2.6 - 52km ESE of Punta Cana, Dominican Republic",0,earthquake,Dominican Republic
,,2.2,ml,"69km SW of Kaktovik, Alaska",1539426811876,"M 2.2 - 69km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.62,ml,"4km SE of Lake Henshaw, CA",1539426592850,"M 0.6 - 4km SE of Lake Henshaw, CA",0,earthquake,California
,,0.73,ml,"9km NE of Aguanga, CA",1539426495810,"M 0.7 - 9km NE of Aguanga, CA",0,earthquake,California
,,2.97,md,"40km NNW of Road Town, British Virgin Islands",1539425495370,"M 3.0 - 40km NNW of Road Town, British Virgin Islands",0,earthquake,British Virgin Islands
,,2.09,ml,"13km S of Fern Acres, Hawaii",1539425473350,"M 2.1 - 13km S of Fern Acres, Hawaii",0,earthquake,Hawaii
,,1.85,ml,"14km S of Fern Acres, Hawaii",1539425231160,"M 1.9 - 14km S of Fern Acres, Hawaii",0,earthquake,Hawaii
,,0.4,ml,"5km WSW of Anza, CA",1539425169090,"M 0.4 - 5km WSW of Anza, CA",0,earthquake,California
,,1.9,ml,"103km NNW of Arctic Village, Alaska",1539424559440,"M 1.9 - 103km NNW of Arctic Village, Alaska",0,earthquake,Alaska
,,2.0,ml,"63km SSW of Kaktovik, Alaska",1539424267420,"M 2.0 - 63km SSW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.8,ml,"33km N of Beatty, Nevada",1539424240238,"M 0.8 - 33km N of Beatty, Nevada",0,earthquake,Nevada
,,2.7,ml,"90km SW of Kaktovik, Alaska",1539422285876,"M 2.7 - 90km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.72,ml,"28km NNW of Packwood, Washington",1539422190670,"M 0.7 - 28km NNW of Packwood, Washington",0,earthquake,Washington
,,-0.4,ml,"10km SSE of Beatty, Nevada",1539422175717,"M -0.4 - 10km SSE of Beatty, Nevada",0,earthquake,Nevada
,1.0,1.7,ml,"45km NW of Talkeetna, Alaska",1539422097703,"M 1.7 - 45km NW of Talkeetna, Alaska",0,earthquake,Alaska
,,1.5,md,"12km WNW of The Geysers, CA",1539421706930,"M 1.5 - 12km WNW of The Geysers, CA",0,earthquake,California
,,0.33,ml,"9km NE of Aguanga, CA",1539421600320,"M 0.3 - 9km NE of Aguanga, CA",0,earthquake,California
,,1.57,md,"3km SSW of Maricao, Puerto Rico",1539421392650,"M 1.6 - 3km SSW of Maricao, Puerto Rico",0,earthquake,Puerto Rico
,,2.2,ml,"78km SW of Kaktovik, Alaska",1539420720097,"M 2.2 - 78km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,2.49,md,"3km WSW of Maricao, Puerto Rico",1539420584150,"M 2.5 - 3km WSW of Maricao, Puerto Rico",0,earthquake,Puerto Rico
,,3.0,ml,"84km SW of Kaktovik, Alaska",1539420212233,"M 3.0 - 84km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.89,ml,"4km N of Pacoima, CA",1539419935930,"M 0.9 - 4km N of Pacoima, CA",0,earthquake,California
,,1.4,ml,"10km ENE of Badger, Alaska",1539419448036,"M 1.4 - 10km ENE of Badger, Alaska",0,earthquake,Alaska
,,4.2,mb,"95km SE of Angoram, Papua New Guinea",1539419034770,"M 4.2 - 95km SE of Angoram, Papua New Guinea",0,earthquake,Papua New Guinea
,,0.6,md,"4km WNW of Mammoth Lakes, CA",1539418860720,"M 0.6 - 4km WNW of Mammoth Lakes, CA",0,earthquake,California
,,2.9,ml,"90km SW of Kaktovik, Alaska",1539418190027,"M 2.9 - 90km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.58,ml,"9km NNE of Aguanga, CA",1539417704970,"M 0.6 - 9km NNE of Aguanga, CA",0,earthquake,California
,,0.74,ml,"21km SSW of La Quinta, CA",1539416644850,"M 0.7 - 21km SSW of La Quinta, CA",0,earthquake,California
,,1.83,ml,"5km WSW of Volcano, Hawaii",1539415768940,"M 1.8 - 5km WSW of Volcano, Hawaii",0,earthquake,Hawaii
,,2.1,ml,"57km N of Petersburg, Alaska",1539415586548,"M 2.1 - 57km N of Petersburg, Alaska",0,earthquake,Alaska
,,1.38,ml,"10km ESE of Lincoln, Montana",1539415534350,"M 1.4 - 10km ESE of Lincoln, Montana",0,earthquake,Montana
,,0.61,ml,"6km S of Palomar Observatory, CA",1539415182880,"M 0.6 - 6km S of Palomar Observatory, CA",0,earthquake,California
,,0.73,ml,"2km NNW of Indio, CA",1539414406200,"M 0.7 - 2km NNW of Indio, CA",0,earthquake,California
,,1.6,ml,"71km SSW of Kaktovik, Alaska",1539414329646,"M 1.6 - 71km SSW of Kaktovik, Alaska",0,earthquake,Alaska
,,0.61,ml,"9km NE of Aguanga, CA",1539413767020,"M 0.6 - 9km NE of Aguanga, CA",0,earthquake,California
,,0.1,ml,"69km S of Beatty, Nevada",1539413440487,"M 0.1 - 69km S of Beatty, Nevada",0,earthquake,Nevada
,,0.65,ml,"5km SW of Anza, CA",1539413253200,"M 0.7 - 5km SW of Anza, CA",0,earthquake,California
,,1.38,md,"15km NW of Pinnacles, CA",1539412953120,"M 1.4 - 15km NW of Pinnacles, CA",0,earthquake,California
,,2.2,ml,"80km S of Kaktovik, Alaska",1539412675870,"M 2.2 - 80km S of Kaktovik, Alaska",0,earthquake,Alaska
,,-0.02,md,"20km SSE of Ronan, Montana",1539412475360,"M -0.0 - 20km SSE of Ronan, Montana",0,earthquake,Montana
,,1.1,ml,"29km ENE of Bridgeport, California",1539412316581,"M 1.1 - 29km ENE of Bridgeport, California",0,earthquake,California
,,0.75,ml,"9km ENE of Aguanga, CA",1539410619050,"M 0.8 - 9km ENE of Aguanga, CA",0,earthquake,California
,,0.88,md,"6km WNW of The Geysers, CA",1539410311250,"M 0.9 - 6km WNW of The Geysers, CA",0,earthquake,California
,,1.4,ml,"105km NW of Arctic Village, Alaska",1539410152217,"M 1.4 - 105km NW of Arctic Village, Alaska",0,earthquake,Alaska
,,1.6,ml,"104km NW of Talkeetna, Alaska",1539409698450,"M 1.6 - 104km NW of Talkeetna, Alaska",0,earthquake,Alaska
,,2.3,ml,"84km SSW of Kaktovik, Alaska",1539409512309,"M 2.3 - 84km SSW of Kaktovik, Alaska",0,earthquake,Alaska
,,1.2,ml,"42km WSW of Tonopah, Nevada",1539409248997,"M 1.2 - 42km WSW of Tonopah, Nevada",0,earthquake,Nevada
,,0.35,ml,"10km NE of Aguanga, CA",1539408989000,"M 0.4 - 10km NE of Aguanga, CA",0,earthquake,California
,,1.41,md,"8km ENE of Mammoth Lakes, CA",1539408288970,"M 1.4 - 8km ENE of Mammoth Lakes, CA",0,earthquake,California
,,1.08,ml,"7km ESE of Yucaipa, CA",1539408106850,"M 1.1 - 7km ESE of Yucaipa, CA",0,earthquake,California
,,1.3,ml,"100km WNW of Arctic Village, Alaska",1539408025731,"M 1.3 - 100km WNW of Arctic Village, Alaska",0,earthquake,Alaska
,,0.6,ml,"6km NW of Lemmon Valley, Nevada",1539408002843,"M 0.6 - 6km NW of Lemmon Valley, Nevada",0,earthquake,Nevada
,,1.7,ml,"91km W of Willow, Alaska",1539407892842,"M 1.7 - 91km W of Willow, Alaska",0,earthquake,Alaska
,,1.1,ml,"42km WSW of Tonopah, Nevada",1539406792979,"M 1.1 - 42km WSW of Tonopah, Nevada",0,earthquake,Nevada
,,4.5,mb,South of the Fiji Islands,1539406159290,M 4.5 - South of the Fiji Islands,0,earthquake,Fiji
,,0.68,md,"5km WNW of The Geysers, CA",1539405816910,"M 0.7 - 5km WNW of The Geysers, CA",0,earthquake,California
,,0.5,ml,"12km SSE of Verdi, Nevada",1539405684408,"M 0.5 - 12km SSE of Verdi, Nevada",0,earthquake,Nevada
,,2.1,ml,"102km NNE of Kodiak, Alaska",1539405496766,"M 2.1 - 102km NNE of Kodiak, Alaska",0,earthquake,Alaska
green,,5.2,mww,"25km E of Bitung, Indonesia",1539405255580,"M 5.2 - 25km E of Bitung, Indonesia",0,earthquake,Indonesia
,,1.75,ml,"14km S of Leilani Estates, Hawaii",1539405109740,"M 1.8 - 14km S of Leilani Estates, Hawaii",0,earthquake,Hawaii
,,0.54,ml,"6km NE of Anza, CA",1539404874900,"M 0.5 - 6km NE of Anza, CA",0,earthquake,California
,,0.67,ml,"7km NE of Aguanga, CA",1539404466580,"M 0.7 - 7km NE of Aguanga, CA",0,earthquake,California
,1.0,1.72,ml,"6km NE of Anza, CA",1539404273380,"M 1.7 - 6km NE of Anza, CA",0,earthquake,California
,,1.36,ml,"6km NE of Anza, CA",1539404247450,"M 1.4 - 6km NE of Anza, CA",0,earthquake,California
,,1.9,ml,"49km NW of Cape Yakataga, Alaska",1539404023366,"M 1.9 - 49km NW of Cape Yakataga, Alaska",0,earthquake,Alaska
,,1.0,ml,"12km S of Mogul, Nevada",1539403666552,"M 1.0 - 12km S of Mogul, Nevada",0,earthquake,Nevada
,,2.16,ml,"5km ESE of Leilani Estates, Hawaii",1539401988460,"M 2.2 - 5km ESE of Leilani Estates, Hawaii",0,earthquake,Hawaii
,,1.16,ml,"20km NE of Olancha, CA",1539401879590,"M 1.2 - 20km NE of Olancha, CA",0,earthquake,California
,,0.56,md,"8km WNW of The Geysers, CA",1539401612140,"M 0.6 - 8km WNW of The Geysers, CA",0,earthquake,California
,,1.9,ml,"88km NNW of Talkeetna, Alaska",1539401497296,"M 1.9 - 88km NNW of Talkeetna, Alaska",0,earthquake,Alaska
,,2.3,ml,"93km NNW of Nikiski, Alaska",1539401327987,"M 2.3 - 93km NNW of Nikiski, Alaska",0,earthquake,Alaska
,,0.7,ml,"61km NNE of Pahrump, Nevada",1539400987085,"M 0.7 - 61km NNE of Pahrump, Nevada",0,earthquake,Nevada
,,0.4,ml,"5km S of Idyllwild, CA",1539400315400,"M 0.4 - 5km S of Idyllwild, CA",0,earthquake,California
,,0.82,ml,"6km W of Anza, CA",1539399290210,"M 0.8 - 6km W of Anza, CA",0,earthquake,California
,,3.0,ml,"68km N of Nikiski, Alaska",1539399006520,"M 3.0 - 68km N of Nikiski, Alaska",0,earthquake,Alaska
,,1.9,ml,"107km SW of Kaktovik, Alaska",1539398763306,"M 1.9 - 107km SW of Kaktovik, Alaska",0,earthquake,Alaska
,,-0.2,ml,"60km N of Pahrump, Nevada",1539398340822,"M -0.2 - 60km N of Pahrump, Nevada",0,earthquake,Nevada
,,1.01,ml,"4km E of Banning, CA",1539398054610,"M 1.0 - 4km E of Banning, CA",0,earthquake,California
,,0.87,md,"6km NW of The Geysers, CA",1539398044050,"M 0.9 - 6km NW of The Geysers, CA",0,earthquake,California
,,-0.1,ml,"37km ENE of Beatty, Nevada",1539397417213,"M -0.1 - 37km ENE of Beatty, Nevada",0,earthquake,Nevada
,,0.9,ml,"18km NE of Yerington, Nevada",1539397223427,"M 0.9 - 18km NE of Yerington, Nevada",0,earthquake,Nevada
