alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,73096911,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096911&format=geojson,0.01993,,159.0,",nc73096911,",0.72,md,,nc,8.0,"2km N of The Geysers, CA",0.03,8,",nc,",automatic,1539470237230,"M 0.7 - 2km N of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539472143341,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096911
,,2018286009,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018286009&format=geojson,0.1061,,145.0,",pr2018286009,",1.69,md,,pr,5.0,"2km S of Maricao, Puerto Rico",0.07,44,",pr,",reviewed,1539468879730,"M 1.7 - 2km S of Maricao, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240.0,1539480026152,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018286009
,,20280424,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280424&format=geojson,,,,",ak20280424,",2.0,ml,,ak,,"57km SSW of Kaktovik, Alaska",0.98,62,",ak,",automatic,1539468687232,"M 2.0 - 57km SSW of Kaktovik, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539469037574,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280424
,,37389114,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389114&format=geojson,0.07711,,49.0,",ci37389114,",0.92,ml,,ci,30.0,"4km ENE of Calimesa, CA",0.23,13,",ci,",automatic,1539468671340,"M 0.9 - 4km ENE of Calimesa, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539468893882,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389114
,,2018286008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018286008&format=geojson,0.7059,,294.0,",pr2018286008,",2.82,md,,pr,6.0,"61km N of Tierras Nuevas Poniente, Puerto Rico",0.37,122,",pr,",reviewed,1539467908560,"M 2.8 - 61km N of Tierras Nuevas Poniente, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240.0,1539480002872,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018286008
,,20280421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280421&format=geojson,,,,",ak20280421,",1.7,ml,,ak,,"64km SSW of Salcha, Alaska",0.85,44,",ak,",automatic,1539467905609,"M 1.7 - 64km SSW of Salcha, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539468224954,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280421
,,37389098,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389098&format=geojson,0.1078,,185.0,",ci37389098,",0.81,ml,,ci,16.0,"4km NW of San Clemente, CA",0.18,10,",ci,",automatic,1539467508540,"M 0.8 - 4km NW of San Clemente, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539467729448,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389098
,,37389082,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389082&format=geojson,0.1078,,108.0,",ci37389082,",0.55,ml,,ci,9.0,"27km E of Coso Junction, CA",0.12,5,",ci,",automatic,1539466580200,"M 0.6 - 27km E of Coso Junction, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539466791682,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389082
,,37389074,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389074&format=geojson,0.02752,,109.0,",ci37389074,",0.67,ml,,ci,22.0,"6km SSE of Idyllwild, CA",0.18,7,",ci,",automatic,1539466409430,"M 0.7 - 6km SSE of Idyllwild, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539466624165,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389074
,,73096901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096901&format=geojson,0.02641,,73.0,",nc73096901,",2.1,md,,nc,26.0,"14km NW of Parkfield, CA",0.08,68,",nc,",automatic,1539466356170,"M 2.1 - 14km NW of Parkfield, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539469444108,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096901
,,20280415,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280415&format=geojson,,,,",ak20280415,us1000hbta,",2.8,ml,,ak,,"111km NNW of Arctic Village, Alaska",0.81,121,",ak,us,",automatic,1539466288954,"M 2.8 - 111km NNW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539478515040,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280415
,,20280412,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280412&format=geojson,,,,",ak20280412,",1.1,ml,,ak,,"43km S of Redoubt Volcano, Alaska",0.35,19,",ak,",automatic,1539465520462,"M 1.1 - 43km S of Redoubt Volcano, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539465930832,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280412
,,20280407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280407&format=geojson,,,,",ak20280407,",1.8,ml,,ak,,"86km SW of Anchor Point, Alaska",1.05,50,",ak,",automatic,1539464607849,"M 1.8 - 86km SW of Anchor Point, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539464959401,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280407
,,73096891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096891&format=geojson,0.02024,,147.0,",nc73096891,",0.93,md,,nc,9.0,"15km NW of Parkfield, CA",0.03,13,",nc,",automatic,1539464503490,"M 0.9 - 15km NW of Parkfield, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539468544026,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096891
,,80314224,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80314224&format=geojson,0.302,,88.0,",mb80314224,",1.52,ml,,mb,13.0,"2km WNW of Manhattan, Montana",0.09,36,",mb,",reviewed,1539463322040,"M 1.5 - 2km WNW of Manhattan, Montana",0,earthquake,",geoserve,origin,phase-data,",-420.0,1539464332470,https://earthquake.usgs.gov/earthquakes/eventpage/mb80314224
,,20280403,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280403&format=geojson,,,,",ak20280403,",2.3,ml,,ak,,"79km SW of Kaktovik, Alaska",0.93,81,",ak,",automatic,1539462724148,"M 2.3 - 79km SW of Kaktovik, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539463033137,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280403
,,00660878,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660878&format=geojson,0.091,,155.59,",nn00660878,",1.3,ml,,nn,10.0,"13km E of Hawthorne, Nevada",0.12,26,",nn,",reviewed,1539461038285,"M 1.3 - 13km E of Hawthorne, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482691389,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660878
,,20280397,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280397&format=geojson,,,,",ak20280397,",1.7,ml,,ak,,"45km S of Kaktovik, Alaska",0.8,44,",ak,",automatic,1539460963493,"M 1.7 - 45km S of Kaktovik, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539461612173,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280397
,,20280396,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280396&format=geojson,,,,",ak20280396,",2.2,ml,,ak,,"83km W of Anchor Point, Alaska",0.39,74,",ak,",automatic,1539460430189,"M 2.2 - 83km W of Anchor Point, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539460664056,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280396
,,20280395,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280395&format=geojson,,,,",ak20280395,",1.9,ml,,ak,,"60km S of Cantwell, Alaska",0.89,56,",ak,",automatic,1539460155900,"M 1.9 - 60km S of Cantwell, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539460344052,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280395
,,1000hbsa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000hbsa&format=geojson,1.541,,51.0,",us1000hbsa,",5.0,mww,,us,,"165km NNW of Flying Fish Cove, Christmas Island",0.95,385,",us,",reviewed,1539459504090,"M 5.0 - 165km NNW of Flying Fish Cove, Christmas Island",1,earthquake,",geoserve,origin,phase-data,",420.0,1539461285040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hbsa
,,20280391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280391&format=geojson,,,,",ak20280391,",1.6,ml,,ak,,"95km N of College, Alaska",0.49,39,",ak,",automatic,1539459197502,"M 1.6 - 95km N of College, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539459368147,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280391
,,70650197,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70650197&format=geojson,0.006633,,44.0,",hv70650197,",2.12,ml,,hv,25.0,"7km SW of Volcano, Hawaii",0.35,69,",hv,",automatic,1539458974490,"M 2.1 - 7km SW of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600.0,1539459318220,https://earthquake.usgs.gov/earthquakes/eventpage/hv70650197
,,00660886,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660886&format=geojson,0.095,,155.25,",nn00660886,",-0.1,ml,,nn,4.0,"6km NW of Lemmon Valley, Nevada",0.0359,0,",nn,",reviewed,1539458844506,"M -0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482703428,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660886
,,80314214,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80314214&format=geojson,0.08,,117.0,",mb80314214,",1.31,ml,,mb,12.0,"10km ESE of Lincoln, Montana",0.09,26,",mb,",reviewed,1539458726910,"M 1.3 - 10km ESE of Lincoln, Montana",0,earthquake,",geoserve,origin,phase-data,",-420.0,1539464731020,https://earthquake.usgs.gov/earthquakes/eventpage/mb80314214
,,00660885,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660885&format=geojson,0.097,,156.31,",nn00660885,",0.2,ml,,nn,6.0,"6km NW of Lemmon Valley, Nevada",0.0549,1,",nn,",reviewed,1539458665088,"M 0.2 - 6km NW of Lemmon Valley, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482702050,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660885
,,37389010,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37389010&format=geojson,0.09885,,205.0,",ci37389010,",0.86,ml,,ci,26.0,"12km N of Borrego Springs, CA",0.2,11,",ci,",automatic,1539457997460,"M 0.9 - 12km N of Borrego Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539458211473,https://earthquake.usgs.gov/earthquakes/eventpage/ci37389010
,,2018286007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018286007&format=geojson,0.5878,,291.0,",pr2018286007,",2.92,md,,pr,10.0,"67km NNE of Arecibo, Puerto Rico",0.32,131,",pr,",reviewed,1539457653730,"M 2.9 - 67km NNE of Arecibo, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240.0,1539479987680,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018286007
,,37388994,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37388994&format=geojson,0.07303,,71.0,",ci37388994,",0.32,ml,,ci,12.0,"10km NE of Aguanga, CA",0.12,2,",ci,",automatic,1539457563160,"M 0.3 - 10km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539457786112,https://earthquake.usgs.gov/earthquakes/eventpage/ci37388994
,,73096866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096866&format=geojson,0.3947,,186.0,",nc73096866,",1.84,md,,nc,7.0,"23km SSW of South Dos Palos, CA",0.17,52,",nc,",automatic,1539457145410,"M 1.8 - 23km SSW of South Dos Palos, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539463638552,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096866
,,20280389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280389&format=geojson,,,,",ak20280389,",1.9,ml,,ak,,"13km W of Y, Alaska",1.04,56,",ak,",automatic,1539457095255,"M 1.9 - 13km W of Y, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539457291185,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280389
,,73096861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096861&format=geojson,0.008078,,164.0,",nc73096861,",1.14,md,,nc,7.0,"6km NNW of Pinnacles, CA",0.02,20,",nc,",automatic,1539455748700,"M 1.1 - 6km NNW of Pinnacles, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539462009384,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096861
,,00660867,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660867&format=geojson,0.326,,111.14,",nn00660867,",0.9,ml,,nn,13.0,"42km WSW of Tonopah, Nevada",0.1655,12,",nn,",reviewed,1539455306730,"M 0.9 - 42km WSW of Tonopah, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482685124,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660867
,,00660884,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660884&format=geojson,0.097,,155.98,",nn00660884,",-0.1,ml,,nn,4.0,"6km NW of Lemmon Valley, Nevada",0.0226,0,",nn,",reviewed,1539455017464,"M -0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482700579,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660884
,,20280381,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280381&format=geojson,,,,",ak20280381,",2.4,ml,,ak,,"65km SSW of Kaktovik, Alaska",0.83,89,",ak,",automatic,1539454521999,"M 2.4 - 65km SSW of Kaktovik, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539455215638,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280381
,,20280377,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280377&format=geojson,,,,",ak20280377,",2.2,ml,,ak,,"78km SW of Kaktovik, Alaska",1.12,74,",ak,",automatic,1539454417376,"M 2.2 - 78km SW of Kaktovik, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539454918071,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280377
,,20280372,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280372&format=geojson,,,,",ak20280372,",2.5,ml,,ak,,"61km S of Cantwell, Alaska",0.93,96,",ak,",automatic,1539454164309,"M 2.5 - 61km S of Cantwell, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539454804411,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280372
,,00660865,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660865&format=geojson,0.079,,232.14,",nn00660865,",0.2,ml,,nn,26.0,"61km N of Pahrump, Nevada",0.2223,1,",nn,",reviewed,1539453350904,"M 0.2 - 61km N of Pahrump, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482683399,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660865
,,37388978,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37388978&format=geojson,0.03796,,71.0,",ci37388978,",1.46,ml,,ci,21.0,"4km SSW of Carpinteria, CA",0.27,33,",ci,",automatic,1539453348990,"M 1.5 - 4km SSW of Carpinteria, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539453572333,https://earthquake.usgs.gov/earthquakes/eventpage/ci37388978
,,1000hbrc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000hbrc&format=geojson,4.807,,124.0,",us1000hbrc,",4.6,mb,,us,,"242km NNW of Farallon de Pajaros, Northern Mariana Islands",0.92,326,",us,",reviewed,1539453241120,"M 4.6 - 242km NNW of Farallon de Pajaros, Northern Mariana Islands",0,earthquake,",geoserve,origin,phase-data,",600.0,1539454808040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000hbrc
,,80314199,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80314199&format=geojson,0.307,,73.0,",mb80314199,",2.21,ml,,mb,23.0,"2km WNW of Manhattan, Montana",0.16,75,",mb,",reviewed,1539453156220,"M 2.2 - 2km WNW of Manhattan, Montana",0,earthquake,",geoserve,origin,phase-data,",-420.0,1539465403060,https://earthquake.usgs.gov/earthquakes/eventpage/mb80314199
,,20280369,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280369&format=geojson,,,,",ak20280369,",2.1,ml,,ak,,"109km NW of Arctic Village, Alaska",0.9,68,",ak,",automatic,1539452972561,"M 2.1 - 109km NW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539453256203,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280369
,,70649957,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70649957&format=geojson,0.04506,,140.0,",hv70649957,",1.83,ml,,hv,45.0,"17km SE of Volcano, Hawaii",0.26,52,",hv,",automatic,1539452579990,"M 1.8 - 17km SE of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600.0,1539452921730,https://earthquake.usgs.gov/earthquakes/eventpage/hv70649957
,,37388970,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37388970&format=geojson,0.04478,,35.0,",ci37388970,",2.15,ml,,ci,80.0,"2km WNW of Big Bear City, CA",0.18,71,",ci,",automatic,1539452346280,"M 2.2 - 2km WNW of Big Bear City, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1539453035850,https://earthquake.usgs.gov/earthquakes/eventpage/ci37388970
,,73096846,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096846&format=geojson,0.02706,,103.0,",nc73096846,",1.44,md,,nc,19.0,"5km WNW of San Juan Bautista, CA",0.05,32,",nc,",automatic,1539451650330,"M 1.4 - 5km WNW of San Juan Bautista, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539459489142,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096846
,,37388954,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37388954&format=geojson,0.2762,,77.0,",ci37388954,",2.07,ml,,ci,16.0,"30km NNW of Santa Barbara Is., CA",0.24,66,",ci,",automatic,1539450846660,"M 2.1 - 30km NNW of Santa Barbara Is., CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1539451077295,https://earthquake.usgs.gov/earthquakes/eventpage/ci37388954
,,73096836,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73096836&format=geojson,0.007332,,163.0,",nc73096836,",0.86,md,,nc,7.0,"6km NNW of Pinnacles, CA",0.01,11,",nc,",automatic,1539450775480,"M 0.9 - 6km NNW of Pinnacles, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1539457803964,https://earthquake.usgs.gov/earthquakes/eventpage/nc73096836
,,00660883,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00660883&format=geojson,0.096,,146.38,",nn00660883,",0.1,ml,,nn,6.0,"6km NW of Lemmon Valley, Nevada",0.0506,0,",nn,",reviewed,1539450455710,"M 0.1 - 6km NW of Lemmon Valley, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1539482699204,https://earthquake.usgs.gov/earthquakes/eventpage/nn00660883
,,20280363,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20280363&format=geojson,,,,",ak20280363,",2.0,ml,,ak,,"131km WNW of Arctic Village, Alaska",0.84,62,",ak,",automatic,1539450453274,"M 2.0 - 131km WNW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,",-540.0,1539450808977,https://earthquake.usgs.gov/earthquakes/eventpage/ak20280363
