date,open,high,low,close
2019-06-14,108.369,108.588,108.13,108.55
2019-06-17,108.544,108.724,108.49,108.547
2019-06-18,108.547,108.677,108.04,108.511
2019-06-19,108.51,108.618,107.89,108.084
2019-06-20,108.085,108.143,107.19,107.349
2019-06-21,107.346,107.735,107.02,107.31
2019-06-24,107.353,107.537,107.22,107.33
2019-06-25,107.33,107.41,106.75,107.2
2019-06-26,107.208,107.85,107.1,107.727
2019-06-27,107.727,108.161,107.62,107.786
2019-06-28,107.792,107.935,107.54,107.82
2019-07-01,108.489,108.533,108.07,108.316
2019-07-02,108.312,108.475,107.74,107.855
2019-07-03,107.854,107.903,107.5,107.785
2019-07-04,107.785,107.843,107.68,107.798
2019-07-05,107.798,108.638,107.75,108.46
2019-07-08,108.507,108.806,108.25,108.729
2019-07-09,108.731,108.964,108.67,108.885
2019-07-10,108.88,108.991,108.28,108.32
2019-07-11,108.32,108.533,107.83,108.47
2019-07-12,108.473,108.61,107.77,107.93
2019-07-15,107.879,108.11,107.77,107.863
2019-07-16,107.863,108.377,107.81,108.232
2019-07-17,108.236,108.33,107.83,107.958
2019-07-18,107.959,108.016,107.18,107.488
2019-07-19,107.492,107.978,107.3,107.7
2019-07-22,107.808,108.07,107.68,107.89
2019-07-23,107.893,108.29,107.79,108.219
2019-07-24,108.219,108.277,107.92,108.165
2019-07-25,108.167,108.757,108.01,108.623
2019-07-26,108.624,108.829,108.53,108.66
2019-07-29,108.646,108.9,108.39,108.821
2019-07-30,108.824,108.949,108.43,108.59
2019-07-31,108.598,109.0,108.46,108.732
2019-08-01,108.738,109.318,107.2,107.514
2019-08-02,107.514,107.519,106.48,106.58
2019-08-05,106.631,106.633,105.5,105.663
2019-08-06,105.663,107.09,105.52,106.384
2019-08-07,106.382,106.419,105.49,106.11
2019-08-08,106.12,106.303,105.69,105.843
2019-08-09,105.843,106.077,105.24,105.66
2019-08-12,105.628,105.634,105.02,105.27
2019-08-13,105.278,106.977,105.04,106.607
2019-08-14,106.611,106.677,105.648,105.792
2019-08-15,105.794,106.78,105.68,106.13
2019-08-16,106.132,106.494,105.99,106.36
2019-08-19,106.466,106.698,106.22,106.613
2019-08-20,106.612,106.692,106.14,106.27
2019-08-21,106.274,106.646,106.22,106.58
2019-08-22,106.579,106.653,106.23,106.44
2019-08-23,106.442,106.734,105.23,105.39
2019-08-26,104.866,106.414,104.78,106.098
2019-08-27,106.096,106.123,105.56,105.757
2019-08-28,105.765,106.23,105.62,106.005
2019-08-29,106.007,106.683,105.8,106.5
2019-08-30,106.5,106.545,106.07,106.28
2019-09-02,106.115,106.4,106.03,106.202
2019-09-03,106.2,106.385,105.71,105.957
2019-09-04,105.957,106.447,105.8,106.337
2019-09-05,106.336,107.23,106.3,107.018
2019-09-06,107.02,107.102,106.6,106.89
2019-09-09,106.896,107.275,106.74,107.21
2019-09-10,107.21,107.586,107.17,107.512
2019-09-11,107.51,107.857,107.47,107.815
2019-09-12,107.814,108.191,107.5,108.155
2019-09-13,108.155,108.26,107.88,108.1
2019-09-16,107.819,108.17,107.46,108.12
2019-09-17,108.117,108.371,107.99,108.108
2019-09-18,108.108,108.477,108.05,108.398
2019-09-19,108.4,108.474,107.75,108.019
2019-09-20,108.019,108.088,107.5,107.515
2019-09-23,107.683,107.77,107.28,107.492
2019-09-24,107.492,107.803,106.93,107.109
2019-09-25,107.109,107.884,106.97,107.748
2019-09-26,107.748,107.959,107.4,107.813
2019-09-27,107.813,108.181,107.62,107.92
2019-09-30,107.876,108.18,107.71,108.069
2019-10-01,108.072,108.471,107.6,107.751
2019-10-02,107.751,107.892,107.03,107.176
2019-10-03,107.176,107.3,106.47,106.882
2019-10-04,106.883,107.134,106.529,106.88
2019-10-07,106.852,107.464,106.66,107.22
2019-10-08,107.225,107.444,106.78,107.014
2019-10-09,107.016,107.63,106.9,107.072
2019-10-10,107.074,108.02,107.02,107.938
2019-10-11,107.936,108.631,107.82,108.36
2019-10-14,108.51,108.522,108.02,108.371
2019-10-15,108.371,108.9,108.12,108.844
2019-10-16,108.842,108.855,108.55,108.701
2019-10-17,108.701,108.939,108.45,108.589
2019-10-18,108.593,108.723,108.34,108.35
2019-10-21,108.354,108.664,108.29,108.6
2019-10-22,108.601,108.728,108.4,108.5
2019-10-23,108.497,108.705,108.22,108.65
2019-10-24,108.65,108.753,108.47,108.626
2019-10-25,108.627,108.774,108.48,108.66
2019-10-28,108.7,109.04,108.63,108.96
2019-10-29,108.968,109.069,108.74,108.87
2019-10-30,108.871,109.287,108.69,108.805
2019-10-31,108.805,108.863,107.9,108.031
2019-11-01,108.031,108.325,107.87,108.15
2019-11-04,108.234,108.65,108.17,108.595
2019-11-05,108.593,109.245,108.56,109.16
2019-11-06,109.158,109.183,108.79,108.962
2019-11-07,108.964,109.49,108.62,109.308
2019-11-08,109.309,109.477,109.05,109.23
2019-11-11,109.228,109.255,108.86,109.059
2019-11-12,109.059,109.295,108.89,108.972
2019-11-13,108.972,109.151,108.63,108.772
2019-11-14,108.773,108.863,108.23,108.399
2019-11-15,108.397,108.87,108.35,108.87
2019-11-18,108.755,109.073,108.48,108.664
2019-11-19,108.664,108.84,108.42,108.546
2019-11-20,108.546,108.74,108.32,108.452
2019-11-21,108.455,108.698,108.25,108.618
2019-11-22,108.619,108.732,108.45,108.62
2019-11-25,108.691,108.978,108.65,108.933
2019-11-26,108.934,109.208,108.84,109.051
2019-11-27,109.051,109.61,109.01,109.531
2019-11-28,109.531,109.548,109.3,109.513
2019-11-29,109.517,109.67,109.37,109.48
2019-12-02,109.509,109.727,108.89,109.057
2019-12-03,109.057,109.207,108.45,108.635
2019-12-04,108.635,108.963,108.4,108.858
2019-12-05,108.855,108.998,108.62,108.748
2019-12-06,108.748,108.923,108.405,108.55
2019-12-09,108.592,108.68,108.4,108.577
2019-12-10,108.573,108.809,108.48,108.798
2019-12-11,108.798,108.857,108.45,108.545
2019-12-12,108.544,109.579,108.42,109.486
2019-12-13,109.484,109.707,109.17,109.41
2019-12-16,109.354,109.676,109.32,109.6
2019-12-17,109.607,109.634,109.41,109.504
2019-12-18,109.507,109.628,109.37,109.576
2019-12-19,109.576,109.685,109.15,109.377
2019-12-20,109.377,109.526,109.23,109.43
2019-12-23,109.444,109.538,109.31,109.397
2019-12-24,109.398,109.441,109.29,109.374
2019-12-25,109.374,109.48,109.23,109.38
2019-12-26,109.373,109.684,109.33,109.569
2019-12-27,109.569,109.593,109.36,109.41
2019-12-30,109.436,109.461,108.74,108.87
2019-12-31,108.86,108.88,108.44,108.69
2020-01-01,108.63,108.79,108.56,108.668
2020-01-02,108.668,108.866,108.18,108.541
2020-01-03,108.542,108.631,107.82,108.08
2020-01-06,107.803,108.507,107.74,108.368
2020-01-07,108.368,108.63,108.23,108.45
2020-01-08,108.453,109.245,107.63,109.072
2020-01-09,109.071,109.582,108.98,109.477
2020-01-10,109.477,109.69,109.39,109.47
2020-01-13,109.522,109.947,109.5,109.932
2020-01-14,109.933,110.214,109.83,109.98
2020-01-15,109.984,110.003,109.76,109.879
2020-01-16,109.877,110.19,109.83,110.171
2020-01-17,110.177,110.29,110.02,110.15
2020-01-20,110.13,110.22,110.08,110.173
2020-01-21,110.172,110.223,109.73,109.848
2020-01-22,109.847,110.099,109.78,109.823
2020-01-23,109.829,109.84,109.24,109.521
2020-01-24,109.521,109.654,109.14,109.3
2020-01-27,108.903,109.139,108.71,108.914
2020-01-28,108.914,109.265,108.73,109.24
2020-01-29,109.234,109.267,108.95,109.01
2020-01-30,109.011,109.064,108.55,108.932
2020-01-31,108.926,109.136,108.29,108.36
2020-02-03,108.35,108.8,108.3,108.662
2020-02-04,108.665,109.545,108.52,109.461
2020-02-05,109.459,109.847,109.28,109.791
2020-02-06,109.792,110.023,109.74,109.982
2020-02-07,109.983,110.02,109.5,109.74
2020-02-10,109.712,109.879,109.54,109.752
2020-02-11,109.755,109.966,109.69,109.784
2020-02-12,109.786,110.134,109.76,110.075
2020-02-13,110.078,110.09,109.59,109.808
2020-02-14,109.817,109.912,109.67,109.774
2020-02-17,109.772,109.97,109.69,109.855
2020-02-18,109.855,109.948,109.63,109.861
2020-02-19,109.86,111.593,109.82,111.24
2020-02-20,111.241,112.228,111.08,112.056
2020-02-21,112.057,112.187,111.44,111.565
2020-02-24,111.428,111.683,110.3,110.669
2020-02-25,110.664,111.042,109.86,110.201
2020-02-26,110.2,110.702,110.1,110.423
2020-02-27,110.42,110.46,109.31,109.536
2020-02-28,109.531,109.681,107.48,108.056
2020-03-02,107.378,108.578,107.334,108.271
2020-03-03,108.274,108.537,106.924,107.142
2020-03-04,107.149,107.689,106.83,107.53
2020-03-05,107.536,107.742,105.94,106.162
2020-03-06,106.16,106.344,104.96,105.36
2020-03-09,103.717,104.309,101.178,102.433
2020-03-10,102.438,105.92,102.37,105.104
2020-03-11,105.105,105.331,104.089,104.725
2020-03-12,104.731,106.099,103.07,104.776
2020-03-13,104.776,108.505,104.49,107.9
2020-03-16,106.382,107.57,105.12,106.284
2020-03-17,106.287,107.864,106.06,107.253
2020-03-18,107.25,108.656,106.74,108.005
2020-03-19,108.005,110.96,107.96,110.855
2020-03-20,110.856,111.505,109.31,110.85
2020-03-23,111.068,111.596,109.64,110.975
2020-03-24,110.982,111.716,110.06,111.193
2020-03-25,111.197,111.68,110.73,111.009
2020-03-26,111.009,111.038,109.19,109.332
2020-03-27,109.332,109.392,107.73,107.88
2020-03-30,107.66,108.293,107.11,107.97
2020-03-31,107.976,108.727,107.43,107.759
2020-04-01,107.759,107.94,106.89,107.2
2020-04-02,107.207,108.13,106.99,108.124
2020-04-03,108.129,108.678,107.78,108.453
2020-04-06,108.454,109.382,108.43,109.212
2020-04-07,109.214,109.233,108.64,108.791
2020-04-08,108.799,109.103,108.48,108.861
2020-04-09,108.857,109.063,108.18,108.474
2020-04-10,108.5,108.59,108.3,108.382
2020-04-13,108.328,108.39,107.47,107.693
2020-04-14,107.697,107.76,106.95,107.181
2020-04-15,107.182,107.873,106.9,107.43
2020-04-16,107.437,108.083,107.14,107.959
2020-04-17,107.964,108.084,107.28,107.549
2020-04-20,107.639,107.95,107.52,107.715
2020-04-21,107.719,107.893,107.26,107.749
2020-04-22,107.752,107.938,107.49,107.784
2020-04-23,107.784,108.045,107.31,107.584
2020-04-24,107.587,107.76,107.33,107.484
2020-04-27,107.451,107.623,106.97,107.251
2020-04-28,107.254,107.339,106.53,106.841
2020-04-29,106.839,106.842,106.33,106.589
2020-04-30,106.594,107.499,106.38,107.116
2020-05-01,107.112,107.406,106.57,106.909
2020-05-04,106.834,107.069,106.61,106.693
2020-05-05,106.694,106.9,106.44,106.516
2020-05-06,106.073,106.149,105.96,106.038
2020-05-07,106.039,106.66,106.01,106.29
2020-05-08,106.299,106.747,106.19,106.682
2020-05-11,106.875,107.77,106.737,107.639
2020-05-12,107.642,107.685,107.088,107.249
2020-05-13,107.251,107.268,106.71,107.019
2020-05-14,107.023,107.37,106.74,107.24
2020-05-15,107.239,107.435,106.83,107.157
2020-05-18,107.258,107.505,107.04,107.291
2020-05-19,107.305,108.088,107.27,107.83
2020-05-20,107.831,107.984,107.31,107.617
2020-05-21,107.621,107.85,107.51,107.603
2020-05-22,107.602,107.763,107.29,107.6
2020-05-25,107.691,107.782,107.59,107.723
2020-05-26,107.738,107.923,107.36,107.497
2020-05-27,107.491,107.95,107.33,107.76
2020-05-28,107.758,107.902,107.54,107.677
2020-05-29,107.673,107.896,107.05,107.783
2020-06-01,107.735,107.857,107.35,107.554
2020-06-02,107.553,108.773,107.48,108.616
2020-06-03,108.615,108.993,108.39,108.979
2020-06-04,108.982,109.165,108.58,109.001
2020-06-05,109.175,109.851,109.01,109.584
2020-06-08,109.585,109.673,108.21,108.53
2020-06-09,108.529,108.53,107.58,107.819
2020-06-10,107.818,107.874,106.89,106.92
2020-06-11,106.928,107.235,106.54,106.792
2020-06-12,106.792,107.554,106.55,107.342
2020-06-15,107.459,107.494,106.97,107.42
2020-06-16,107.427,107.64,107.18,107.367
2020-06-17,107.369,107.441,106.92,107.049
2020-06-18,107.052,107.13,106.63,106.925
2020-06-19,106.929,107.06,106.72,106.86
2020-06-22,106.83,107.011,106.74,106.904
2020-06-23,106.907,107.222,106.04,106.46
2020-06-24,106.446,107.148,106.35,107.049
2020-06-25,107.049,107.453,106.98,107.162
2020-06-26,107.161,107.36,106.77,107.215
2020-06-29,107.166,107.884,106.995,107.56
2020-06-30,107.559,107.993,107.49,107.948
2020-07-01,107.949,108.165,107.33,107.449
2020-07-02,107.45,107.725,107.3,107.528
2020-07-03,107.527,107.569,107.35,107.483
2020-07-06,107.528,107.772,107.22,107.367
2020-07-07,107.373,107.791,107.22,107.548
2020-07-08,107.554,107.711,107.157,107.28
2020-07-09,107.285,107.4,107.06,107.197
2020-07-10,107.194,107.264,106.61,106.912
2020-07-13,106.893,107.32,106.75,107.29
2020-07-14,107.297,107.435,107.08,107.26
2020-07-15,107.252,107.31,106.63,106.91
2020-07-16,106.916,107.401,106.8,107.31
2020-07-17,107.314,107.362,106.9,107.013
2020-07-20,107.027,107.545,106.98,107.245
2020-07-21,107.252,107.37,106.65,106.869
2020-07-22,106.868,107.29,106.68,107.16
2020-07-23,107.147,107.23,106.67,106.83
2020-07-24,106.83,106.851,105.65,106.122
2020-07-27,105.983,106.055,105.08,105.32
2020-07-28,105.304,105.69,104.92,105.07
2020-07-29,105.095,105.242,104.73,104.96
2020-07-30,104.947,105.295,104.65,104.72
2020-07-31,104.719,106.055,104.14,105.922
2020-08-03,105.784,106.472,105.54,106.015
2020-08-04,106.031,106.2,105.6,105.77
2020-08-05,105.779,105.873,105.28,105.6
2020-08-06,105.601,105.7,105.26,105.507
2020-08-07,105.507,106.057,105.45,105.872
2020-08-10,105.915,106.202,105.67,105.95
2020-08-11,105.934,106.683,105.89,106.472
2020-08-12,106.46,107.015,106.42,106.877
2020-08-13,106.862,107.05,106.53,106.96
2020-08-14,106.96,107.04,106.4,106.565
2020-08-17,106.583,106.654,105.91,106.031
2020-08-18,106.032,106.052,105.25,105.348
2020-08-19,105.337,106.152,105.07,105.973
2020-08-20,105.976,106.217,105.71,105.741
2020-08-21,105.748,106.072,105.41,105.812
2020-08-24,105.883,106.0,105.66,105.96
2020-08-25,105.959,106.578,105.84,106.355
2020-08-26,106.36,106.556,105.8,105.87
2020-08-27,105.885,106.701,105.56,106.61
2020-08-28,106.611,106.947,105.17,105.326
2020-08-31,105.654,106.096,105.279,105.88
2020-09-01,105.881,106.152,105.56,105.934
2020-09-02,105.933,106.302,105.811,106.2
2020-09-03,106.211,106.552,105.939,106.16
2020-09-04,106.166,106.506,105.991,106.232
2020-09-07,106.267,106.386,106.09,106.3
2020-09-08,106.307,106.382,105.79,105.985
2020-09-09,105.98,106.277,105.733,106.193
2020-09-10,106.193,106.303,105.89,106.1
2020-09-11,106.142,106.266,106.02,106.14
2020-09-14,106.098,106.166,105.496,105.7
2020-09-15,105.699,105.82,105.234,105.419
2020-09-16,105.414,105.432,104.746,104.942
2020-09-17,104.947,105.173,104.451,104.748
2020-09-18,104.751,104.873,104.214,104.532
2020-09-21,104.541,104.904,103.942,104.656
2020-09-22,104.65,105.077,104.353,104.921
2020-09-23,104.921,105.497,104.848,105.34
2020-09-24,105.328,105.531,105.145,105.395
2020-09-25,105.392,105.7,105.2,105.559
2020-09-28,105.681,105.693,105.202,105.501
2020-09-29,105.504,105.734,105.287,105.64
2020-09-30,105.638,105.804,105.332,105.426
2020-10-01,105.426,105.73,105.35,105.532
2020-10-02,105.52,105.67,104.883,105.325
2020-10-05,105.468,105.794,105.333,105.71
2020-10-06,105.715,105.785,105.438,105.615
2020-10-07,105.6,106.11,105.534,105.97
2020-10-08,105.976,106.108,105.88,106.009
2020-10-09,106.004,106.041,105.512,105.59
2020-10-12,105.732,105.738,105.201,105.3
2020-10-13,105.303,105.629,105.227,105.478
2020-10-14,105.477,105.516,105.0,105.098
2020-10-15,105.103,105.494,105.063,105.41
2020-10-16,105.41,105.442,105.16,105.394
2020-10-19,105.372,105.502,105.249,105.423
2020-10-20,105.424,105.748,105.38,105.46
2020-10-21,105.47,105.526,104.31,104.539
2020-10-22,104.55,104.923,104.43,104.851
2020-10-23,104.843,104.937,104.51,104.69
2020-10-26,104.661,105.055,104.62,104.839
2020-10-27,104.838,104.89,104.35,104.475
2020-10-28,104.48,104.556,104.08,104.31
2020-10-29,104.306,104.728,103.98,104.592
2020-10-30,104.6,104.742,104.09,104.662
2020-11-02,104.496,104.949,104.468,104.694
2020-11-03,104.661,104.81,104.4,104.471
2020-11-04,104.448,105.347,104.33,104.96
2020-11-05,104.497,104.544,103.41,103.445
2020-11-06,103.437,103.759,103.14,103.361
2020-11-09,103.298,105.647,103.16,105.356
2020-11-10,105.357,105.487,104.79,105.282
2020-11-11,105.283,105.311,104.97,105.181
2020-11-12,105.427,105.478,105.04,105.128
2020-11-13,105.127,105.161,104.53,104.63
2020-11-16,104.65,105.138,104.33,104.568
2020-11-17,104.564,104.606,104.04,104.184
2020-11-18,104.183,104.208,103.62,103.827
2020-11-19,103.817,104.215,103.69,103.735
2020-11-20,103.741,103.911,103.67,103.813
2020-11-23,103.78,104.638,103.61,104.48
2020-11-24,104.481,104.761,104.11,104.426
2020-11-25,104.43,104.6,104.23,104.443
2020-11-26,104.43,104.472,104.19,104.26
2020-11-27,104.251,104.281,103.88,104.085
2020-11-30,104.056,104.41,103.8,104.299
2020-12-01,104.297,104.58,104.15,104.285
2020-12-02,104.312,104.751,104.19,104.4
2020-12-03,104.402,104.537,103.64,103.84
2020-12-04,103.831,104.245,103.7,104.131
2020-12-07,104.102,104.313,103.89,104.046
2020-12-08,104.046,104.207,103.92,104.145
2020-12-09,104.149,104.25,104.07,104.178
2020-12-10,104.212,104.58,104.105,104.23
2020-12-11,104.222,104.28,103.79,104.029
2020-12-14,103.975,104.102,103.48,104.028
2020-12-15,104.02,104.153,103.57,103.652
2020-12-16,103.645,103.918,103.23,103.43
2020-12-17,103.43,103.562,102.85,103.072
2020-12-18,103.1,103.595,103.048,103.3
2020-12-21,103.482,103.89,103.22,103.319
2020-12-22,103.298,103.734,103.25,103.63
2020-12-23,103.616,103.653,103.32,103.545
2020-12-24,103.546,103.766,103.47,103.572
2020-12-25,103.606,103.67,103.419,103.572
2020-12-28,103.496,103.898,103.37,103.789
2020-12-29,103.779,103.83,103.43,103.56
2020-12-30,103.567,103.6,102.93,103.182
2020-12-31,103.154,103.315,102.96,103.259
