mag,magType,time,place,tsunami,parsed_place
4.7,mb,1539437762090,"32km SE of Muisne, Ecuador",0,Ecuador
4.6,mb,1539437595250,"150km E of Luganville, Vanuatu",0,Vanuatu
0.75,ml,1539437502970,"6km S of Palomar Observatory, CA",0,California
1.9,ml,1539437373237,"10km SSE of Redoubt Volcano, Alaska",0,Alaska
1.57,md,1539436429230,"3km NNE of The Geysers, CA",0,California
0.9,ml,1539436205237,"60km E of Big Pine, California",0,California
1.3,ml,1539436163990,"45km WSW of Big Lake, Alaska",0,Alaska
1.8,ml,1539435949390,"66km SW of Cantwell, Alaska",0,Alaska
1.6,ml,1539435921824,"112km NNW of Arctic Village, Alaska",0,Alaska
1.2,ml,1539435449480,"25km NW of Ester, Alaska",0,Alaska
0.59,md,1539435391320,"8km ESE of Mammoth Lakes, CA",0,California
1.33,ml,1539435293090,"8km ENE of Aguanga, CA",0,California
0.03,ml,1539434854250,"5km WSW of Anza, CA",0,California
1.64,ml,1539434531500,"10km S of Progreso, B.C., MX",0,Mexico
0.57,ml,1539434338510,"12km N of Borrego Springs, CA",0,California
1.44,ml,1539434260530,"14km ESE of Lincoln, Montana",0,Montana
2.81,md,1539434155600,"5km WNW of San Juan Bautista, CA",0,California
0.29,ml,1539433618700,"11km NE of Aguanga, CA",0,California
2.2,ml,1539433351265,"112km NE of Kodiak, Alaska",0,Alaska
1.1,ml,1539432831700,"35km S of Ester, Alaska",0,Alaska
1.9,ml,1539431731581,"93km WNW of Arctic Village, Alaska",0,Alaska
0.9,ml,1539430916036,"20km WSW of Smith Valley, Nevada",0,Nevada
0.1,ml,1539430605947,"13km S of Verdi, Nevada",0,Nevada
2.3,ml,1539430033878,"93km SW of Kaktovik, Alaska",0,Alaska
2.84,md,1539429835910,"6km NNW of Pinnacles, CA",0,California
2.16,md,1539429776760,"26km WNW of Volcano, Hawaii",0,Hawaii
2.01,md,1539429745980,"5km WSW of Volcano, Hawaii",0,Hawaii
6.7,mww,1539429023560,"262km NW of Ozernovskiy, Russia",1,Russia
2.36,ml,1539428857620,"22km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
0.83,ml,1539428257990,"10km NE of Aguanga, CA",0,California
1.6,ml,1539427991797,"48km NE of Talkeetna, Alaska",0,Alaska
2.61,md,1539426944370,"52km ESE of Punta Cana, Dominican Republic",0,Dominican Republic
2.2,ml,1539426811876,"69km SW of Kaktovik, Alaska",0,Alaska
0.62,ml,1539426592850,"4km SE of Lake Henshaw, CA",0,California
0.73,ml,1539426495810,"9km NE of Aguanga, CA",0,California
2.97,md,1539425495370,"40km NNW of Road Town, British Virgin Islands",0,British Virgin Islands
2.09,ml,1539425473350,"13km S of Fern Acres, Hawaii",0,Hawaii
1.85,ml,1539425231160,"14km S of Fern Acres, Hawaii",0,Hawaii
0.4,ml,1539425169090,"5km WSW of Anza, CA",0,California
1.9,ml,1539424559440,"103km NNW of Arctic Village, Alaska",0,Alaska
2.0,ml,1539424267420,"63km SSW of Kaktovik, Alaska",0,Alaska
0.8,ml,1539424240238,"33km N of Beatty, Nevada",0,Nevada
2.7,ml,1539422285876,"90km SW of Kaktovik, Alaska",0,Alaska
0.72,ml,1539422190670,"28km NNW of Packwood, Washington",0,Washington
-0.4,ml,1539422175717,"10km SSE of Beatty, Nevada",0,Nevada
1.7,ml,1539422097703,"45km NW of Talkeetna, Alaska",0,Alaska
1.5,md,1539421706930,"12km WNW of The Geysers, CA",0,California
0.33,ml,1539421600320,"9km NE of Aguanga, CA",0,California
1.57,md,1539421392650,"3km SSW of Maricao, Puerto Rico",0,Puerto Rico
2.2,ml,1539420720097,"78km SW of Kaktovik, Alaska",0,Alaska
2.49,md,1539420584150,"3km WSW of Maricao, Puerto Rico",0,Puerto Rico
3.0,ml,1539420212233,"84km SW of Kaktovik, Alaska",0,Alaska
0.89,ml,1539419935930,"4km N of Pacoima, CA",0,California
1.4,ml,1539419448036,"10km ENE of Badger, Alaska",0,Alaska
4.2,mb,1539419034770,"95km SE of Angoram, Papua New Guinea",0,Papua New Guinea
0.6,md,1539418860720,"4km WNW of Mammoth Lakes, CA",0,California
2.9,ml,1539418190027,"90km SW of Kaktovik, Alaska",0,Alaska
0.58,ml,1539417704970,"9km NNE of Aguanga, CA",0,California
0.74,ml,1539416644850,"21km SSW of La Quinta, CA",0,California
1.83,ml,1539415768940,"5km WSW of Volcano, Hawaii",0,Hawaii
2.1,ml,1539415586548,"57km N of Petersburg, Alaska",0,Alaska
1.38,ml,1539415534350,"10km ESE of Lincoln, Montana",0,Montana
0.61,ml,1539415182880,"6km S of Palomar Observatory, CA",0,California
0.73,ml,1539414406200,"2km NNW of Indio, CA",0,California
1.6,ml,1539414329646,"71km SSW of Kaktovik, Alaska",0,Alaska
0.61,ml,1539413767020,"9km NE of Aguanga, CA",0,California
0.1,ml,1539413440487,"69km S of Beatty, Nevada",0,Nevada
0.65,ml,1539413253200,"5km SW of Anza, CA",0,California
1.38,md,1539412953120,"15km NW of Pinnacles, CA",0,California
2.2,ml,1539412675870,"80km S of Kaktovik, Alaska",0,Alaska
-0.02,md,1539412475360,"20km SSE of Ronan, Montana",0,Montana
1.1,ml,1539412316581,"29km ENE of Bridgeport, California",0,California
0.75,ml,1539410619050,"9km ENE of Aguanga, CA",0,California
0.88,md,1539410311250,"6km WNW of The Geysers, CA",0,California
1.4,ml,1539410152217,"105km NW of Arctic Village, Alaska",0,Alaska
1.6,ml,1539409698450,"104km NW of Talkeetna, Alaska",0,Alaska
2.3,ml,1539409512309,"84km SSW of Kaktovik, Alaska",0,Alaska
1.2,ml,1539409248997,"42km WSW of Tonopah, Nevada",0,Nevada
0.35,ml,1539408989000,"10km NE of Aguanga, CA",0,California
1.41,md,1539408288970,"8km ENE of Mammoth Lakes, CA",0,California
1.08,ml,1539408106850,"7km ESE of Yucaipa, CA",0,California
1.3,ml,1539408025731,"100km WNW of Arctic Village, Alaska",0,Alaska
0.6,ml,1539408002843,"6km NW of Lemmon Valley, Nevada",0,Nevada
1.7,ml,1539407892842,"91km W of Willow, Alaska",0,Alaska
1.1,ml,1539406792979,"42km WSW of Tonopah, Nevada",0,Nevada
4.5,mb,1539406159290,South of the Fiji Islands,0,Fiji
0.68,md,1539405816910,"5km WNW of The Geysers, CA",0,California
0.5,ml,1539405684408,"12km SSE of Verdi, Nevada",0,Nevada
2.1,ml,1539405496766,"102km NNE of Kodiak, Alaska",0,Alaska
5.2,mww,1539405255580,"25km E of Bitung, Indonesia",0,Indonesia
1.75,ml,1539405109740,"14km S of Leilani Estates, Hawaii",0,Hawaii
0.54,ml,1539404874900,"6km NE of Anza, CA",0,California
0.67,ml,1539404466580,"7km NE of Aguanga, CA",0,California
1.72,ml,1539404273380,"6km NE of Anza, CA",0,California
1.36,ml,1539404247450,"6km NE of Anza, CA",0,California
1.9,ml,1539404023366,"49km NW of Cape Yakataga, Alaska",0,Alaska
1.0,ml,1539403666552,"12km S of Mogul, Nevada",0,Nevada
2.16,ml,1539401988460,"5km ESE of Leilani Estates, Hawaii",0,Hawaii
1.16,ml,1539401879590,"20km NE of Olancha, CA",0,California
0.56,md,1539401612140,"8km WNW of The Geysers, CA",0,California
1.9,ml,1539401497296,"88km NNW of Talkeetna, Alaska",0,Alaska
2.3,ml,1539401327987,"93km NNW of Nikiski, Alaska",0,Alaska
0.7,ml,1539400987085,"61km NNE of Pahrump, Nevada",0,Nevada
0.4,ml,1539400315400,"5km S of Idyllwild, CA",0,California
0.82,ml,1539399290210,"6km W of Anza, CA",0,California
3.0,ml,1539399006520,"68km N of Nikiski, Alaska",0,Alaska
1.9,ml,1539398763306,"107km SW of Kaktovik, Alaska",0,Alaska
-0.2,ml,1539398340822,"60km N of Pahrump, Nevada",0,Nevada
1.01,ml,1539398054610,"4km E of Banning, CA",0,California
0.87,md,1539398044050,"6km NW of The Geysers, CA",0,California
-0.1,ml,1539397417213,"37km ENE of Beatty, Nevada",0,Nevada
0.9,ml,1539397223427,"18km NE of Yerington, Nevada",0,Nevada
1.87,ml,1539397113930,"4km E of Indianola, Washington",0,Washington
-0.1,ml,1539396473686,"47km ESE of Beatty, Nevada",0,Nevada
2.33,ml,1539396215180,"11km WNW of Malibu, CA",0,California
2.4,ml,1539396160130,"52km N of Arctic Village, Alaska",0,Alaska
3.29,md,1539396061910,"38km ENE of Christiansted, U.S. Virgin Islands",0,U.S. Virgin Islands
1.9,ml,1539395049565,"64km SSW of Kaktovik, Alaska",0,Alaska
1.9,ml,1539394865025,"64km SSW of Kaktovik, Alaska",0,Alaska
0.52,ml,1539394524660,"21km SW of La Quinta, CA",0,California
1.03,ml,1539394322360,"5km SSE of Mentone, CA",0,California
0.5,ml,1539394082579,"22km NNE of Pahrump, Nevada",0,Nevada
2.24,ml,1539393556510,"15km WSW of Volcano, Hawaii",0,Hawaii
2.83,ml,1539393546090,"22km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
1.8,ml,1539393288038,"40km N of Valdez, Alaska",0,Alaska
1.6,ml,1539392859841,"110km NNW of Arctic Village, Alaska",0,Alaska
2.4,ml,1539392854610,"159km SSE of Kotzebue, Alaska",0,Alaska
2.0,ml,1539391850355,"27km NW of Arctic Village, Alaska",0,Alaska
1.4,ml,1539391665340,"92km SE of King Salmon, Alaska",0,Alaska
1.6,ml,1539391374360,"58km WNW of Valdez, Alaska",0,Alaska
3.07,md,1539390931260,"84km N of San Antonio, Puerto Rico",0,Puerto Rico
0.92,md,1539390844250,"13km WNW of Toms Place, CA",0,California
1.8,ml,1539390640259,"72km NNW of Arctic Village, Alaska",0,Alaska
2.5,ml,1539390382970,"58km NNW of Arctic Village, Alaska",0,Alaska
4.4,mb,1539390030810,"155km N of Calama, Chile",0,Chile
5.7,mww,1539389626220,"42km WNW of Sola, Vanuatu",0,Vanuatu
5.2,mb,1539389603790,"15km WSW of Pisco, Peru",0,Peru
1.5,ml,1539389547508,"136km SW of Old Crow, Canada",0,Canada
4.9,mb,1539389546300,"193km N of Qulansiyah, Yemen",0,Yemen
1.92,ml,1539389499530,"11km WSW of Volcano, Hawaii",0,Hawaii
2.1,ml,1539388868049,"57km NNW of Arctic Village, Alaska",0,Alaska
1.6,ml,1539387978358,"116km WNW of Arctic Village, Alaska",0,Alaska
1.9,ml,1539387646623,"61km NNW of Arctic Village, Alaska",0,Alaska
2.4,ml,1539387415883,"92km SSW of Kaktovik, Alaska",0,Alaska
1.14,ml,1539387294800,"9km NE of Aguanga, CA",0,California
0.87,md,1539387021330,"9km NNW of Pinnacles, CA",0,California
1.81,ml,1539386809820,"21km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
0.67,md,1539386346180,"18km WSW of Toms Place, CA",0,California
0.78,md,1539385475810,"18km WSW of Toms Place, CA",0,California
3.1,ml,1539385297931,"56km NNW of Arctic Village, Alaska",0,Alaska
1.54,md,1539384195630,"1km NE of Pinnacles, CA",0,California
0.7,ml,1539383873730,"10km NE of Aguanga, CA",0,California
1.98,md,1539383802200,"5km WSW of Volcano, Hawaii",0,Hawaii
2.9,ml,1539383750260,"70km WNW of Valdez, Alaska",0,Alaska
0.99,ml,1539383558720,"9km NE of Aguanga, CA",0,California
2.3,ml,1539383195384,"45km NNW of Arctic Village, Alaska",0,Alaska
1.1,md,1539383125730,"12km SSW of Toms Place, CA",0,California
4.9,mb,1539382925190,"151km S of Severo-Kuril'sk, Russia",0,Russia
1.9,ml,1539382897333,"34km N of Arctic Village, Alaska",0,Alaska
2.0,ml,1539382753593,"42km NNW of Arctic Village, Alaska",0,Alaska
1.9,ml,1539382104214,"45km N of Arctic Village, Alaska",0,Alaska
1.4,ml,1539382069734,"109km ESE of Holy Cross, Alaska",0,Alaska
1.6,ml,1539382029999,"50km E of Cape Yakataga, Alaska",0,Alaska
1.9,md,1539381488720,"1km NE of Pinnacles, CA",0,California
1.24,md,1539380787450,"39km SSW of Qualeys Camp, NV",0,Nevada
0.7,ml,1539380703360,"18km ESE of Anza, CA",0,California
1.6,ml,1539380461576,"41km NNW of Arctic Village, Alaska",0,Alaska
5.1,mb,1539380306940,"236km NNW of Kuril'sk, Russia",0,Russia
2.8,ml,1539380055498,"45km NNW of Arctic Village, Alaska",0,Alaska
0.96,md,1539379622010,"6km NNW of The Geysers, CA",0,California
5.7,mww,1539378589240,"13km E of Nueva Concepcion, Guatemala",0,Guatemala
0.87,ml,1539378441320,"2km ESE of Home Gardens, CA",0,California
1.7,ml,1539378436455,"44km NNW of Arctic Village, Alaska",0,Alaska
0.5,ml,1539378279010,"10km NE of Aguanga, CA",0,California
1.28,ml,1539378166770,"13km ESE of Lincoln, Montana",0,Montana
0.1,ml,1539378160866,"7km E of Cold Springs, Nevada",0,Nevada
2.9,ml,1539378047068,"54km NNW of Arctic Village, Alaska",0,Alaska
2.03,md,1539377875890,"22km W of Petrolia, CA",0,California
0.91,md,1539377155070,"7km NW of Pinnacles, CA",0,California
1.9,ml,1539376325766,"43km NNW of Arctic Village, Alaska",0,Alaska
3.0,ml,1539376018155,"110km NNW of Arctic Village, Alaska",0,Alaska
1.8,ml,1539375293772,"64km SSW of Kaktovik, Alaska",0,Alaska
0.49,md,1539375160450,"2km N of The Geysers, CA",0,California
1.2,ml,1539375019060,"27km NNE of Nellis Air Force Base, Nevada",0,Nevada
1.8,ml,1539374391893,"54km NNW of Arctic Village, Alaska",0,Alaska
1.6,ml,1539374202151,"43km NNW of Arctic Village, Alaska",0,Alaska
1.8,ml,1539374110184,"69km WSW of Talkeetna, Alaska",0,Alaska
0.69,ml,1539374010490,"10km NE of Aguanga, CA",0,California
1.6,ml,1539373619171,"48km NNW of Arctic Village, Alaska",0,Alaska
0.82,ml,1539373596980,"10km NE of Aguanga, CA",0,California
1.8,ml,1539373419528,"45km NNW of Arctic Village, Alaska",0,Alaska
0.44,ml,1539373352210,"95km SE of King Salmon, Alaska",0,Alaska
0.55,md,1539372937390,"2km SE of The Geysers, CA",0,California
0.68,md,1539372812150,"2km WSW of Mammoth Lakes, CA",0,California
0.91,md,1539372568830,"8km WNW of The Geysers, CA",0,California
1.89,md,1539372543280,"5km WSW of Volcano, Hawaii",0,Hawaii
2.24,md,1539372488830,"7km WNW of The Geysers, CA",0,California
2.5,ml,1539372394182,"55km NNW of Arctic Village, Alaska",0,Alaska
0.54,md,1539372263580,"3km NW of The Geysers, CA",0,California
2.05,md,1539371116190,"20km WSW of Ferndale, CA",0,California
2.3,ml,1539370822808,"79km W of Anchor Point, Alaska",0,Alaska
0.6,ml,1539370712565,"7km WNW of Tahoe Vista, California",0,California
3.05,ml,1539369857000,"9km WSW of Wrightwood, CA",0,California
2.39,ml,1539369733390,"34km NE of Lucerne Valley, CA",0,California
1.17,md,1539369015390,"1km N of The Geysers, CA",0,California
2.0,ml,1539367469380,"18km SE of Ridgecrest, CA",0,California
1.6,ml,1539367240677,"122km W of Cantwell, Alaska",0,Alaska
2.1,ml,1539366624752,"65km NE of Sutton-Alpine, Alaska",0,Alaska
1.52,ml,1539366299060,"44km NNW of Los Algodones, B.C., MX",0,Mexico
2.36,md,1539366000450,"26km N of San Juan, Puerto Rico",0,Puerto Rico
1.85,md,1539365502360,"4km S of Loyola, CA",0,California
1.5,ml,1539364977350,"63km SSW of Kaktovik, Alaska",0,Alaska
2.44,md,1539364646430,"11km NNW of Yosemite Lakes, CA",0,California
4.7,mb,1539364598110,"71km NNE of Akutan, Alaska",0,Alaska
2.9,ml,1539364574729,"12km SE of Knik-Fairview, Alaska",0,Alaska
1.62,ml,1539364544240,"6km NNW of Harper, Kansas",0,Kansas
1.9,ml,1539364021120,"74km W of Big Lake, Alaska",0,Alaska
0.55,md,1539363948050,"3km NNW of The Geysers, CA",0,California
1.07,ml,1539363797150,"94km SW of Anchor Point, Alaska",0,Alaska
0.36,ml,1539363550280,"14km ENE of Redoubt Volcano, Alaska",0,Alaska
1.2,ml,1539363017013,"36km WSW of Big Lake, Alaska",0,Alaska
1.98,md,1539362714210,"56km N of Punta Cana, Dominican Republic",0,Dominican Republic
0.51,ml,1539362382950,"10km NE of Aguanga, CA",0,California
0.08,ml,1539362252650,"24km W of Dutch Harbor, Alaska",0,Alaska
2.81,md,1539362162050,"74km N of Tierras Nuevas Poniente, Puerto Rico",0,Puerto Rico
2.06,md,1539362017960,"8km SSE of San Juan Bautista, CA",0,California
4.6,mb,1539361890000,"63km ESE of Manjimup, Australia",0,Australia
1.5,ml,1539360698172,"81km SSW of Arctic Village, Alaska",0,Alaska
3.3,ml,1539360453550,"116km W of Ferndale, CA",0,California
0.63,md,1539360058290,"5km NNW of The Geysers, CA",0,California
0.76,ml,1539359409400,"118km SSE of King Salmon, Alaska",0,Alaska
1.24,ml,1539359358210,"96km SW of Anchor Point, Alaska",0,Alaska
0.8,ml,1539359347215,"17km ENE of Spanish Springs, Nevada",0,Nevada
0.8,ml,1539359244250,"39km ESE of Bridgeport, California",0,California
0.3,ml,1539358734986,"3km WSW of Tahoe Vista, California",0,California
1.58,ml,1539358439920,"14km SE of Lincoln, Montana",0,Montana
3.34,md,1539358074810,"37km NE of Road Town, British Virgin Islands",0,British Virgin Islands
1.64,md,1539357355320,"7km NE of Rohnert Park, CA",0,California
1.72,md,1539357220420,"7km NE of Rohnert Park, CA",0,California
0.29,ml,1539356717930,"9km NE of Aguanga, CA",0,California
0.7,ml,1539356459301,"57km SE of Warm Springs, Nevada",0,Nevada
1.1,ml,1539356296215,"9km N of North Nenana, Alaska",0,Alaska
1.54,md,1539356291970,"11km NE of Pinnacles, CA",0,California
1.7,ml,1539356258344,"103km NNW of Arctic Village, Alaska",0,Alaska
1.8,ml,1539356042770,"32km WNW of Nikiski, Alaska",0,Alaska
3.2,ml,1539355697969,"74km SW of Kaktovik, Alaska",0,Alaska
2.45,md,1539355298390,"57km N of Hatillo, Puerto Rico",0,Puerto Rico
0.81,ml,1539354953670,"8km ENE of Aguanga, CA",0,California
2.05,ml,1539354651830,"26km NE of Jackson, Wyoming",0,Wyoming
-0.12,ml,1539353995220,"42km ENE of Adak, Alaska",0,Alaska
3.3,ml,1539353945664,"262km SE of Kodiak, Alaska",0,Alaska
2.2,ml,1539353858808,"47km SW of Cantwell, Alaska",0,Alaska
1.12,md,1539353580110,"2km WNW of The Geysers, CA",0,California
0.5,ml,1539353228440,"12km SSW of Anza, CA",0,California
0.5,ml,1539352824828,"7km E of Cold Springs, Nevada",0,Nevada
2.2,ml,1539352527847,"108km NW of Arctic Village, Alaska",0,Alaska
1.7,ml,1539351491894,"54km NW of Carlin, Nevada",0,Nevada
1.6,ml,1539350664125,"42km NNW of Valdez, Alaska",0,Alaska
1.3,md,1539350569790,"3km SW of Volcano, Hawaii",0,Hawaii
0.7,ml,1539350524290,"9km NE of Aguanga, CA",0,California
1.6,ml,1539350315047,"123km NNW of Arctic Village, Alaska",0,Alaska
1.8,ml,1539350293061,"16km NNE of Valdez, Alaska",0,Alaska
1.84,md,1539350159040,"32km SE of Leilani Estates, Hawaii",0,Hawaii
0.5,ml,1539349706995,"15km E of Fernley, Nevada",0,Nevada
1.22,ml,1539349603350,"7km S of Palomar Observatory, CA",0,California
1.28,ml,1539349594180,"9km NE of Aguanga, CA",0,California
0.62,ml,1539349087820,"53km SSW of Redoubt Volcano, Alaska",0,Alaska
4.6,mb,1539349037610,East of the Kuril Islands,0,Kuril Islands
2.5,mb_lg,1539348739010,"5km E of Hennessey, Oklahoma",0,Oklahoma
-0.14,ml,1539348257610,"13km W of Akutan, Alaska",0,Alaska
-0.3,ml,1539348240180,"13km W of Akutan, Alaska",0,Alaska
1.5,md,1539347181360,"3km E of Ridgely, Tennessee",0,Tennessee
0.56,md,1539346965420,"8km NW of The Geysers, CA",0,California
1.45,md,1539346802230,"1km E of Juana Diaz, Puerto Rico",0,Puerto Rico
1.44,md,1539346598240,"22km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
0.92,ml,1539346401210,"9km NE of Aguanga, CA",0,California
4.8,mb,1539346006930,"115km ESE of Kimbe, Papua New Guinea",0,Papua New Guinea
2.0,ml,1539345879356,"67km E of Cape Yakataga, Alaska",0,Alaska
4.5,mb,1539345749380,"284km NNE of Ndoi Island, Fiji",0,Fiji
1.5,ml,1539345554905,"42km W of Talkeetna, Alaska",0,Alaska
0.54,md,1539345366840,"5km NW of The Geysers, CA",0,California
0.95,md,1539345209400,"23km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
1.6,ml,1539344407080,"116km NNW of Arctic Village, Alaska",0,Alaska
1.7,ml,1539344099927,"122km NNW of Arctic Village, Alaska",0,Alaska
1.49,md,1539342795350,"27km E of Honaunau-Napoopoo, Hawaii",0,Hawaii
-0.63,ml,1539341710550,"13km W of Akutan, Alaska",0,Alaska
3.32,ml,1539341468620,"9km NNW of Volcano, Hawaii",0,Hawaii
0.99,md,1539340351270,"3km NW of The Geysers, CA",0,California
1.77,md,1539339749410,"27km E of Honaunau-Napoopoo, Hawaii",0,Hawaii
1.2,ml,1539339471034,"11km SSW of Badger, Alaska",0,Alaska
2.41,ml,1539339277530,"21km ENE of Honaunau-Napoopoo, Hawaii",0,Hawaii
